NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
58,93,120,775,4,22,0,25.59,1018.31,24.02,328.1,-10.86
57,93,120,774,5,21,0,25.59,1018.31,24.03,328.75,-10.86
57,93,120,774,5,21,0,25.59,1018.31,24.04,330.39,-10.86
57,92,120,774,6,23,0,25.59,1018.31,24.07,327.77,-10.86
56,92,119,774,5,21,0,25.59,1018.31,24.09,331.38,-10.86
57,92,119,773,5,24,0,25.59,1018.31,24.1,331.05,-10.86
56,92,119,774,5,20,0,25.59,1018.31,24.12,334.06,-10.78
56,92,119,774,3,21,0,25.59,1018.3,24.15,334.4,-10.78
56,92,118,773,5,22,0,25.59,1018.3,24.15,336.1,-10.78
56,92,118,773,4,21,0,25.59,1018.3,24.17,337.13,-10.78
56,92,117,772,5,22,0,25.59,1018.3,24.19,334.06,-10.86
56,92,118,772,5,22,0,25.59,1018.31,24.2,337.13,-10.86
55,91,118,772,5,21,0,25.59,1018.31,24.21,337.13,-10.86
56,91,117,772,6,21,0,25.59,1018.31,24.22,337.47,-10.78
56,91,117,772,5,21,0,25.59,1018.3,24.24,341.31,-10.78
55,91,117,772,4,20,0,25.59,1018.3,24.26,339.55,-10.86
55,91,117,772,5,21,0,25.59,1018.31,24.25,342.72,-10.78
56,91,116,772,4,21,0,25.59,1018.3,24.27,340.6,-10.78
55,91,116,771,4,21,0,25.59,1018.3,24.28,342.72,-10.78
55,91,116,772,4,21,0,25.6,1018.3,24.28,343.08,-10.78
55,91,115,772,4,19,0,25.6,1018.3,24.31,343.79,-10.78
55,91,115,772,5,18,0,25.6,1018.3,24.32,343.08,-10.78
55,91,116,772,4,18,0,25.6,1018.3,24.32,345.59,-10.69
55,91,115,772,5,19,0,25.6,1018.29,24.34,346.31,-10.69
54,90,116,773,5,18,0,25.6,1018.29,24.36,345.95,-10.61
55,91,115,774,5,19,0,25.6,1018.28,24.36,346.68,-10.53
55,91,115,774,4,19,0,25.6,1018.27,24.36,346.31,-10.61
54,91,115,773,4,17,0,25.6,1018.28,24.37,347.77,-10.61
54,91,114,774,5,19,0,25.61,1018.28,24.37,345.95,-10.61
54,91,115,774,5,21,0,25.61,1018.28,24.38,349.98,-10.61
54,91,115,774,5,19,0,25.61,1018.28,24.38,349.98,-10.61
54,91,115,775,5,19,0,25.61,1018.28,24.39,350.72,-10.69
54,91,115,775,5,19,0,25.61,1018.29,24.39,349.24,-10.61
54,91,115,776,5,20,0,25.61,1018.28,24.4,352.22,-10.61
54,91,115,776,5,18,0,25.62,1018.28,24.37,352.59,-10.61
54,91,115,777,5,20,0,25.62,1018.28,24.37,350.72,-10.61
54,90,114,776,5,20,0,25.62,1018.28,24.37,349.98,-10.61
54,91,115,776,5,20,0,25.62,1018.28,24.36,350.35,-10.69
53,91,114,776,5,20,0,25.62,1018.29,24.35,352.59,-10.61
54,91,114,776,5,20,0,25.62,1018.28,24.34,352.59,-10.61
53,91,114,775,5,20,0,25.62,1018.28,24.34,353.35,-10.53
53,91,114,776,5,20,0,25.63,1018.27,24.34,352.97,-10.53
54,91,114,776,5,20,0,25.63,1018.27,24.34,356.01,-10.61
53,90,114,776,5,20,0,25.63,1018.28,24.34,354.86,-10.53
54,91,114,776,5,19,0,25.63,1018.27,24.34,357.16,-10.53
53,91,114,776,5,20,0,25.63,1018.27,24.35,354.48,-10.53
54,90,114,776,6,20,0,25.64,1018.27,24.36,354.1,-10.45
54,91,114,776,5,20,0,25.64,1018.26,24.38,354.86,-10.53
53,90,114,777,5,20,0,25.64,1018.27,24.37,356.39,-10.53
53,91,114,776,4,19,0,25.64,1018.27,24.39,357.16,-10.61
53,91,114,777,5,20,0,25.64,1018.28,24.4,354.86,-10.53
53,90,114,776,4,20,0,25.64,1018.27,24.4,356.01,-10.53
54,90,114,776,5,20,0,25.64,1018.27,24.42,359.49,-10.45
53,91,114,777,5,20,0,25.65,1018.26,24.42,355.63,-10.45
54,91,114,777,5,20,0,25.65,1018.26,24.42,360.28,-10.36
53,90,114,777,5,20,0,25.65,1018.25,24.44,358.71,-10.36
53,91,114,778,5,20,0,25.65,1018.25,24.44,359.1,-10.36
53,91,114,778,5,20,0,25.65,1018.25,24.45,360.28,-10.36
53,91,114,778,5,20,0,25.65,1018.25,24.47,357.55,-10.28
53,91,114,778,5,20,0,25.65,1018.24,24.49,359.1,-10.36
53,91,114,778,5,20,0,25.65,1018.25,24.52,357.94,-10.45
53,91,114,778,4,20,0,25.66,1018.26,24.53,359.49,-10.45
53,91,114,778,5,20,0,25.66,1018.26,24.55,360.28,-10.36
53,91,114,778,5,21,0,25.66,1018.25,24.57,360.28,-10.36
53,90,114,778,5,20,0,25.66,1018.25,24.6,359.89,-10.36
53,91,114,778,5,21,0,25.66,1018.25,24.61,363.05,-10.28
53,91,114,778,5,21,0,25.66,1018.24,24.64,360.67,-10.28
53,91,114,778,5,20,0,25.66,1018.24,24.64,361.06,-10.36
53,90,114,779,5,20,0,25.66,1018.25,24.66,361.06,-10.28
53,91,114,778,5,21,0,25.66,1018.24,24.65,358.71,-10.28
53,91,114,779,4,21,0,25.66,1018.24,24.67,360.28,-10.28
52,91,114,779,5,20,0,25.67,1018.24,24.68,358.32,-10.28
53,91,114,779,5,21,0,25.67,1018.24,24.68,360.67,-10.28
53,91,114,779,5,22,0,25.66,1018.24,24.68,362.25,-10.28
53,91,114,779,5,21,0,25.66,1018.24,24.68,362.25,-10.28
53,91,114,779,7,21,0,25.66,1018.24,24.69,361.86,-10.28
53,91,115,779,5,20,0,25.66,1018.24,24.68,358.71,-10.2
53,91,114,779,5,21,0,25.66,1018.23,24.69,363.45,-10.2
53,91,114,779,5,21,0,25.67,1018.23,24.68,362.65,-10.2
53,91,114,780,5,21,0,25.67,1018.23,24.68,361.86,-10.28
53,91,113,779,5,21,0,25.67,1018.24,24.68,362.65,-10.28
53,91,113,779,5,21,0,25.67,1018.24,24.68,363.05,-10.2
53,91,114,778,5,21,0,25.67,1018.23,24.68,363.85,-10.28
53,90,114,779,5,21,0,25.67,1018.24,24.67,363.45,-10.28
53,91,114,779,5,20,0,25.67,1018.24,24.66,363.05,-10.28
53,91,114,780,5,20,0,25.67,1018.24,24.65,364.25,-10.28
53,91,114,780,5,21,0,25.67,1018.24,24.64,364.25,-10.2
53,91,114,780,5,21,0,25.67,1018.23,24.64,364.25,-10.11
53,91,114,780,5,21,0,25.67,1018.22,24.62,365.86,-10.11
53,91,115,781,5,20,0,25.67,1018.22,24.62,365.46,-10.03
53,91,114,781,5,20,0,25.68,1018.21,24.61,365.86,-10.03
53,91,115,781,5,20,0,25.68,1018.21,24.6,363.45,-10.03
54,91,115,782,5,21,0,25.68,1018.21,24.59,365.86,-10.11
53,91,115,782,5,20,0,25.68,1018.22,24.58,366.67,-10.11
54,91,115,781,5,21,0,25.68,1018.22,24.58,364.25,-10.11
53,91,114,781,5,21,0,25.68,1018.22,24.58,363.45,-10.03
53,91,114,780,5,20,0,25.68,1018.21,24.56,365.86,-10.03
53,91,114,781,5,20,0,25.68,1018.21,24.55,365.86,-10.03
53,91,114,780,5,20,0,25.68,1018.21,24.53,366.67,-10.03
54,91,114,781,5,20,0,25.68,1018.21,24.51,365.46,-9.95
53,91,115,781,5,20,0,25.68,1018.2,24.48,365.46,-9.87
53,91,115,781,5,20,0,25.68,1018.19,24.47,367.9,-9.87
53,91,115,782,5,20,0,25.68,1018.19,24.46,367.49,-9.87
53,91,115,781,5,20,0,25.69,1018.19,24.46,366.67,-9.87
54,91,114,781,5,22,0,25.69,1018.19,24.48,367.49,-9.87
53,91,115,782,4,20,0,25.69,1018.19,24.5,365.46,-9.95
54,91,115,781,5,20,0,25.69,1018.2,24.53,367.08,-9.87
53,91,115,781,5,20,0,25.69,1018.19,24.55,365.05,-9.95
54,91,115,782,5,19,0,25.69,1018.2,24.57,365.05,-9.95
53,92,114,782,5,20,0,25.69,1018.2,24.61,367.08,-9.95
53,91,115,781,5,20,0,25.69,1018.2,24.63,367.08,-9.95
53,91,115,781,5,20,0,25.69,1018.2,24.65,366.67,-9.95
54,92,115,782,5,20,0,25.69,1018.2,24.67,368.31,-9.87
54,91,114,782,5,20,0,25.69,1018.19,24.7,365.46,-9.95
53,91,114,782,5,21,0,25.69,1018.2,24.71,366.67,-9.87
54,91,115,782,5,20,0,25.69,1018.19,24.71,366.67,-9.87
54,91,114,781,5,20,0,25.69,1018.19,24.75,366.67,-9.78
54,92,115,781,5,21,0,25.69,1018.18,24.74,366.67,-9.78
54,91,114,782,5,20,0,25.69,1018.18,24.78,365.46,-9.78
54,91,115,782,5,20,0,25.69,1018.18,24.78,366.67,-9.78
53,91,115,782,5,21,0,25.69,1018.18,24.78,368.31,-9.78
54,92,115,783,5,20,0,25.7,1018.18,24.79,364.65,-9.78
54,91,115,782,5,21,0,25.7,1018.18,24.81,366.27,-9.78
54,91,114,783,5,20,0,25.7,1018.18,24.82,365.86,-9.78
54,91,115,783,5,20,0,25.7,1018.18,24.84,366.67,-9.7
54,91,115,783,5,21,0,25.7,1018.17,24.85,366.27,-9.78
54,92,115,783,5,20,0,25.7,1018.18,24.87,365.46,-9.78
53,91,115,783,5,20,0,25.7,1018.18,24.89,363.85,-9.78
