NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,64,76,723,3,25,0,25.55,1021.93,27.85,508.19,-40.81
37,64,76,724,3,24,0,25.55,1021.93,27.87,505.89,-40.81
37,63,76,725,3,25,0,25.55,1021.93,27.88,508.57,-40.81
36,64,75,726,3,25,0,25.55,1021.93,27.88,510.89,-40.9
37,63,75,726,3,25,0,25.54,1021.94,27.91,511.67,-40.9
36,64,75,727,3,25,0,25.54,1021.94,27.92,509.73,-40.9
37,64,75,728,3,25,0,25.54,1021.94,27.92,511.28,-40.81
37,64,75,728,3,24,0,25.54,1021.93,27.93,512.06,-40.81
36,64,75,730,3,25,0,25.54,1021.93,27.93,514.02,-40.81
36,64,76,731,3,24,0,25.54,1021.93,27.94,514.02,-40.73
36,64,76,732,3,24,0,25.54,1021.92,27.95,511.67,-40.81
37,64,75,732,3,25,0,25.54,1021.93,27.96,513.63,-40.73
36,64,75,732,3,25,0,25.54,1021.92,27.95,510.51,-40.73
37,65,76,733,4,25,0,25.54,1021.92,27.96,513.24,-40.73
36,65,75,734,3,25,0,25.54,1021.92,27.96,514.02,-40.73
36,65,75,734,3,25,0,25.54,1021.92,27.96,515.6,-40.81
36,65,76,735,3,25,0,25.54,1021.93,27.97,510.89,-40.73
36,65,75,736,3,25,0,25.54,1021.92,27.98,515.21,-40.73
36,65,75,737,3,25,0,25.54,1021.92,27.97,512.06,-40.73
36,65,76,737,3,25,0,25.54,1021.92,27.98,515.21,-40.73
36,65,76,739,3,25,0,25.54,1021.92,28.0,514.02,-40.65
36,65,76,739,3,24,0,25.54,1021.91,28.01,512.85,-40.65
36,65,75,740,3,25,0,25.54,1021.91,28.0,516.0,-40.73
36,65,76,740,3,25,0,25.54,1021.92,28.0,516.0,-40.73
36,65,75,740,3,25,0,25.54,1021.92,28.01,518.38,-40.73
36,65,76,742,3,25,0,25.54,1021.92,28.0,512.06,-40.73
36,65,76,741,3,25,0,25.54,1021.92,28.03,514.81,-40.73
36,65,76,742,3,25,0,25.54,1021.92,28.01,514.81,-40.73
36,65,76,743,3,25,0,25.54,1021.92,28.02,513.24,-40.73
36,65,76,744,3,25,0,25.54,1021.92,28.03,514.42,-40.81
36,65,76,744,3,25,0,25.54,1021.93,28.05,516.39,-40.73
36,66,76,746,3,26,0,25.54,1021.92,28.07,514.81,-40.73
36,66,77,746,3,24,0,25.54,1021.92,28.07,516.0,-40.73
36,66,77,747,3,25,0,25.55,1021.92,28.06,518.38,-40.73
36,66,76,749,3,25,0,25.55,1021.92,28.06,516.39,-40.81
37,66,77,751,3,25,0,25.55,1021.93,28.06,517.59,-40.81
37,66,78,752,3,24,0,25.55,1021.93,28.07,515.6,-40.73
37,66,77,754,3,25,0,25.55,1021.92,28.07,517.99,-40.73
37,66,78,754,3,24,0,25.55,1021.92,28.07,517.59,-40.73
36,66,77,754,3,25,0,25.55,1021.92,28.08,513.24,-40.73
37,67,77,755,2,25,0,25.55,1021.92,28.08,517.59,-40.73
37,66,77,756,3,25,0,25.55,1021.92,28.08,515.21,-40.65
37,67,77,756,3,25,0,25.55,1021.91,28.09,518.38,-40.65
37,66,77,757,3,25,0,25.55,1021.91,28.08,517.99,-40.65
37,66,77,756,3,25,0,25.55,1021.91,28.07,514.02,-40.65
37,67,77,756,3,25,0,25.55,1021.91,28.06,516.79,-40.65
37,66,77,756,3,25,0,25.55,1021.91,28.07,515.21,-40.57
37,67,77,756,2,25,0,25.55,1021.9,28.06,517.59,-40.57
37,66,77,757,3,25,0,25.55,1021.9,28.06,515.6,-40.57
37,67,77,756,3,25,0,25.55,1021.9,28.07,515.21,-40.65
37,67,77,756,3,25,0,25.55,1021.91,28.06,519.59,-40.65
37,67,77,757,3,25,0,25.55,1021.91,28.07,517.19,-40.57
37,67,77,758,3,25,0,25.55,1021.9,28.07,519.19,-40.57
37,66,77,758,3,25,0,25.55,1021.9,28.07,518.79,-40.57
37,67,78,759,3,27,0,25.55,1021.9,28.07,520.8,-40.65
37,67,77,760,3,25,0,25.55,1021.91,28.08,517.19,-40.57
37,67,78,761,4,25,0,25.55,1021.9,28.1,516.39,-40.48
37,67,78,761,3,25,0,25.55,1021.89,28.1,517.99,-40.48
37,67,78,762,3,25,0,25.55,1021.89,28.09,521.61,-40.48
37,67,78,763,3,25,0,25.55,1021.89,28.1,514.42,-40.48
37,67,78,763,3,25,0,25.55,1021.89,28.11,517.99,-40.57
38,67,78,763,3,25,0,25.55,1021.9,28.11,517.59,-40.57
38,67,78,763,3,25,0,25.55,1021.9,28.14,514.81,-40.65
38,67,78,763,3,25,0,25.55,1021.91,28.16,516.79,-40.65
38,67,78,763,3,25,0,25.55,1021.91,28.17,514.42,-40.57
38,68,78,763,3,24,0,25.55,1021.9,28.18,516.79,-40.57
38,68,78,762,3,25,0,25.55,1021.9,28.19,514.42,-40.57
38,67,77,763,3,25,0,25.55,1021.9,28.19,518.79,-40.57
38,67,78,762,3,24,0,25.55,1021.9,28.21,514.81,-40.57
38,67,77,763,3,25,0,25.55,1021.9,28.21,511.67,-40.57
38,68,78,764,3,25,0,25.55,1021.9,28.21,516.39,-40.57
38,68,78,764,3,25,0,25.55,1021.9,28.21,517.59,-40.57
