NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
46,77,104,755,3,34,4294967295,25.5,1022.01,28.05,485.42,-41.56
47,77,104,754,3,32,4294967295,25.5,1022.02,28.08,488.6,-41.56
46,77,104,754,3,32,4294967295,25.5,1022.02,28.1,485.42,-41.56
46,77,103,753,3,32,4294967295,25.5,1022.02,28.12,487.18,-41.56
45,77,104,754,3,31,4294967295,25.5,1022.02,28.14,486.13,-41.56
45,76,103,753,3,31,4294967295,25.5,1022.02,28.16,490.03,-41.56
46,77,103,753,3,31,4294967295,25.5,1022.02,28.17,489.31,-41.47
45,76,103,752,3,31,4294967295,25.5,1022.01,28.2,491.82,-41.56
45,76,103,752,3,30,4294967295,25.5,1022.02,28.2,486.48,-41.47
45,77,102,752,2,30,4294967295,25.5,1022.01,28.21,489.67,-41.47
45,76,102,752,3,30,4294967295,25.5,1022.01,28.21,487.18,-41.47
45,76,102,752,3,30,4294967295,25.5,1022.01,28.21,491.46,-41.56
45,77,102,751,3,33,4294967295,25.5,1022.02,28.2,491.46,-41.56
44,76,101,752,3,30,4294967295,25.5,1022.02,28.2,490.74,-41.56
44,76,101,752,2,30,4294967295,25.5,1022.02,28.2,487.89,-41.56
45,76,100,752,3,30,4294967295,25.51,1022.02,28.2,492.18,-41.56
44,76,101,752,3,29,4294967295,25.51,1022.02,28.2,491.1,-41.64
44,76,101,752,3,30,4294967295,25.51,1022.03,28.2,492.54,-41.64
44,76,101,752,3,30,9,25.51,1022.03,28.2,491.1,-41.64
44,76,101,752,3,30,4294967295,25.51,1022.03,28.23,492.18,-41.64
44,76,100,753,3,30,4294967295,25.51,1022.03,28.25,492.18,-41.72
43,76,100,753,3,30,4294967295,25.51,1022.04,28.25,492.18,-41.64
44,76,100,754,3,30,4294967295,25.51,1022.03,28.25,492.54,-41.64
44,76,99,754,3,30,4294967295,25.51,1022.03,28.25,489.67,-41.56
44,76,99,754,3,29,4294967295,25.51,1022.02,28.25,492.54,-41.56
44,76,100,755,3,30,4294967295,25.51,1022.02,28.26,493.63,-41.56
43,76,100,756,3,30,4294967295,25.51,1022.02,28.26,492.54,-41.56
