NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
35,67,71,814,1,31,4294967295,25.49,1011.78,39.25,192.8,43.22
35,67,71,815,1,30,4294967295,25.49,1011.8,39.23,193.03,43.22
35,67,71,816,1,29,4294967295,25.49,1011.8,39.26,197.06,43.31
35,67,70,817,1,30,4294967295,25.49,1011.79,39.26,196.35,43.31
35,68,71,818,1,29,4294967295,25.49,1011.79,39.25,196.0,43.39
35,67,70,821,1,29,4294967295,25.49,1011.78,39.26,195.66,43.39
35,67,71,825,1,28,4294967295,25.49,1011.78,39.26,197.17,43.39
35,68,71,827,1,29,4294967295,25.49,1011.78,39.25,197.17,43.47
35,67,71,830,1,28,4294967295,25.48,1011.77,39.25,198.48,43.47
34,68,71,832,1,29,4294967295,25.49,1011.77,39.25,199.43,43.39
35,68,71,832,1,29,4294967295,25.49,1011.78,39.25,199.43,43.47
35,68,71,834,1,28,4294967295,25.49,1011.77,39.25,199.68,43.47
34,68,71,834,1,28,4294967295,25.49,1011.77,39.25,200.77,43.47
35,68,71,836,1,28,4294967295,25.49,1011.77,39.25,201.62,43.47
35,68,71,838,1,28,4294967295,25.49,1011.77,39.25,201.13,43.47
35,68,71,837,1,27,4294967295,25.5,1011.77,39.25,202.12,43.56
35,68,70,839,1,28,4294967295,25.5,1011.76,39.25,201.75,43.56
35,68,70,839,1,28,4294967295,25.5,1011.76,39.24,203.61,43.47
34,68,71,840,1,28,4294967295,25.5,1011.77,39.24,203.11,43.56
35,68,71,840,1,28,4294967295,25.5,1011.76,39.24,203.24,43.56
34,68,71,841,1,28,4294967295,25.5,1011.76,39.24,204.49,43.56
35,68,71,842,1,27,4294967295,25.5,1011.76,39.24,203.61,43.47
35,68,70,843,1,28,4294967295,25.51,1011.77,39.25,204.37,43.47
34,68,71,843,1,28,4294967295,25.51,1011.77,39.27,205.13,43.39
35,68,71,843,1,26,4294967295,25.51,1011.78,39.28,204.62,43.39
35,68,70,845,1,28,4294967295,25.51,1011.78,39.27,205.13,43.47
35,68,71,846,2,32,4294967295,25.51,1011.77,39.29,205.38,43.47
34,68,70,848,1,28,4294967295,25.52,1011.77,39.29,205.64,43.47
34,69,71,848,1,29,4294967295,25.52,1011.77,39.3,204.87,43.47
34,68,71,850,1,30,4294967295,25.52,1011.77,39.31,206.67,43.47
35,68,71,850,1,30,4294967295,25.52,1011.77,39.31,205.38,43.47
35,69,71,852,1,29,4294967295,25.52,1011.77,39.32,205.89,43.47
34,68,71,853,1,29,4294967295,25.52,1011.77,39.31,207.05,43.39
34,69,71,854,1,29,4294967295,25.52,1011.78,39.31,206.15,43.47
35,68,71,856,1,29,4294967295,25.52,1011.77,39.31,206.41,43.47
35,69,71,857,1,29,4294967295,25.52,1011.77,39.31,205.25,43.47
35,69,71,858,1,30,4294967295,25.52,1011.77,39.33,206.41,43.56
34,69,72,859,2,30,4294967295,25.53,1011.76,39.33,207.18,43.47
34,69,71,860,1,29,4294967295,25.53,1011.77,39.32,207.18,43.47
35,69,71,861,2,29,4294967295,25.53,1011.77,39.32,207.97,43.47
35,69,72,862,1,30,4294967295,25.53,1011.77,39.32,208.23,43.56
34,68,72,862,1,29,4294967295,25.53,1011.76,39.3,207.71,43.47
34,69,71,863,1,30,4294967295,25.53,1011.77,39.29,209.02,43.47
34,70,71,864,1,29,4294967295,25.53,1011.77,39.3,207.18,43.47
34,69,72,864,1,30,4294967295,25.53,1011.77,39.29,208.89,43.39
35,69,72,866,1,30,4294967295,25.53,1011.78,39.29,209.41,43.39
35,69,72,867,1,30,4294967295,25.54,1011.78,39.28,208.75,43.39
35,69,71,867,1,30,4294967295,25.54,1011.78,39.28,208.49,43.47
35,70,71,867,1,29,4294967295,25.54,1011.77,39.29,209.81,43.47
34,70,72,868,1,30,4294967295,25.54,1011.77,39.28,209.81,43.47
35,69,72,869,1,29,4294967295,25.54,1011.77,39.28,208.49,43.47
35,70,72,870,1,30,4294967295,25.54,1011.77,39.29,209.55,43.47
35,69,72,871,1,29,4294967295,25.54,1011.77,39.29,210.08,43.47
35,69,72,871,1,30,4294967295,25.54,1011.77,39.29,209.02,43.47
35,70,72,871,1,30,4294967295,25.54,1011.77,39.3,209.95,43.47
35,69,72,872,1,30,4294967295,25.54,1011.77,39.29,210.08,43.47
35,70,72,873,1,30,4294967295,25.55,1011.77,39.29,210.21,43.47
35,70,72,873,1,30,4294967295,25.55,1011.77,39.3,210.48,43.56
35,69,72,873,1,30,4294967295,25.55,1011.76,39.29,210.88,43.56
35,70,72,874,1,30,4294967295,25.55,1011.76,39.29,210.08,43.56
35,69,73,876,1,31,4294967295,25.55,1011.76,39.27,211.42,43.64
34,70,72,878,1,30,4294967295,25.55,1011.75,39.27,211.97,43.64
35,70,73,879,1,30,4294967295,25.55,1011.75,39.26,211.42,43.64
