NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
38,63,74,770,15,57,0,25.7,1022.16,27.3,472.12,-42.63
38,63,73,769,14,62,0,25.7,1022.15,27.29,472.79,-42.63
37,63,73,769,15,58,0,25.7,1022.15,27.28,479.53,-42.71
37,62,73,768,15,57,0,25.7,1022.16,27.28,478.85,-42.71
37,63,73,767,15,57,0,25.7,1022.16,27.28,482.63,-42.8
37,63,73,766,15,58,0,25.7,1022.17,27.27,482.63,-42.8
37,63,73,766,14,57,0,25.69,1022.17,27.28,485.42,-42.71
37,62,73,766,15,58,0,25.69,1022.16,27.28,478.51,-42.71
36,63,73,765,14,55,0,25.69,1022.16,27.27,486.83,-42.71
36,63,73,764,15,59,0,25.69,1022.16,27.27,490.03,-42.71
36,63,73,764,15,54,0,25.69,1022.16,27.27,484.37,-42.63
36,63,73,764,13,53,0,25.69,1022.15,27.27,487.89,-42.63
37,63,72,763,12,51,0,25.69,1022.15,27.26,490.74,-42.63
36,63,72,763,13,53,0,25.69,1022.15,27.24,490.03,-42.63
36,62,73,762,15,58,0,25.69,1022.15,27.24,493.63,-42.63
36,62,73,761,15,57,0,25.69,1022.15,27.23,493.63,-42.63
36,63,72,761,16,56,0,25.69,1022.15,27.23,493.26,-42.63
36,62,72,761,15,56,0,25.69,1022.15,27.24,492.54,-42.55
36,63,72,760,12,53,0,25.69,1022.14,27.22,496.55,-42.63
36,63,72,760,15,57,0,25.69,1022.15,27.23,500.24,-42.63
36,63,72,759,14,57,0,25.69,1022.15,27.22,494.72,-42.55
36,62,72,759,14,57,0,25.69,1022.14,27.22,495.81,-42.55
35,62,72,758,15,57,0,25.69,1022.14,27.22,496.55,-42.63
35,62,72,758,14,55,0,25.68,1022.15,27.21,496.55,-42.55
35,63,72,757,14,56,0,25.68,1022.14,27.22,497.28,-42.55
36,62,71,757,14,56,0,25.68,1022.14,27.21,499.5,-42.55
35,62,71,757,14,56,0,25.68,1022.14,27.21,499.5,-42.55
35,62,72,757,15,55,0,25.68,1022.14,27.22,497.28,-42.55
35,62,72,756,16,58,0,25.68,1022.14,27.21,500.99,-42.55
35,62,71,756,16,65,0,25.68,1022.14,27.2,499.5,-42.47
35,62,72,755,11,52,0,25.68,1022.13,27.21,500.99,-42.47
35,62,71,754,12,53,0,25.68,1022.13,27.21,504.75,-42.38
35,62,71,755,12,55,0,25.69,1022.12,27.21,507.81,-42.47
35,62,71,754,13,54,0,25.69,1022.13,27.2,502.49,-42.47
35,62,71,754,12,53,0,25.69,1022.13,27.21,506.27,-42.38
35,62,71,754,13,57,0,25.69,1022.12,27.2,505.51,-42.47
34,62,71,753,11,52,0,25.69,1022.13,27.2,507.81,-42.47
35,62,72,753,12,52,0,25.69,1022.13,27.19,505.51,-42.47
35,62,70,753,11,51,0,25.69,1022.13,27.18,503.24,-42.47
35,62,71,752,10,52,0,25.69,1022.13,27.2,504.75,-42.47
35,62,71,752,9,47,0,25.69,1022.13,27.18,502.49,-42.47
35,62,71,751,11,51,0,25.69,1022.13,27.18,505.51,-42.47
35,62,71,751,11,54,0,25.69,1022.13,27.18,504.37,-42.47
35,61,71,751,11,50,0,25.69,1022.13,27.18,504.75,-42.47
35,62,71,750,12,53,0,25.69,1022.13,27.18,508.57,-42.47
35,62,71,751,10,48,0,25.69,1022.13,27.17,508.57,-42.38
35,62,71,750,9,48,0,25.69,1022.12,27.17,507.81,-42.47
35,61,71,750,10,49,0,25.69,1022.13,27.18,505.89,-42.47
35,61,71,750,11,52,0,25.69,1022.13,27.17,504.75,-42.47
35,62,70,750,10,51,0,25.69,1022.13,27.18,504.0,-42.47
34,62,70,749,11,53,0,25.69,1022.13,27.16,506.27,-42.47
35,62,70,749,14,54,0,25.69,1022.13,27.17,507.04,-42.47
35,62,71,748,12,53,0,25.68,1022.13,27.17,507.04,-42.55
34,62,70,748,13,54,0,25.68,1022.14,27.17,508.19,-42.38
34,62,71,748,12,49,0,25.68,1022.12,27.17,505.13,-42.38
34,61,70,747,11,54,0,25.68,1022.12,27.17,505.89,-42.38
34,62,71,747,12,53,0,25.68,1022.12,27.18,507.42,-42.38
35,62,71,747,11,53,0,25.68,1022.12,27.18,508.96,-42.38
35,62,70,747,13,53,0,25.68,1022.12,27.18,505.51,-42.3
34,62,70,747,12,52,0,25.68,1022.11,27.18,509.35,-42.3
34,62,70,747,12,56,0,25.68,1022.11,27.19,505.89,-42.3
35,62,70,747,12,52,0,25.68,1022.11,27.17,506.27,-42.3
34,62,71,746,14,53,0,25.68,1022.11,27.17,509.35,-42.38
35,61,70,746,12,53,0,25.68,1022.12,27.18,506.27,-42.38
35,62,70,746,11,55,0,25.68,1022.12,27.17,508.96,-42.38
34,61,70,746,12,52,0,25.68,1022.12,27.17,508.57,-42.38
34,61,70,745,12,53,0,25.68,1022.12,27.18,507.42,-42.38
35,62,70,746,8,45,0,25.68,1022.12,27.17,513.24,-42.3
34,61,70,745,8,46,0,25.68,1022.11,27.17,511.28,-42.3
