NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,60,59,765,1,22,0,25.1,1012.8,39.62,262.04,34.9
32,61,58,766,1,22,0,25.1,1012.8,39.83,261.42,34.9
31,60,58,766,1,22,0,25.1,1012.8,40.02,260.39,34.9
32,60,58,767,1,23,0,25.1,1012.8,40.18,261.0,34.9
31,60,58,766,1,23,0,25.1,1012.8,40.32,258.75,34.81
31,61,59,766,1,23,0,25.1,1012.81,40.45,258.75,34.81
31,61,58,766,1,22,0,25.1,1012.81,40.55,259.98,34.9
31,60,58,767,1,23,0,25.1,1012.8,40.64,258.35,34.9
31,60,59,765,1,23,0,25.11,1012.8,40.7,258.15,34.98
31,61,58,767,1,24,0,25.11,1012.79,40.73,258.35,34.9
31,60,58,766,1,22,0,25.11,1012.8,40.76,258.75,34.98
31,60,58,766,1,23,0,25.11,1012.79,40.79,258.15,34.98
31,61,58,766,1,23,0,25.11,1012.79,40.84,256.55,34.98
31,61,58,767,1,22,0,25.11,1012.79,40.89,257.95,34.98
31,61,58,766,1,22,0,25.11,1012.79,40.93,257.14,34.98
30,61,58,766,1,22,0,25.11,1012.79,40.95,256.75,34.98
31,61,58,767,1,22,0,25.11,1012.79,40.98,255.95,34.98
31,61,58,767,1,22,0,25.12,1012.79,40.98,256.75,34.98
31,61,58,767,1,22,0,25.12,1012.79,40.99,256.94,34.9
31,61,58,768,1,22,0,25.12,1012.8,41.0,256.94,34.98
31,61,58,768,1,23,0,25.12,1012.79,41.01,254.77,34.98
31,61,58,768,1,23,0,25.12,1012.79,41.02,256.55,34.9
31,61,58,767,1,22,0,25.12,1012.8,41.05,255.56,34.9
31,61,58,768,1,22,0,25.12,1012.8,41.11,254.37,34.9
31,61,59,768,1,23,0,25.12,1012.8,41.16,254.96,34.9
31,61,58,768,1,23,0,25.12,1012.8,41.18,254.96,34.9
31,61,58,768,1,22,0,25.13,1012.8,41.18,255.16,34.9
31,61,58,767,1,22,0,25.13,1012.8,41.19,254.57,34.9
31,61,58,768,1,22,0,25.13,1012.8,41.18,254.37,34.9
31,61,58,767,1,24,0,25.13,1012.8,41.2,255.16,34.98
31,61,58,768,1,23,0,25.13,1012.79,41.19,254.37,34.98
31,61,58,767,1,23,0,25.13,1012.79,41.18,254.18,34.98
31,61,58,768,1,22,0,25.13,1012.79,41.17,253.59,34.98
