NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
92,145,237,865,1,22,4294967295,25.54,1018.28,21.74,97.24,-10.53
92,147,238,868,1,22,4294967295,25.54,1018.27,21.67,97.86,-10.61
91,144,233,863,1,21,4294967295,25.54,1018.28,21.6,99.31,-10.61
90,143,232,859,1,22,4294967295,25.53,1018.28,21.56,99.72,-10.69
89,142,229,857,1,21,4294967295,25.54,1018.29,21.54,100.85,-10.69
88,142,229,855,1,21,4294967295,25.54,1018.29,21.56,102.08,-10.61
88,141,228,852,1,22,4294967295,25.53,1018.28,21.6,101.77,-10.53
87,141,227,851,1,22,4294967295,25.53,1018.27,21.63,103.33,-10.53
87,140,225,850,1,21,4294967295,25.53,1018.27,21.67,104.23,-10.53
86,139,224,849,1,21,4294967295,25.53,1018.27,21.72,103.97,-10.61
86,138,224,847,1,22,4294967295,25.53,1018.28,21.74,104.56,-10.69
85,139,223,847,1,21,4294967295,25.53,1018.29,21.78,105.94,-10.78
85,138,221,845,1,22,4294967295,25.53,1018.3,21.81,106.27,-10.94
84,138,220,844,1,22,4294967295,25.53,1018.32,21.83,106.61,-11.03
83,137,219,843,1,21,4294967295,25.53,1018.33,21.86,107.29,-11.11
82,136,218,843,1,21,4294967295,25.53,1018.34,21.88,108.54,-11.19
83,136,217,842,1,21,4294967295,25.53,1018.35,21.89,109.46,-11.19
82,136,217,843,1,22,4294967295,25.53,1018.35,21.89,109.67,-11.11
81,135,217,843,1,22,4294967295,25.53,1018.34,21.89,110.68,-11.11
81,135,215,844,1,21,4294967295,25.53,1018.34,21.87,111.19,-11.19
81,135,215,844,1,22,4294967295,25.53,1018.35,21.85,111.49,-11.19
81,135,215,845,1,21,4294967295,25.53,1018.35,21.83,112.23,-11.11
80,135,215,846,1,22,4294967295,25.53,1018.34,21.84,112.91,-11.03
79,135,214,848,1,21,4294967295,25.53,1018.33,21.85,113.9,-11.11
79,136,214,849,1,22,4294967295,25.53,1018.34,21.87,113.21,-11.03
80,136,215,853,1,22,4294967295,25.53,1018.33,21.91,114.29,-11.03
80,137,215,855,1,22,4294967295,25.53,1018.33,21.95,113.44,-11.03
80,137,217,859,1,22,4294967295,25.54,1018.33,21.98,114.76,-10.94
81,138,217,861,2,23,4294967295,25.54,1018.32,22.01,115.07,-10.86
81,138,219,863,1,21,4294967295,25.54,1018.31,22.06,114.6,-10.86
81,139,220,866,1,21,4294967295,25.54,1018.31,22.09,115.23,-10.78
82,139,221,869,1,22,4294967295,25.54,1018.3,22.12,115.71,-10.69
83,138,221,871,1,22,4294967295,25.54,1018.29,22.17,115.71,-10.69
83,139,223,872,1,22,4294967295,25.54,1018.29,22.19,115.87,-10.69
84,139,223,874,1,23,4294967295,25.54,1018.29,22.25,115.71,-10.61
85,139,223,875,1,21,4294967295,25.54,1018.28,22.27,116.11,-10.53
85,139,224,876,1,22,4294967295,25.55,1018.27,22.28,116.83,-10.36
85,140,225,877,1,22,4294967295,25.55,1018.25,22.3,117.4,-10.36
87,141,226,878,1,22,4294967295,25.55,1018.25,22.32,117.32,-10.36
88,140,226,878,1,22,4294967295,25.55,1018.25,22.33,117.57,-10.45
89,140,227,879,1,22,4294967295,25.55,1018.26,22.34,117.16,-10.45
90,141,228,879,1,21,4294967295,25.55,1018.26,22.35,117.4,-10.45
91,141,228,880,1,22,4294967295,25.55,1018.26,22.36,117.82,-10.45
91,142,229,880,1,22,4294967295,25.55,1018.26,22.37,117.65,-10.45
92,141,230,881,1,23,4294967295,25.55,1018.26,22.37,118.23,-10.45
93,142,231,882,1,22,4294967295,25.55,1018.26,22.39,118.98,-10.36
93,142,231,882,1,23,4294967295,25.55,1018.25,22.4,119.07,-10.36
93,141,232,883,1,22,4294967295,25.55,1018.25,22.41,118.15,-10.28
94,142,232,882,1,22,4294967295,25.55,1018.24,22.42,118.65,-10.28
94,143,232,882,1,22,4294967295,25.56,1018.24,22.43,119.15,-10.28
94,142,232,882,1,23,4294967295,25.56,1018.24,22.43,118.82,-10.2
95,143,232,882,1,23,4294967295,25.56,1018.23,22.44,119.49,-10.2
96,143,232,881,1,22,4294967295,25.56,1018.23,22.43,120.09,-10.2
96,143,232,882,1,22,4294967295,25.56,1018.23,22.45,120.61,-10.11
97,143,232,882,1,23,4294967295,25.56,1018.22,22.44,120.69,-10.11
97,144,232,881,1,21,4294967295,25.56,1018.22,22.45,120.17,-10.2
98,144,233,881,1,22,4294967295,25.56,1018.23,22.45,120.78,-10.2
98,144,233,881,1,23,4294967295,25.56,1018.23,22.43,120.35,-10.28
98,144,234,881,1,22,4294967295,25.57,1018.24,22.44,121.48,-10.28
99,144,233,881,1,22,4294967295,25.56,1018.24,22.44,120.95,-10.36
98,145,233,882,1,23,4294967295,25.57,1018.25,22.44,121.13,-10.36
99,144,234,882,1,23,4294967295,25.57,1018.25,22.45,120.95,-10.36
98,145,234,883,2,22,4294967295,25.57,1018.25,22.48,121.48,-10.28
99,145,235,883,1,22,4294967295,25.57,1018.24,22.47,121.04,-10.28
100,146,235,885,1,22,4294967295,25.57,1018.24,22.48,120.87,-10.28
100,146,236,885,1,22,4294967295,25.57,1018.24,22.49,121.56,-10.2
100,146,235,885,1,22,4294967295,25.57,1018.23,22.49,121.83,-10.2
101,146,236,887,1,23,4294967295,25.57,1018.23,22.49,122.72,-10.2
101,147,236,887,1,22,4294967295,25.57,1018.23,22.46,122.54,-10.2
102,147,236,888,1,23,4294967295,25.57,1018.23,22.44,123.53,-10.11
103,147,237,888,1,23,4294967295,25.57,1018.22,22.4,122.9,-10.11
102,148,236,888,1,23,4294967295,25.57,1018.22,22.36,123.98,-10.11
103,148,237,889,1,23,4294967295,25.57,1018.22,22.35,123.35,-10.11
104,149,237,889,1,22,4294967295,25.57,1018.22,22.35,122.81,-10.03
104,148,237,889,1,23,4294967295,25.57,1018.21,22.35,122.99,-10.03
105,149,237,889,1,23,4294967295,25.57,1018.21,22.37,123.62,-10.03
106,148,237,890,1,23,4294967295,25.57,1018.21,22.4,123.08,-10.03
