NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
64,87,143,737,0,14,0,25.55,1020.46,22.62,430.38,-28.74
64,86,144,738,0,14,0,25.55,1020.47,22.58,432.6,-28.74
65,86,145,740,0,14,0,25.55,1020.47,22.57,434.84,-28.74
64,87,145,741,0,16,0,25.55,1020.47,22.55,434.0,-28.66
64,87,145,741,0,14,0,25.55,1020.46,22.53,435.69,-28.58
63,87,146,741,0,15,0,25.55,1020.45,22.51,435.4,-28.58
64,86,146,742,0,14,0,25.55,1020.45,22.51,434.28,-28.41
63,86,145,742,0,14,0,25.55,1020.43,22.5,435.4,-28.41
64,86,147,743,0,15,0,25.55,1020.43,22.5,437.1,-28.41
64,87,147,744,0,14,0,25.55,1020.43,22.5,437.67,-28.41
63,86,147,745,0,14,0,25.55,1020.43,22.49,435.12,-28.5
64,87,148,745,0,14,0,25.55,1020.44,22.47,437.67,-28.5
64,87,147,746,0,15,0,25.55,1020.44,22.48,439.39,-28.5
63,87,146,745,0,15,0,25.55,1020.44,22.49,437.96,-28.5
64,87,146,744,0,15,0,25.55,1020.44,22.48,437.67,-28.41
63,87,145,744,0,15,0,25.55,1020.43,22.48,440.54,-28.41
63,87,145,743,0,14,0,25.55,1020.43,22.47,439.97,-28.5
63,87,145,741,0,14,0,25.55,1020.44,22.47,439.97,-28.41
62,86,144,741,0,14,0,25.55,1020.43,22.46,441.41,-28.41
63,86,144,741,0,14,0,25.55,1020.43,22.45,441.12,-28.41
63,86,144,740,0,14,0,25.55,1020.43,22.43,442.28,-28.41
63,86,143,740,0,14,0,25.55,1020.43,22.43,441.7,-28.41
62,86,144,740,0,14,0,25.56,1020.43,22.41,441.7,-28.41
63,86,143,739,0,14,0,25.56,1020.43,22.41,441.7,-28.41
62,86,142,739,0,14,0,25.56,1020.43,22.41,444.62,-28.41
62,86,142,739,0,14,0,25.56,1020.43,22.41,446.4,-28.41
62,86,143,739,0,15,0,25.56,1020.43,22.41,442.28,-28.41
61,86,142,739,0,14,0,25.56,1020.43,22.41,446.69,-28.41
61,86,142,739,0,15,0,25.56,1020.43,22.41,441.41,-28.41
61,86,142,739,0,14,0,25.57,1020.43,22.4,443.74,-28.33
62,86,142,739,1,15,0,25.57,1020.42,22.4,442.57,-28.41
61,86,142,739,1,15,0,25.57,1020.43,22.4,442.28,-28.41
61,86,142,739,0,14,0,25.57,1020.43,22.38,445.21,-28.41
60,86,141,739,1,14,0,25.57,1020.43,22.37,445.21,-28.41
61,86,142,739,0,14,0,25.49,1020.43,22.38,435.97,-28.33
61,86,141,739,0,15,0,25.49,1020.42,22.41,436.54,-28.33
61,86,141,740,0,14,0,25.49,1020.42,22.42,438.53,-28.33
61,86,141,739,0,13,0,25.5,1020.42,22.41,438.82,-28.33
60,86,141,740,0,15,0,25.51,1020.42,22.42,436.25,-28.25
61,86,140,740,0,14,0,25.52,1020.41,22.41,438.82,-28.25
61,86,140,739,0,15,0,25.53,1020.41,22.41,439.68,-28.33
60,86,140,740,0,14,0,25.54,1020.42,22.41,440.25,-28.33
61,85,140,740,0,14,0,25.55,1020.42,22.4,436.54,-28.33
61,86,140,739,0,14,0,25.55,1020.42,22.39,438.53,-28.33
60,86,140,739,0,14,0,25.56,1020.42,22.4,440.25,-28.41
60,86,140,740,0,14,0,25.56,1020.43,22.39,438.53,-28.33
60,85,140,740,0,14,0,25.57,1020.42,22.37,440.83,-28.33
60,86,140,740,0,14,0,25.57,1020.42,22.38,439.39,-28.33
60,86,140,740,1,14,0,25.57,1020.42,22.38,441.12,-28.25
60,86,140,740,0,14,0,25.57,1020.41,22.38,439.68,-28.25
60,86,140,741,0,14,0,25.58,1020.41,22.38,440.54,-28.25
59,86,139,740,0,14,0,25.58,1020.41,22.37,440.25,-28.25
60,86,139,741,0,14,0,25.58,1020.41,22.39,439.1,-28.25
60,86,139,740,0,15,0,25.58,1020.41,22.38,440.54,-28.25
60,86,139,740,0,14,0,25.59,1020.41,22.39,441.12,-28.25
59,86,139,740,0,15,0,25.59,1020.41,22.37,441.41,-28.25
59,86,139,740,1,14,0,25.59,1020.41,22.36,440.54,-28.17
59,86,138,741,0,15,0,25.59,1020.4,22.36,441.7,-28.25
58,86,138,740,0,14,0,25.59,1020.41,22.36,443.16,-28.25
59,86,139,740,0,15,0,25.59,1020.41,22.35,441.12,-28.25
59,86,138,741,0,14,0,25.59,1020.41,22.34,445.21,-28.17
59,86,138,740,0,14,0,25.59,1020.4,22.32,443.16,-28.17
59,86,138,741,0,15,0,25.59,1020.4,22.33,441.12,-28.17
59,86,138,741,0,15,0,25.59,1020.4,22.36,446.4,-28.17
59,86,138,740,0,15,0,25.59,1020.4,22.35,444.92,-28.17
59,86,137,740,0,16,0,25.6,1020.4,22.35,444.04,-28.17
59,86,137,741,0,15,0,25.6,1020.4,22.35,441.12,-28.25
59,85,138,740,0,16,0,25.6,1020.41,22.34,440.25,-28.25
59,86,137,740,0,15,0,25.6,1020.41,22.35,441.7,-28.25
59,85,137,740,0,15,0,25.6,1020.41,22.34,442.87,-28.25
58,86,137,739,1,15,0,25.6,1020.41,22.35,442.57,-28.25
59,85,138,740,0,15,0,25.6,1020.41,22.36,444.33,-28.25
59,86,137,740,0,13,0,25.6,1020.41,22.37,444.62,-28.33
59,85,137,741,0,15,0,25.6,1020.42,22.37,444.04,-28.33
59,85,136,741,1,15,0,25.6,1020.42,22.38,441.99,-28.33
58,85,138,741,0,15,0,25.6,1020.42,22.38,442.87,-28.33
59,86,137,740,0,14,0,25.6,1020.42,22.38,443.74,-28.33
59,85,137,742,0,14,0,25.6,1020.42,22.37,439.39,-28.41
58,86,137,742,0,15,0,25.6,1020.43,22.37,443.16,-28.41
59,86,136,742,0,15,0,25.6,1020.43,22.35,444.62,-28.33
58,86,137,741,0,14,0,25.6,1020.42,22.33,441.7,-28.33
58,86,136,741,0,14,0,25.61,1020.42,22.33,443.16,-28.33
59,86,137,741,0,15,0,25.61,1020.42,22.34,443.16,-28.33
58,86,137,743,0,15,0,25.61,1020.42,22.35,442.28,-28.33
58,86,136,741,0,14,0,25.61,1020.42,22.34,446.4,-28.41
59,87,137,741,0,15,0,25.61,1020.43,22.35,445.51,-28.33
59,86,136,742,0,15,0,25.61,1020.42,22.34,442.28,-28.41
58,86,136,741,1,15,0,25.61,1020.43,22.33,444.62,-28.41
58,86,136,741,1,15,0,25.61,1020.43,22.31,444.92,-28.41
58,86,136,741,0,15,0,25.61,1020.43,22.32,443.45,-28.41
59,86,136,740,0,15,0,25.61,1020.43,22.3,445.8,-28.5
58,86,135,740,0,15,0,25.61,1020.44,22.32,444.62,-28.5
58,86,135,740,1,15,0,25.61,1020.44,22.33,441.99,-28.5
58,86,135,740,0,15,0,25.61,1020.44,22.34,444.62,-28.41
58,85,136,740,0,15,0,25.61,1020.43,22.37,443.74,-28.41
58,86,135,740,0,15,0,25.62,1020.43,22.37,443.16,-28.41
58,86,135,740,0,15,0,25.62,1020.43,22.4,442.87,-28.5
58,86,135,741,0,15,0,25.62,1020.44,22.41,446.1,-28.5
58,86,135,740,0,15,0,25.62,1020.44,22.44,441.7,-28.5
59,85,134,740,0,16,0,25.62,1020.44,22.44,439.97,-28.5
58,86,135,741,0,16,0,25.62,1020.44,22.48,438.53,-28.41
58,85,135,741,0,15,0,25.62,1020.43,22.48,441.12,-28.41
