NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
59,145,207,901,5,261,4294967295,25.58,1018.84,25.02,181.36,-15.33
59,144,207,900,5,259,4294967295,25.58,1018.85,25.01,184.96,-15.25
58,144,206,899,5,256,4294967295,25.58,1018.84,25.01,185.34,-15.33
59,143,205,898,5,246,4294967295,25.58,1018.85,25.02,186.71,-15.33
59,144,205,897,5,231,4294967295,25.58,1018.85,25.02,189.38,-15.25
58,143,205,896,5,247,4294967295,25.58,1018.84,25.05,191.02,-15.33
58,143,203,894,5,243,4294967295,25.57,1018.85,25.03,193.14,-15.25
57,142,204,894,5,246,4294967295,25.57,1018.84,25.04,194.16,-15.25
57,143,203,891,5,255,4294967295,25.57,1018.84,25.05,196.35,-15.25
57,143,203,891,5,282,4294967295,25.57,1018.84,25.04,198.48,-15.33
57,142,202,890,5,226,4294967295,25.57,1018.85,25.05,200.77,-15.42
57,142,202,889,5,230,4294967295,25.57,1018.86,25.03,201.99,-15.42
57,142,201,888,5,230,4294967295,25.57,1018.86,25.05,203.36,-15.5
57,142,201,887,5,227,4294967295,25.57,1018.87,25.06,205.38,-15.5
57,141,200,887,5,221,4294967295,25.57,1018.87,25.06,206.79,-15.5
56,140,200,886,5,224,4294967295,25.57,1018.87,25.06,208.62,-15.5
56,141,199,884,5,225,4294967295,25.57,1018.87,25.06,209.41,-15.58
56,141,199,884,5,223,4294967295,25.57,1018.88,25.07,211.29,-15.5
56,141,199,884,5,237,4294967295,25.57,1018.87,25.07,212.51,-15.5
56,140,198,884,5,221,4294967295,25.57,1018.87,25.07,212.92,-15.5
56,140,198,885,4,220,4294967295,25.57,1018.87,25.07,214.58,-15.42
56,140,197,887,5,214,4294967295,25.57,1018.86,25.07,216.41,-15.5
56,140,198,890,5,223,4294967295,25.57,1018.87,25.06,216.97,-15.42
55,140,197,894,5,200,4294967295,25.57,1018.86,25.06,219.13,-15.42
55,140,197,898,5,213,4294967295,25.57,1018.86,25.06,220.15,-15.42
55,140,197,901,5,213,4294967295,25.57,1018.86,25.04,221.93,-15.5
54,140,197,904,5,199,4294967295,25.57,1018.87,25.03,222.08,-15.5
55,140,197,906,5,208,4294967295,25.57,1018.87,25.04,223.73,-15.5
55,140,197,908,5,211,4294967295,25.58,1018.87,25.04,221.48,-15.5
55,140,197,910,5,215,4294967295,25.58,1018.87,25.05,220.15,-15.5
55,140,197,914,5,221,4294967295,25.58,1018.87,25.05,219.71,-15.5
55,140,198,918,5,215,4294967295,25.58,1018.87,25.07,218.55,-15.5
55,141,197,919,5,217,4294967295,25.58,1018.87,25.07,217.98,-15.5
55,141,196,919,5,216,4294967295,25.58,1018.87,25.08,219.13,-15.5
55,140,197,919,6,216,4294967295,25.58,1018.87,25.07,218.55,-15.5
54,140,196,920,5,203,4294967295,25.58,1018.87,25.1,218.7,-15.5
55,140,197,921,5,216,4294967295,25.58,1018.87,25.09,218.55,-15.5
55,140,196,922,5,215,4294967295,25.58,1018.87,25.08,218.84,-15.5
55,141,197,925,5,213,4294967295,25.58,1018.87,25.1,217.55,-15.5
54,141,198,928,5,208,4294967295,25.58,1018.87,25.11,216.69,-15.58
55,141,197,931,5,216,4294967295,25.58,1018.88,25.13,216.41,-15.5
55,142,198,934,5,219,4294967295,25.58,1018.87,25.12,216.27,-15.5
54,141,198,935,5,216,4294967295,25.58,1018.87,25.14,216.55,-15.5
54,142,198,936,5,218,4294967295,25.58,1018.87,25.14,217.12,-15.42
55,141,198,936,5,200,4294967295,25.58,1018.86,25.14,216.97,-15.42
54,142,198,937,5,217,4294967295,25.58,1018.86,25.14,213.2,-15.33
55,141,199,939,5,215,4294967295,25.58,1018.85,25.18,209.15,-15.42
55,142,199,940,5,218,4294967295,25.59,1018.86,25.21,203.49,-15.42
55,141,199,940,5,199,4294967295,25.59,1018.86,25.28,199.56,-15.5
55,142,198,940,5,216,4294967295,25.59,1018.87,25.33,196.82,-15.5
54,142,198,939,5,220,4294967295,25.59,1018.87,25.36,194.74,-15.5
55,141,197,938,5,218,4294967295,25.59,1018.87,25.39,192.58,-15.58
55,141,197,937,5,217,4294967295,25.59,1018.88,25.43,188.3,-15.5
55,141,196,936,5,218,4294967295,25.59,1018.87,25.48,186.6,-15.5
55,141,197,936,5,218,4294967295,25.59,1018.87,25.53,184.55,-15.5
54,141,198,937,5,218,4294967295,25.59,1018.87,25.57,180.2,-15.58
55,141,197,939,5,258,4294967295,25.59,1018.88,25.61,174.95,-15.5
54,141,200,944,5,221,4294967295,25.59,1018.87,25.68,171.03,-15.5
54,142,199,945,5,244,4294967295,25.53,1018.87,25.84,163.86,-15.42
55,142,200,947,5,218,4294967295,25.52,1018.86,25.9,164.34,-15.42
55,142,201,947,5,220,4294967295,25.52,1018.86,25.89,164.83,-15.42
55,142,201,948,5,221,4294967295,25.53,1018.86,25.89,166.29,-15.5
56,142,201,948,5,249,4294967295,25.54,1018.87,25.87,164.34,-15.5
55,143,201,949,5,220,4294967295,25.55,1018.87,25.88,161.04,-15.58
55,143,202,951,5,218,4294967295,25.56,1018.88,25.9,158.76,-15.67
56,142,203,952,4,205,4294967295,25.56,1018.89,25.9,158.16,-15.58
56,143,203,954,5,220,4294967295,25.57,1018.88,25.88,156.98,-15.58
55,143,202,954,6,220,4294967295,25.57,1018.88,25.88,155.24,-15.67
56,144,203,954,5,221,4294967295,25.57,1018.89,25.9,154.1,-15.67
56,143,202,955,5,225,4294967295,25.58,1018.89,25.89,153.26,-15.67
55,144,203,955,5,207,4294967295,25.58,1018.89,25.88,152.84,-15.58
55,144,204,956,5,222,4294967295,25.58,1018.88,25.87,154.38,-15.58
56,144,204,956,5,223,4294967295,25.58,1018.88,25.84,156.25,-15.58
56,144,205,957,5,222,4294967295,25.58,1018.88,25.8,156.98,-15.58
56,144,204,957,5,206,4294967295,25.58,1018.88,25.77,159.06,-15.58
56,144,204,957,5,223,4294967295,25.59,1018.88,25.72,160.88,-15.5
56,144,205,957,4,224,4294967295,25.59,1018.87,25.69,163.39,-15.5
56,144,205,957,5,224,4294967295,25.59,1018.87,25.65,164.67,-15.5
56,144,205,958,5,226,4294967295,25.59,1018.87,25.62,166.13,-15.58
56,145,205,959,5,228,4294967295,25.59,1018.88,25.58,165.97,-15.67
56,145,206,960,5,225,4294967295,25.59,1018.89,25.54,167.96,-15.67
56,145,206,960,5,219,4294967295,25.59,1018.89,25.52,167.96,-15.58
57,145,206,960,5,221,4294967295,25.59,1018.88,25.51,168.97,-15.67
56,145,207,961,5,228,4294967295,25.59,1018.89,25.5,169.14,-15.67
57,145,207,962,5,224,4294967295,25.59,1018.89,25.48,170.17,-15.67
57,146,207,962,5,234,4294967295,25.59,1018.89,25.48,168.29,-15.75
57,146,207,962,5,223,4294967295,25.59,1018.9,25.47,166.96,-15.75
57,145,208,962,5,224,4294967295,25.59,1018.9,25.51,164.02,-15.67
57,146,207,962,7,227,4294967295,25.6,1018.89,25.54,162.44,-15.67
57,146,207,962,5,223,4294967295,25.59,1018.89,25.56,163.23,-15.67
57,145,206,962,5,228,4294967295,25.6,1018.89,25.58,162.6,-15.67
57,146,206,962,5,232,4294967295,25.6,1018.89,25.59,163.07,-15.58
57,145,204,961,5,211,4294967295,25.6,1018.88,25.59,161.97,-15.58
57,145,204,959,6,250,4294967295,25.6,1018.88,25.62,159.97,-15.58
57,145,205,959,5,230,4294967295,25.6,1018.88,25.66,157.71,-15.5
57,144,204,958,5,234,4294967295,25.6,1018.87,25.68,156.83,-15.5
57,143,203,956,6,238,4294967295,25.6,1018.87,25.69,155.24,-15.58
56,143,202,954,7,276,4294967295,25.6,1018.88,25.74,154.1,-15.58
57,144,204,953,5,237,4294967295,25.6,1018.88,25.77,153.12,-15.58
57,143,204,953,4,230,4294967295,25.6,1018.88,25.78,152.7,-15.58
57,144,204,954,5,232,4294967295,25.6,1018.88,25.77,153.26,-15.5
57,144,204,954,7,232,4294967295,25.6,1018.87,25.76,153.82,-15.5
57,144,204,954,5,236,4294967295,25.6,1018.87,25.76,154.53,-15.5
57,144,205,954,5,238,4294967295,25.6,1018.87,25.74,154.24,-15.42
57,144,205,954,5,273,4294967295,25.6,1018.86,25.73,152.43,-15.42
58,144,204,955,5,240,4294967295,25.6,1018.86,25.77,151.74,-15.42
58,144,204,955,7,239,4294967295,25.6,1018.86,25.75,151.87,-15.5
58,144,204,955,5,243,4294967295,25.6,1018.87,25.76,151.6,-15.58
58,143,204,954,5,246,4294967295,25.6,1018.88,25.75,151.87,-15.58
58,144,205,954,6,246,4294967295,25.6,1018.88,25.75,152.15,-15.67
58,144,205,955,5,240,4294967295,25.6,1018.89,25.75,151.19,-15.67
58,144,206,955,5,238,4294967295,25.6,1018.89,25.75,151.46,-15.67
57,144,206,955,5,242,4294967295,25.6,1018.89,25.75,152.29,-15.67
58,143,205,954,6,247,4294967295,25.6,1018.89,25.76,151.33,-15.67
58,143,205,954,5,247,4294967295,25.61,1018.89,25.76,150.65,-15.75
57,143,205,953,5,247,4294967295,25.61,1018.9,25.77,151.33,-15.83
58,143,205,954,4,248,4294967295,25.61,1018.91,25.76,150.92,-15.75
58,144,205,955,5,248,4294967295,25.61,1018.9,25.77,150.51,-15.75
58,144,205,955,5,246,4294967295,25.61,1018.9,25.78,149.84,-15.75
58,144,205,956,6,252,4294967295,25.61,1018.9,25.78,149.18,-15.83
58,144,205,957,6,246,4294967295,25.61,1018.91,25.8,149.71,-15.83
58,144,205,957,5,249,4294967295,25.61,1018.91,25.79,151.33,-15.83
58,144,204,957,5,249,4294967295,25.6,1018.91,25.77,151.74,-15.83
58,144,204,956,5,251,4294967295,25.6,1018.91,25.75,152.98,-15.83
58,144,205,956,5,252,4294967295,25.6,1018.91,25.73,153.4,-15.83
58,144,206,957,5,253,4294967295,25.6,1018.91,25.72,153.68,-15.83
58,144,207,958,5,256,4294967295,25.6,1018.91,25.71,152.43,-15.83
58,145,207,959,6,258,4294967295,25.6,1018.91,25.72,150.38,-15.83
58,145,207,960,6,254,4294967295,25.61,1018.91,25.75,149.44,-15.83
58,145,208,960,6,253,4294967295,25.61,1018.91,25.77,148.26,-15.75
59,145,207,960,6,254,4294967295,25.61,1018.9,25.78,145.31,-15.75
58,144,207,959,6,257,4294967295,25.61,1018.9,25.84,143.57,-15.83
58,144,206,958,6,251,4294967295,25.61,1018.91,25.88,142.84,-15.83
58,143,205,957,6,257,4294967295,25.61,1018.91,25.9,142.72,-15.83
58,144,206,957,6,257,4294967295,25.61,1018.91,25.9,143.82,-15.83
58,143,207,957,6,255,4294967295,25.61,1018.91,25.9,144.19,-15.83
59,144,208,958,6,263,4294967295,25.61,1018.91,25.89,144.56,-15.91
58,144,208,959,6,258,4294967295,25.61,1018.92,25.87,145.31,-15.91
59,145,208,960,6,260,4294967295,25.61,1018.92,25.87,144.56,-16.0
59,144,209,960,6,259,4294967295,25.61,1018.93,25.88,143.94,-15.91
59,144,209,960,5,257,4294967295,25.61,1018.92,25.87,143.7,-15.91
59,144,209,961,6,262,4294967295,25.61,1018.92,25.87,142.6,-15.91
59,145,209,961,6,257,4294967295,25.61,1018.92,25.88,143.09,-15.83
59,145,209,961,6,301,4294967295,25.6,1018.91,25.87,143.94,-15.75
59,145,208,961,6,257,4294967295,25.6,1018.9,25.86,144.68,-15.75
59,145,208,961,7,259,4294967295,25.61,1018.9,25.85,144.56,-15.75
59,145,209,961,6,264,4294967295,25.61,1018.9,25.85,143.7,-15.83
59,144,208,959,6,259,4294967295,25.61,1018.91,25.87,143.09,-15.83
59,143,206,958,6,253,4294967295,25.61,1018.91,25.9,142.0,-15.83
59,143,207,956,6,256,4294967295,25.61,1018.91,25.92,142.12,-15.75
60,143,207,956,5,252,4294967295,25.61,1018.9,25.92,141.88,-15.75
59,144,208,957,5,238,4294967295,25.61,1018.9,25.92,142.48,-15.75
60,144,208,957,6,260,4294967295,25.61,1018.9,25.9,143.09,-15.83
60,144,208,957,6,260,4294967295,25.61,1018.91,25.88,143.7,-15.91
60,143,208,957,6,263,4294967295,25.61,1018.92,25.87,142.84,-15.91
60,144,207,957,6,261,4294967295,25.61,1018.92,25.89,141.28,-15.91
59,143,207,956,6,256,4294967295,25.61,1018.92,25.9,140.57,-15.83
59,142,206,955,6,258,4294967295,25.61,1018.91,25.9,141.04,-15.83
59,142,206,953,6,258,4294967295,25.61,1018.91,25.89,141.52,-15.83
59,143,206,953,5,260,4294967295,25.61,1018.91,25.89,141.52,-15.83
60,142,207,952,5,258,4294967295,25.61,1018.91,25.9,140.46,-15.83
60,142,207,952,5,256,4294967295,25.61,1018.91,25.9,139.52,-15.83
60,143,207,954,5,255,4294967295,25.61,1018.91,25.92,138.83,-15.83
60,143,207,954,5,234,4294967295,25.61,1018.91,25.93,137.58,-15.83
60,143,207,955,5,251,4294967295,25.61,1018.91,25.93,137.02,-15.83
59,143,207,955,5,255,4294967295,25.61,1018.91,25.95,134.93,-15.91
60,143,207,956,5,261,4294967295,25.61,1018.92,25.98,132.28,-16.0
60,143,208,957,5,258,4294967295,25.61,1018.93,26.04,129.23,-16.0
60,144,208,958,5,262,4294967295,25.61,1018.93,26.16,126.69,-16.0
60,144,208,958,5,260,4294967295,25.61,1018.93,26.24,124.91,-16.0
60,143,208,958,5,244,4294967295,25.61,1018.93,26.29,124.72,-16.0
60,143,208,957,5,265,4294967295,25.61,1018.93,26.34,125.0,-16.0
60,143,209,958,6,265,4294967295,25.61,1018.93,26.32,125.37,-16.0
60,144,210,958,6,269,4294967295,25.61,1018.93,26.32,126.5,-16.08
61,145,211,960,6,255,4294967295,25.61,1018.94,26.29,127.46,-16.08
