NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
27,53,55,720,5,28,0,25.52,1023.53,26.58,562.2,-54.03
27,53,54,720,5,28,0,25.52,1023.53,26.59,562.2,-53.94
27,52,55,720,5,28,0,25.52,1023.52,26.59,563.61,-53.94
26,52,55,720,6,28,0,25.52,1023.52,26.59,565.04,-54.03
26,52,55,720,6,26,0,25.52,1023.53,26.59,565.99,-54.03
26,52,54,720,5,27,0,25.52,1023.53,26.59,565.99,-54.03
26,52,55,719,6,27,0,25.52,1023.53,26.59,564.09,-54.03
26,52,54,720,6,27,0,25.53,1023.53,26.6,564.56,-53.94
26,52,55,720,6,27,0,25.53,1023.52,26.61,565.51,-53.94
27,52,55,720,6,27,0,25.53,1023.52,26.59,564.09,-53.94
26,52,54,720,6,27,0,25.53,1023.52,26.61,565.04,-54.03
26,53,54,720,6,27,0,25.52,1023.53,26.61,566.47,-53.94
26,53,55,720,6,27,0,25.52,1023.52,26.63,564.56,-53.94
26,52,54,721,6,26,0,25.52,1023.52,26.62,564.56,-53.86
26,52,54,720,7,27,0,25.52,1023.51,26.64,565.51,-53.94
26,52,54,721,6,27,0,25.52,1023.52,26.64,565.04,-53.94
26,52,54,720,6,27,0,25.52,1023.52,26.65,564.09,-53.86
27,52,54,721,6,27,0,25.52,1023.51,26.65,565.04,-53.86
26,53,54,721,6,26,0,25.52,1023.51,26.65,565.04,-53.86
26,52,54,720,6,26,0,25.52,1023.51,26.64,565.51,-53.86
26,52,54,720,6,26,0,25.52,1023.51,26.65,564.56,-53.86
26,52,54,721,6,27,0,25.52,1023.51,26.64,565.51,-53.94
26,52,54,721,6,26,0,25.52,1023.52,26.64,565.51,-53.94
26,53,54,721,6,26,0,25.51,1023.52,26.64,566.47,-53.94
26,52,54,721,5,25,0,25.51,1023.52,26.64,566.47,-53.94
26,52,54,721,6,26,0,25.51,1023.52,26.64,565.04,-54.03
26,52,54,721,6,26,0,25.51,1023.53,26.63,567.42,-54.03
26,52,54,721,6,26,0,25.51,1023.53,26.64,566.94,-54.03
26,52,54,720,6,27,0,25.51,1023.53,26.64,567.42,-54.03
26,53,54,721,7,27,0,25.51,1023.53,26.62,565.04,-54.03
26,53,54,721,7,27,0,25.51,1023.53,26.63,565.04,-54.11
26,52,54,721,6,27,0,25.51,1023.54,26.63,566.94,-54.11
26,52,54,721,7,27,0,25.51,1023.54,26.64,566.94,-54.11
26,52,54,720,7,28,0,25.51,1023.54,26.65,568.86,-54.03
26,52,54,721,7,27,0,25.51,1023.53,26.65,566.94,-54.03
26,52,54,721,8,28,0,25.5,1023.53,26.66,564.56,-53.94
26,52,54,722,7,28,0,25.5,1023.52,26.66,564.56,-53.94
26,52,54,721,7,28,0,25.5,1023.52,26.66,569.35,-53.94
26,52,54,721,8,28,0,25.5,1023.52,26.67,565.99,-53.86
26,52,54,721,8,28,0,25.5,1023.51,26.66,567.42,-53.94
26,52,54,721,7,28,0,25.5,1023.52,26.67,563.14,-53.86
26,52,54,721,11,28,0,25.5,1023.51,26.68,565.51,-53.78
25,52,54,722,8,28,0,25.5,1023.5,26.68,565.04,-53.78
25,52,54,722,8,28,0,25.5,1023.5,26.69,565.04,-53.86
26,52,54,721,8,28,0,25.5,1023.51,26.68,564.09,-53.86
26,52,54,720,10,31,0,25.5,1023.51,26.69,563.61,-53.78
25,52,54,721,8,30,0,25.49,1023.5,26.67,564.09,-53.86
25,52,53,721,10,30,0,25.49,1023.51,26.69,567.42,-53.78
25,52,54,721,10,29,0,25.49,1023.5,26.69,563.14,-53.86
26,52,53,721,10,29,0,25.49,1023.51,26.7,563.61,-53.86
26,52,54,721,9,29,0,25.49,1023.51,26.7,567.42,-53.78
25,53,53,722,10,29,0,25.49,1023.5,26.7,565.04,-53.86
26,52,54,721,8,28,0,25.49,1023.51,26.7,567.42,-53.86
26,53,53,722,8,28,0,25.49,1023.51,26.7,565.51,-53.86
26,52,54,721,9,27,0,25.49,1023.51,26.69,562.2,-53.86
25,52,54,721,8,28,0,25.49,1023.51,26.7,563.14,-53.86
25,52,53,722,9,28,0,25.49,1023.51,26.69,561.26,-53.86
26,52,54,721,9,30,0,25.49,1023.51,26.69,562.67,-53.86
26,52,53,722,9,29,0,25.49,1023.51,26.68,566.47,-53.78
26,52,53,722,8,28,0,25.49,1023.5,26.69,566.94,-53.78
26,52,53,721,9,29,0,25.49,1023.5,26.69,563.14,-53.78
25,53,53,722,9,29,0,25.49,1023.5,26.69,566.94,-53.78
26,52,54,721,8,29,0,25.49,1023.5,26.69,560.32,-53.78
26,52,54,721,9,29,0,25.49,1023.5,26.69,565.04,-53.78
26,52,54,722,8,29,0,25.49,1023.5,26.7,562.2,-53.86
26,52,54,722,9,29,0,25.49,1023.51,26.71,563.61,-53.86
25,52,53,722,9,29,0,25.5,1023.51,26.72,561.26,-53.86
25,52,54,722,9,29,0,25.5,1023.51,26.73,562.67,-53.86
26,53,54,722,8,29,0,25.49,1023.51,26.73,561.26,-53.94
26,52,54,722,7,30,0,25.5,1023.52,26.72,561.26,-53.94
26,53,54,722,8,27,0,25.5,1023.52,26.72,563.14,-53.94
26,52,53,722,8,28,0,25.5,1023.52,26.72,560.32,-53.94
26,53,54,722,9,30,0,25.5,1023.52,26.73,560.79,-53.94
26,53,53,722,8,28,0,25.5,1023.52,26.73,561.26,-53.94
26,52,54,722,9,29,0,25.5,1023.52,26.74,560.32,-53.94
26,53,54,722,9,29,0,25.5,1023.52,26.73,563.61,-53.86
26,52,53,723,9,29,0,25.5,1023.51,26.73,560.32,-53.94
26,53,53,722,8,29,0,25.5,1023.52,26.72,563.14,-53.94
26,52,53,722,9,29,0,25.5,1023.52,26.72,559.39,-53.86
25,53,53,722,9,29,0,25.5,1023.51,26.72,564.56,-53.78
26,52,54,722,9,29,0,25.5,1023.5,26.72,561.26,-53.86
26,52,53,722,9,30,0,25.5,1023.51,26.71,561.26,-53.7
26,53,53,723,9,29,0,25.5,1023.49,26.71,558.46,-53.7
25,52,53,722,9,30,0,25.5,1023.49,26.71,562.67,-53.7
26,53,53,723,9,29,0,25.5,1023.49,26.7,560.32,-53.7
25,52,54,722,13,29,0,25.49,1023.49,26.71,558.0,-53.7
26,53,54,722,9,29,0,25.49,1023.49,26.71,561.26,-53.7
26,53,54,723,9,29,0,25.49,1023.49,26.71,561.26,-53.7
26,52,54,722,9,30,0,25.49,1023.49,26.69,560.79,-53.7
26,52,53,722,9,29,0,25.49,1023.49,26.69,559.86,-53.61
26,52,53,722,9,29,0,25.49,1023.48,26.7,561.26,-53.61
26,52,53,723,9,29,0,25.49,1023.48,26.7,559.86,-53.61
26,52,53,722,9,27,0,25.49,1023.48,26.7,559.86,-53.61
26,53,54,723,9,30,0,25.49,1023.48,26.68,559.39,-53.61
26,52,53,722,9,30,0,25.49,1023.48,26.69,559.39,-53.61
25,52,53,722,8,28,0,25.49,1023.48,26.68,561.73,-53.7
25,53,53,722,9,29,0,25.49,1023.49,26.7,560.32,-53.61
26,52,54,723,10,30,0,25.49,1023.48,26.72,555.69,-53.7
25,53,53,722,9,29,0,25.5,1023.49,26.71,559.86,-53.7
25,53,53,723,9,30,0,25.5,1023.49,26.71,560.32,-53.7
26,52,54,723,9,30,0,25.5,1023.49,26.71,556.61,-53.78
26,52,53,722,9,30,0,25.5,1023.5,26.71,559.86,-53.7
26,53,53,723,9,29,0,25.5,1023.49,26.72,560.32,-53.7
26,53,53,723,9,30,0,25.5,1023.49,26.71,558.0,-53.7
25,53,54,722,9,30,0,25.5,1023.49,26.72,556.61,-53.7
25,53,53,723,9,30,0,25.5,1023.49,26.72,557.53,-53.7
26,53,53,722,9,30,0,25.5,1023.49,26.73,556.15,-53.78
25,53,53,723,10,30,0,25.5,1023.5,26.73,556.15,-53.86
26,53,54,723,7,27,0,25.5,1023.51,26.74,558.46,-53.86
26,52,54,723,7,27,0,25.5,1023.51,26.74,556.61,-53.78
26,53,54,722,7,27,0,25.5,1023.5,26.74,557.53,-53.78
25,52,53,723,7,26,0,25.5,1023.5,26.75,556.15,-53.7
26,53,53,722,7,27,0,25.5,1023.49,26.75,555.23,-53.61
26,52,53,723,6,28,0,25.51,1023.48,26.74,556.15,-53.61
26,52,53,722,8,28,0,25.51,1023.48,26.74,557.07,-53.61
26,52,54,723,8,28,0,25.51,1023.48,26.73,557.53,-53.7
26,52,53,723,8,29,0,25.51,1023.49,26.74,557.53,-53.61
25,53,54,723,8,29,0,25.51,1023.48,26.75,557.07,-53.7
26,52,54,723,8,28,0,25.51,1023.49,26.74,557.07,-53.7
26,53,53,723,8,29,0,25.51,1023.49,26.73,554.31,-53.7
26,53,53,723,9,30,0,25.51,1023.49,26.73,552.04,-53.7
26,53,53,723,10,29,0,25.51,1023.49,26.74,554.31,-53.7
25,53,53,723,10,31,0,25.51,1023.49,26.73,554.31,-53.7
26,53,54,723,9,30,0,25.51,1023.49,26.74,553.4,-53.7
26,52,53,723,9,31,0,25.51,1023.49,26.74,552.94,-53.7
26,53,53,723,10,30,0,25.5,1023.49,26.74,554.77,-53.78
26,52,53,723,10,30,0,25.5,1023.5,26.74,554.77,-53.7
26,53,53,723,9,30,0,25.5,1023.49,26.74,556.61,-53.7
25,52,53,723,9,30,0,25.5,1023.49,26.74,552.49,-53.7
26,53,54,723,9,32,0,25.5,1023.49,26.74,553.86,-53.61
25,53,54,723,9,29,0,25.5,1023.48,26.74,554.31,-53.7
25,53,53,723,10,29,0,25.51,1023.49,26.72,554.31,-53.61
26,53,54,723,9,29,0,25.51,1023.48,26.73,555.69,-53.61
26,53,53,723,9,29,0,25.51,1023.48,26.73,554.31,-53.61
25,53,53,723,9,29,0,25.51,1023.48,26.72,554.77,-53.53
26,52,53,723,9,29,0,25.51,1023.47,26.71,555.23,-53.53
26,53,53,723,9,33,0,25.51,1023.47,26.7,556.61,-53.61
26,53,53,723,9,29,0,25.51,1023.48,26.7,556.61,-53.53
25,53,53,723,10,30,0,25.51,1023.47,26.7,557.53,-53.61
26,53,53,723,9,30,0,25.44,1023.48,26.72,548.43,-53.61
26,53,54,723,9,30,0,25.44,1023.48,26.77,545.76,-53.53
26,53,53,723,10,31,0,25.44,1023.47,26.77,550.68,-53.53
26,53,53,723,9,30,0,25.45,1023.47,26.77,550.68,-53.61
26,53,54,723,10,30,0,25.46,1023.48,26.76,550.23,-53.61
26,53,54,723,9,29,0,25.47,1023.48,26.77,547.98,-53.53
26,53,53,723,9,28,0,25.47,1023.47,26.75,550.23,-53.53
26,53,54,723,9,29,0,25.48,1023.47,26.75,549.78,-53.53
26,53,53,723,10,29,0,25.48,1023.47,26.73,548.88,-53.53
26,53,53,723,9,30,0,25.49,1023.47,26.74,547.54,-53.53
26,53,54,723,10,28,0,25.49,1023.47,26.73,552.49,-53.45
26,53,54,723,9,29,0,25.49,1023.46,26.72,551.13,-53.53
26,53,54,723,10,29,0,25.5,1023.47,26.72,549.78,-53.53
25,53,54,724,9,29,0,25.5,1023.47,26.73,549.33,-53.53
26,53,54,723,9,29,0,25.5,1023.47,26.71,552.04,-53.53
26,53,53,723,9,30,0,25.5,1023.47,26.72,550.23,-53.53
26,53,53,723,9,29,0,25.5,1023.47,26.71,550.23,-53.53
26,53,53,723,9,29,0,25.51,1023.47,26.72,547.54,-53.53
26,53,53,723,10,29,0,25.51,1023.47,26.71,551.13,-53.53
26,53,54,724,9,29,0,25.51,1023.47,26.71,547.54,-53.53
26,53,54,723,9,30,0,25.51,1023.47,26.71,551.13,-53.53
26,53,53,723,9,29,0,25.51,1023.47,26.7,551.13,-53.53
26,53,53,723,9,29,0,25.51,1023.47,26.7,552.94,-53.61
26,53,53,723,9,29,0,25.51,1023.48,26.69,549.78,-53.61
26,53,53,723,12,29,0,25.51,1023.48,26.7,550.23,-53.61
26,53,53,724,10,30,0,25.51,1023.48,26.68,552.49,-53.61
26,53,54,724,10,30,0,25.51,1023.48,26.67,552.94,-53.53
26,53,53,724,9,30,0,25.51,1023.47,26.68,551.13,-53.53
26,53,53,723,9,30,0,25.51,1023.47,26.68,550.23,-53.53
26,53,54,723,9,29,0,25.52,1023.47,26.67,551.13,-53.45
26,53,54,723,9,29,0,25.52,1023.46,26.67,551.13,-53.45
26,53,53,724,9,29,0,25.52,1023.46,26.66,551.13,-53.53
26,53,53,724,9,29,0,25.52,1023.47,26.66,552.49,-53.45
26,53,54,724,8,29,0,25.52,1023.46,26.66,549.78,-53.45
26,53,53,724,9,30,0,25.52,1023.46,26.67,552.04,-53.45
26,53,54,723,12,29,0,25.52,1023.46,26.66,552.49,-53.45
26,53,54,724,9,29,0,25.52,1023.46,26.67,551.13,-53.45
