NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
34,57,69,721,7,36,0,25.42,1021.83,25.18,544.87,-39.99
35,57,68,721,7,37,0,25.42,1021.83,25.2,540.49,-39.99
34,57,69,721,8,36,0,25.42,1021.83,25.24,539.62,-39.99
34,57,69,722,8,37,0,25.42,1021.83,25.25,543.55,-39.99
34,57,68,721,8,36,0,25.41,1021.83,25.29,542.67,-39.99
34,57,68,721,7,36,0,25.41,1021.83,25.3,541.8,-39.99
34,57,68,722,7,36,0,25.41,1021.83,25.32,539.62,-39.99
34,58,68,721,7,36,0,25.41,1021.83,25.34,540.92,-39.99
34,57,68,722,7,37,0,25.41,1021.83,25.35,539.19,-39.91
34,57,69,723,7,36,0,25.41,1021.82,25.37,539.62,-39.91
34,57,68,723,7,36,0,25.41,1021.82,25.38,537.46,-39.99
33,57,68,722,7,36,0,25.41,1021.83,25.4,540.05,-39.99
33,58,68,722,8,36,0,25.41,1021.83,25.4,540.49,-39.91
34,57,68,723,8,37,0,25.41,1021.82,25.41,540.49,-39.91
33,58,68,723,8,37,0,25.42,1021.82,25.42,543.11,-39.91
34,57,68,723,7,36,0,25.42,1021.82,25.43,541.36,-39.99
34,57,68,723,8,37,0,25.41,1021.83,25.44,539.19,-39.99
33,57,68,723,8,38,0,25.41,1021.83,25.44,539.62,-39.91
33,57,68,723,8,38,0,25.41,1021.82,25.43,540.49,-39.91
33,57,68,723,8,37,0,25.41,1021.82,25.45,539.62,-39.91
33,57,68,723,8,37,0,25.41,1021.82,25.45,536.17,-39.99
33,57,68,723,8,37,0,25.41,1021.83,25.43,540.92,-39.91
33,57,67,723,8,36,0,25.41,1021.82,25.46,540.49,-39.91
33,57,67,723,8,36,0,25.41,1021.82,25.45,538.75,-39.91
33,57,68,723,8,37,0,25.41,1021.82,25.45,540.49,-39.91
33,58,68,724,8,38,0,25.41,1021.82,25.47,540.92,-39.91
33,57,68,723,8,37,0,25.41,1021.82,25.47,534.47,-39.91
33,58,68,724,8,35,0,25.41,1021.82,25.46,536.6,-39.99
33,57,67,723,8,37,0,25.41,1021.83,25.47,539.19,-39.99
33,58,68,724,8,37,0,25.41,1021.83,25.47,540.05,-40.07
33,57,67,723,8,36,0,25.42,1021.84,25.47,538.32,-39.99
33,57,68,724,8,40,0,25.42,1021.83,25.47,536.17,-39.99
33,57,68,724,7,36,0,25.42,1021.83,25.47,536.17,-39.99
33,57,67,724,9,36,0,25.42,1021.83,25.45,535.32,-39.99
33,57,67,724,8,36,0,25.42,1021.83,25.45,540.05,-40.07
33,57,68,724,8,36,0,25.42,1021.84,25.46,537.89,-39.99
33,57,67,724,8,36,0,25.42,1021.83,25.45,537.46,-39.99
33,58,67,724,8,36,0,25.42,1021.83,25.46,540.49,-39.99
33,57,68,724,8,36,0,25.42,1021.83,25.45,536.6,-39.99
