NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
38,73,96,786,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,73,96,786,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
38,73,95,788,0,47,4294967295,33.59,688.6,100.0,0.0,3170.54
38,73,96,789,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,73,94,790,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
38,73,95,792,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
38,74,95,796,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
38,74,95,799,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,74,95,803,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,74,95,807,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,74,95,812,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,96,817,0,52,4294967295,33.59,688.6,100.0,0.0,3170.54
37,75,95,821,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,96,824,0,48,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,95,826,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
37,74,96,830,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,95,832,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,95,835,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,96,837,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
37,76,96,840,0,49,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,95,841,0,51,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,96,843,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
38,75,96,845,0,51,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,96,847,0,51,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,96,849,0,51,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,96,851,0,51,4294967295,33.59,688.6,100.0,0.0,3170.54
38,76,97,853,0,50,4294967295,33.59,688.6,100.0,0.0,3170.54
