NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
30,66,67,805,1,17,0,25.43,1016.05,39.32,201.26,7.8
31,65,67,804,1,17,0,25.43,1016.06,39.34,201.5,7.88
30,66,66,804,1,17,0,25.43,1016.05,39.36,201.87,7.88
30,66,67,804,1,17,0,25.43,1016.05,39.36,202.12,7.97
30,65,67,804,1,15,0,25.43,1016.04,39.37,203.24,7.97
31,66,67,803,1,16,0,25.43,1016.04,39.38,202.61,7.88
31,66,67,803,1,17,0,25.43,1016.05,39.39,204.49,7.8
31,66,66,803,1,17,0,25.43,1016.06,39.39,203.61,7.8
31,66,66,803,1,16,0,25.43,1016.06,39.39,205.64,7.88
30,65,66,802,1,17,0,25.43,1016.05,39.38,204.24,7.88
30,66,67,802,1,18,0,25.43,1016.05,39.39,205.13,7.97
30,66,67,802,1,16,0,25.43,1016.04,39.39,203.61,7.88
30,66,67,803,1,16,0,25.43,1016.05,39.38,204.75,7.88
31,66,67,802,1,18,0,25.44,1016.05,39.38,204.37,7.88
30,66,67,802,1,17,0,25.44,1016.05,39.38,205.64,7.88
30,66,67,802,1,17,0,25.44,1016.05,39.37,205.38,7.88
30,65,66,801,1,17,0,25.44,1016.05,39.38,205.51,7.88
30,66,66,802,1,17,0,25.44,1016.05,39.36,205.89,7.8
30,66,66,802,1,18,0,25.44,1016.06,39.35,203.86,7.88
30,66,67,801,1,17,0,25.44,1016.05,39.36,205.64,7.8
30,66,66,800,1,17,0,25.44,1016.06,39.35,206.28,7.88
30,65,66,800,1,17,0,25.44,1016.05,39.34,206.41,7.88
31,66,66,801,1,17,0,25.44,1016.05,39.35,206.15,7.88
31,66,67,800,1,17,0,25.44,1016.05,39.34,207.97,7.97
30,65,66,800,1,17,0,25.44,1016.04,39.35,207.18,7.88
30,66,66,800,1,17,0,25.44,1016.05,39.35,206.93,7.97
30,65,66,801,2,18,0,25.44,1016.04,39.37,208.1,7.97
31,65,66,802,1,17,0,25.44,1016.04,39.36,208.23,7.88
30,66,67,802,1,17,0,25.44,1016.05,39.34,207.57,7.88
30,66,67,802,1,17,0,25.44,1016.05,39.33,207.44,7.8
30,66,67,802,1,17,0,25.44,1016.06,39.32,207.71,7.8
30,66,66,803,1,17,0,25.44,1016.06,39.34,207.71,7.8
30,66,67,803,1,17,0,25.44,1016.06,39.31,208.75,7.8
30,65,66,804,1,17,0,25.44,1016.06,39.3,208.23,7.88
30,66,67,803,1,16,0,25.44,1016.05,39.3,208.89,7.8
30,66,67,805,1,17,0,25.44,1016.06,39.31,209.41,7.72
30,66,67,804,1,17,0,25.44,1016.07,39.31,209.02,7.72
30,66,66,805,1,17,0,25.44,1016.07,39.32,209.28,7.8
