NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
31,63,60,761,4,12,0,25.07,1008.6,39.94,272.4,69.83
31,63,60,761,4,13,0,25.07,1008.61,39.93,271.51,69.83
31,63,59,761,4,12,0,25.07,1008.61,39.94,272.85,69.83
31,63,59,761,3,12,0,25.07,1008.61,39.94,272.85,69.83
30,63,60,761,4,13,0,25.07,1008.61,39.94,274.21,69.75
31,63,60,761,4,13,0,25.07,1008.62,39.95,275.12,69.75
31,63,59,761,4,12,0,25.07,1008.62,39.94,275.58,69.66
31,63,59,761,4,12,0,25.07,1008.63,39.94,273.08,69.66
31,63,59,761,4,12,0,25.07,1008.63,39.94,273.53,69.66
31,63,60,761,5,12,0,25.07,1008.63,39.94,274.89,69.75
31,63,59,761,4,11,0,25.07,1008.62,39.95,272.85,69.83
30,63,59,760,4,11,0,25.07,1008.61,39.93,274.67,69.75
31,63,60,762,4,12,0,25.07,1008.62,39.93,276.04,69.83
31,63,60,761,4,12,0,25.08,1008.61,39.94,275.12,69.75
31,63,60,761,4,11,0,25.08,1008.62,39.93,275.81,69.75
31,62,59,761,3,11,0,25.08,1008.62,39.93,276.27,69.75
31,63,59,761,4,11,0,25.08,1008.62,39.92,273.75,69.75
31,63,60,761,4,11,0,25.08,1008.62,39.92,272.85,69.75
30,63,59,760,4,11,0,25.08,1008.62,39.91,273.08,69.75
30,63,59,761,3,11,0,25.08,1008.62,39.91,273.53,69.75
30,63,60,761,4,11,0,25.09,1008.62,39.9,273.98,69.75
30,62,60,761,4,11,0,25.09,1008.62,39.89,277.2,69.75
30,63,60,762,4,11,0,25.09,1008.62,39.88,275.12,69.75
30,63,60,761,3,11,0,25.09,1008.62,39.88,275.12,69.75
30,63,59,762,4,11,0,25.09,1008.62,39.88,272.63,69.66
31,63,59,761,3,11,0,25.09,1008.63,39.88,276.27,69.66
31,63,59,761,4,11,0,25.09,1008.63,39.86,275.12,69.66
31,63,60,761,4,11,0,25.09,1008.63,39.86,275.81,69.66
30,63,59,761,4,11,0,25.09,1008.63,39.85,273.75,69.66
30,63,59,761,4,11,0,25.09,1008.63,39.84,276.04,69.66
30,63,60,761,4,11,0,25.09,1008.63,39.86,275.58,69.66
31,63,60,761,4,11,0,25.1,1008.63,39.85,274.67,69.66
30,63,60,762,4,11,0,25.1,1008.63,39.83,275.35,69.66
30,63,59,762,3,11,0,25.1,1008.63,39.85,276.5,69.58
31,63,60,761,3,11,0,25.1,1008.64,39.85,275.12,69.49
31,63,60,761,4,11,0,25.1,1008.65,39.83,274.89,69.58
31,63,60,761,3,11,0,25.1,1008.64,39.82,275.58,69.66
31,63,60,762,3,11,0,25.1,1008.63,39.85,276.73,69.66
31,63,60,761,3,12,0,25.1,1008.63,39.85,274.21,69.66
31,63,60,761,4,11,0,25.1,1008.63,39.85,274.89,69.58
31,63,59,762,4,11,0,25.1,1008.64,39.85,275.12,69.58
31,63,60,762,3,11,0,25.11,1008.64,39.83,275.12,69.58
31,63,59,762,3,11,0,25.11,1008.64,39.83,277.66,69.58
31,62,60,761,3,11,0,25.11,1008.64,39.83,274.67,69.58
31,63,60,762,4,11,0,25.11,1008.64,39.83,274.44,69.58
31,63,60,762,4,12,0,25.11,1008.64,39.83,274.89,69.49
31,63,60,762,3,11,0,25.11,1008.65,39.83,276.73,69.49
30,63,60,762,4,11,0,25.11,1008.65,39.82,274.89,69.49
30,63,60,762,4,11,0,25.11,1008.65,39.83,274.44,69.49
