2025-07-30 13:04:07,127 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 13:04:07,127 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 13:04:09,101 - INFO - Training on device: cuda
2025-07-30 13:04:09,278 - INFO - Epoch 01: Loss = 31.3228, Accuracy = 1.60%
2025-07-30 13:04:09,293 - INFO - Epoch 02: Loss = 31.2630, Accuracy = 1.60%
2025-07-30 13:04:09,307 - INFO - Epoch 03: Loss = 31.2065, Accuracy = 1.60%
2025-07-30 13:04:09,321 - INFO - Epoch 04: Loss = 31.1489, Accuracy = 2.00%
2025-07-30 13:04:09,334 - INFO - Epoch 05: Loss = 31.0976, Accuracy = 2.80%
2025-07-30 13:04:09,348 - INFO - Epoch 06: Loss = 31.0385, Accuracy = 4.40%
2025-07-30 13:04:09,362 - INFO - Epoch 07: Loss = 30.9797, Accuracy = 4.40%
2025-07-30 13:04:09,376 - INFO - Epoch 08: Loss = 30.9219, Accuracy = 5.20%
2025-07-30 13:04:09,389 - INFO - Epoch 09: Loss = 30.8640, Accuracy = 6.40%
2025-07-30 13:04:09,403 - INFO - Epoch 10: Loss = 30.8067, Accuracy = 8.00%
2025-07-30 13:04:09,417 - INFO - Epoch 11: Loss = 30.7402, Accuracy = 9.20%
2025-07-30 13:04:09,430 - INFO - Epoch 12: Loss = 30.6801, Accuracy = 10.40%
2025-07-30 13:04:09,444 - INFO - Epoch 13: Loss = 30.6157, Accuracy = 12.40%
2025-07-30 13:04:09,458 - INFO - Epoch 14: Loss = 30.5302, Accuracy = 13.20%
2025-07-30 13:04:09,471 - INFO - Epoch 15: Loss = 30.4589, Accuracy = 13.60%
2025-07-30 13:04:09,485 - INFO - Epoch 16: Loss = 30.3835, Accuracy = 14.00%
2025-07-30 13:04:09,499 - INFO - Epoch 17: Loss = 30.2976, Accuracy = 14.40%
2025-07-30 13:04:09,513 - INFO - Epoch 18: Loss = 30.2196, Accuracy = 14.00%
2025-07-30 13:04:09,526 - INFO - Epoch 19: Loss = 30.1308, Accuracy = 14.80%
2025-07-30 13:04:09,540 - INFO - Epoch 20: Loss = 30.0345, Accuracy = 14.40%
2025-07-30 13:04:09,554 - INFO - Epoch 21: Loss = 29.9216, Accuracy = 14.40%
2025-07-30 13:04:09,567 - INFO - Epoch 22: Loss = 29.8098, Accuracy = 14.40%
2025-07-30 13:04:09,581 - INFO - Epoch 23: Loss = 29.6874, Accuracy = 14.40%
2025-07-30 13:04:09,595 - INFO - Epoch 24: Loss = 29.5511, Accuracy = 14.80%
2025-07-30 13:04:09,608 - INFO - Epoch 25: Loss = 29.4336, Accuracy = 14.40%
2025-07-30 13:04:09,622 - INFO - Epoch 26: Loss = 29.2711, Accuracy = 14.40%
2025-07-30 13:04:09,636 - INFO - Epoch 27: Loss = 29.0875, Accuracy = 14.00%
2025-07-30 13:04:09,649 - INFO - Epoch 28: Loss = 28.9130, Accuracy = 14.00%
2025-07-30 13:04:09,663 - INFO - Epoch 29: Loss = 28.7600, Accuracy = 14.00%
2025-07-30 13:04:09,677 - INFO - Epoch 30: Loss = 28.5709, Accuracy = 15.60%
2025-07-30 13:04:09,690 - INFO - Epoch 31: Loss = 28.3015, Accuracy = 15.60%
2025-07-30 13:04:09,704 - INFO - Epoch 32: Loss = 28.0982, Accuracy = 16.40%
2025-07-30 13:04:09,718 - INFO - Epoch 33: Loss = 27.8713, Accuracy = 17.20%
2025-07-30 13:04:09,731 - INFO - Epoch 34: Loss = 27.6414, Accuracy = 17.20%
2025-07-30 13:04:09,745 - INFO - Epoch 35: Loss = 27.4117, Accuracy = 18.00%
2025-07-30 13:04:09,759 - INFO - Epoch 36: Loss = 27.1590, Accuracy = 18.40%
2025-07-30 13:04:09,772 - INFO - Epoch 37: Loss = 26.9165, Accuracy = 18.40%
2025-07-30 13:04:09,786 - INFO - Epoch 38: Loss = 26.6724, Accuracy = 18.80%
2025-07-30 13:04:09,800 - INFO - Epoch 39: Loss = 26.4043, Accuracy = 19.20%
2025-07-30 13:04:09,813 - INFO - Epoch 40: Loss = 26.2051, Accuracy = 18.80%
2025-07-30 13:04:09,827 - INFO - Epoch 41: Loss = 25.9352, Accuracy = 19.20%
2025-07-30 13:04:09,841 - INFO - Epoch 42: Loss = 25.6006, Accuracy = 19.60%
2025-07-30 13:04:09,854 - INFO - Epoch 43: Loss = 25.3623, Accuracy = 19.60%
2025-07-30 13:04:09,868 - INFO - Epoch 44: Loss = 25.1140, Accuracy = 20.00%
2025-07-30 13:04:09,882 - INFO - Epoch 45: Loss = 24.8904, Accuracy = 21.60%
2025-07-30 13:04:09,895 - INFO - Epoch 46: Loss = 24.6348, Accuracy = 22.00%
2025-07-30 13:04:09,909 - INFO - Epoch 47: Loss = 24.4088, Accuracy = 22.40%
2025-07-30 13:04:09,922 - INFO - Epoch 48: Loss = 24.2322, Accuracy = 23.20%
2025-07-30 13:04:09,936 - INFO - Epoch 49: Loss = 24.0036, Accuracy = 23.60%
2025-07-30 13:04:09,950 - INFO - Epoch 50: Loss = 23.7695, Accuracy = 22.40%
2025-07-30 13:04:09,963 - INFO - Epoch 51: Loss = 23.6382, Accuracy = 23.60%
2025-07-30 13:04:09,977 - INFO - Epoch 52: Loss = 23.4696, Accuracy = 22.40%
2025-07-30 13:04:09,991 - INFO - Epoch 53: Loss = 23.2159, Accuracy = 22.40%
2025-07-30 13:04:10,004 - INFO - Epoch 54: Loss = 23.1089, Accuracy = 22.80%
2025-07-30 13:04:10,018 - INFO - Epoch 55: Loss = 22.9595, Accuracy = 22.40%
2025-07-30 13:04:10,032 - INFO - Epoch 56: Loss = 22.7256, Accuracy = 23.20%
2025-07-30 13:04:10,045 - INFO - Epoch 57: Loss = 22.5955, Accuracy = 23.20%
2025-07-30 13:04:10,059 - INFO - Epoch 58: Loss = 22.4203, Accuracy = 22.80%
2025-07-30 13:04:10,073 - INFO - Epoch 59: Loss = 22.2312, Accuracy = 24.40%
2025-07-30 13:04:10,086 - INFO - Epoch 60: Loss = 22.1158, Accuracy = 24.40%
2025-07-30 13:04:10,100 - INFO - Epoch 61: Loss = 21.8950, Accuracy = 24.80%
2025-07-30 13:04:10,114 - INFO - Epoch 62: Loss = 21.7867, Accuracy = 26.40%
2025-07-30 13:04:10,127 - INFO - Epoch 63: Loss = 21.6128, Accuracy = 26.40%
2025-07-30 13:04:10,141 - INFO - Epoch 64: Loss = 21.4848, Accuracy = 26.00%
2025-07-30 13:04:10,155 - INFO - Epoch 65: Loss = 21.3196, Accuracy = 27.20%
2025-07-30 13:04:10,168 - INFO - Epoch 66: Loss = 21.1377, Accuracy = 28.40%
2025-07-30 13:04:10,182 - INFO - Epoch 67: Loss = 20.9896, Accuracy = 29.20%
2025-07-30 13:04:10,196 - INFO - Epoch 68: Loss = 20.8845, Accuracy = 29.20%
2025-07-30 13:04:10,209 - INFO - Epoch 69: Loss = 20.8108, Accuracy = 28.80%
2025-07-30 13:04:10,223 - INFO - Epoch 70: Loss = 20.6968, Accuracy = 29.20%
2025-07-30 13:04:10,237 - INFO - Epoch 71: Loss = 20.5390, Accuracy = 30.00%
2025-07-30 13:04:10,250 - INFO - Epoch 72: Loss = 20.3594, Accuracy = 31.20%
2025-07-30 13:04:10,264 - INFO - Epoch 73: Loss = 20.2838, Accuracy = 31.20%
2025-07-30 13:04:10,277 - INFO - Epoch 74: Loss = 20.1655, Accuracy = 32.40%
2025-07-30 13:04:10,291 - INFO - Epoch 75: Loss = 20.0010, Accuracy = 32.40%
2025-07-30 13:04:10,305 - INFO - Epoch 76: Loss = 19.8731, Accuracy = 34.00%
2025-07-30 13:04:10,318 - INFO - Epoch 77: Loss = 19.7702, Accuracy = 35.20%
2025-07-30 13:04:10,332 - INFO - Epoch 78: Loss = 19.6734, Accuracy = 34.00%
2025-07-30 13:04:10,346 - INFO - Epoch 79: Loss = 19.5218, Accuracy = 35.60%
2025-07-30 13:04:10,359 - INFO - Epoch 80: Loss = 19.4081, Accuracy = 35.60%
2025-07-30 13:04:10,373 - INFO - Epoch 81: Loss = 19.2674, Accuracy = 37.60%
2025-07-30 13:04:10,387 - INFO - Epoch 82: Loss = 19.2199, Accuracy = 36.80%
2025-07-30 13:04:10,400 - INFO - Epoch 83: Loss = 19.1200, Accuracy = 38.80%
2025-07-30 13:04:10,414 - INFO - Epoch 84: Loss = 18.9944, Accuracy = 39.20%
2025-07-30 13:04:10,428 - INFO - Epoch 85: Loss = 18.9132, Accuracy = 39.20%
2025-07-30 13:04:10,441 - INFO - Epoch 86: Loss = 18.8484, Accuracy = 40.40%
2025-07-30 13:04:10,455 - INFO - Epoch 87: Loss = 18.7188, Accuracy = 41.20%
2025-07-30 13:04:10,469 - INFO - Epoch 88: Loss = 18.5888, Accuracy = 41.60%
2025-07-30 13:04:10,482 - INFO - Epoch 89: Loss = 18.4924, Accuracy = 41.60%
