NO2,C2H5OH,VOC,CO
410.0,517.0,328.0,380.0
410.0,518.0,330.0,393.0
412.0,519.0,331.0,400.0
411.0,520.0,332.0,403.0
414.0,520.0,334.0,408.0
416.0,521.0,333.0,413.0
418.0,522.0,335.0,418.0
419.0,524.0,336.0,420.0
419.0,523.0,336.0,414.0
419.0,524.0,337.0,413.0
420.0,524.0,338.0,414.0
422.0,525.0,339.0,417.0
426.0,525.0,340.0,422.0
431.0,527.0,341.0,429.0
433.0,527.0,342.0,433.0
436.0,528.0,343.0,433.0
437.0,529.0,343.0,431.0
439.0,529.0,344.0,432.0
441.0,531.0,344.0,434.0
443.0,532.0,345.0,436.0
447.0,531.0,346.0,437.0
450.0,533.0,346.0,437.0
451.0,534.0,348.0,432.0
451.0,534.0,348.0,430.0
454.0,533.0,348.0,430.0
456.0,534.0,347.0,429.0
460.0,535.0,349.0,432.0
463.0,535.0,350.0,435.0
469.0,537.0,350.0,443.0
472.0,537.0,352.0,449.0
476.0,538.0,353.0,450.0
477.0,539.0,354.0,450.0
481.0,540.0,354.0,450.0
484.0,541.0,356.0,453.0
488.0,541.0,356.0,456.0
493.0,542.0,358.0,458.0
495.0,543.0,358.0,458.0
497.0,543.0,360.0,457.0
499.0,545.0,360.0,458.0
502.0,544.0,361.0,460.0
506.0,546.0,361.0,460.0
509.0,546.0,363.0,463.0
511.0,547.0,364.0,462.0
513.0,548.0,364.0,461.0
514.0,549.0,364.0,461.0
516.0,550.0,365.0,460.0
517.0,550.0,366.0,460.0
520.0,550.0,366.0,460.0
522.0,552.0,367.0,460.0
525.0,553.0,368.0,461.0
528.0,553.0,369.0,463.0
529.0,554.0,369.0,465.0
531.0,554.0,370.0,464.0
533.0,555.0,371.0,461.0
534.0,555.0,371.0,461.0
536.0,555.0,371.0,461.0
536.0,555.0,371.0,455.0
535.0,555.0,371.0,447.0
535.0,556.0,371.0,449.0
537.0,556.0,372.0,453.0
539.0,556.0,373.0,456.0
540.0,557.0,373.0,458.0
541.0,557.0,373.0,456.0
541.0,557.0,373.0,453.0
539.0,556.0,373.0,448.0
539.0,556.0,373.0,448.0
540.0,556.0,373.0,449.0
542.0,556.0,372.0,454.0
545.0,557.0,374.0,456.0
547.0,557.0,374.0,457.0
548.0,558.0,375.0,454.0
547.0,558.0,374.0,449.0
546.0,557.0,375.0,449.0
546.0,557.0,374.0,451.0
547.0,557.0,374.0,453.0
550.0,558.0,375.0,455.0
551.0,559.0,376.0,456.0
553.0,559.0,377.0,458.0
553.0,560.0,376.0,459.0
555.0,560.0,377.0,459.0
555.0,560.0,378.0,458.0
557.0,560.0,378.0,460.0
559.0,560.0,378.0,457.0
558.0,562.0,378.0,458.0
560.0,561.0,378.0,460.0
562.0,562.0,379.0,461.0
564.0,563.0,380.0,463.0
565.0,563.0,381.0,463.0
566.0,563.0,381.0,460.0
566.0,564.0,381.0,462.0
