NO2,C2H5OH,VOC,CO
639.0,639.0,475.0,516.0
639.0,638.0,474.0,516.0
639.0,639.0,475.0,515.0
638.0,638.0,474.0,515.0
638.0,638.0,474.0,514.0
636.0,638.0,473.0,512.0
634.0,637.0,473.0,511.0
635.0,638.0,472.0,511.0
635.0,638.0,472.0,513.0
636.0,638.0,472.0,515.0
635.0,637.0,472.0,513.0
635.0,636.0,472.0,512.0
634.0,637.0,472.0,514.0
634.0,636.0,471.0,516.0
634.0,637.0,473.0,519.0
636.0,637.0,472.0,519.0
636.0,638.0,474.0,518.0
636.0,637.0,474.0,518.0
636.0,637.0,474.0,518.0
636.0,638.0,473.0,518.0
636.0,637.0,474.0,519.0
636.0,638.0,475.0,520.0
637.0,638.0,474.0,519.0
637.0,639.0,475.0,519.0
637.0,639.0,475.0,518.0
637.0,639.0,475.0,519.0
638.0,639.0,474.0,518.0
638.0,639.0,475.0,519.0
637.0,639.0,475.0,520.0
639.0,640.0,476.0,522.0
639.0,640.0,477.0,523.0
640.0,640.0,477.0,525.0
641.0,642.0,478.0,524.0
642.0,642.0,479.0,524.0
642.0,642.0,479.0,525.0
642.0,643.0,479.0,525.0
643.0,643.0,480.0,525.0
644.0,644.0,481.0,526.0
644.0,644.0,482.0,526.0
645.0,645.0,482.0,526.0
645.0,645.0,483.0,526.0
644.0,645.0,483.0,526.0
644.0,646.0,483.0,524.0
644.0,645.0,483.0,524.0
644.0,645.0,483.0,524.0
643.0,645.0,483.0,521.0
642.0,645.0,483.0,521.0
642.0,644.0,482.0,519.0
640.0,645.0,482.0,518.0
640.0,644.0,482.0,519.0
642.0,644.0,482.0,523.0
642.0,646.0,483.0,525.0
643.0,645.0,484.0,526.0
643.0,646.0,484.0,523.0
643.0,646.0,484.0,522.0
642.0,646.0,484.0,522.0
642.0,646.0,483.0,521.0
641.0,645.0,483.0,517.0
640.0,645.0,482.0,517.0
638.0,644.0,482.0,518.0
640.0,644.0,482.0,520.0
641.0,645.0,483.0,522.0
640.0,645.0,483.0,518.0
640.0,644.0,483.0,518.0
639.0,644.0,481.0,520.0
640.0,645.0,483.0,521.0
641.0,645.0,483.0,523.0
642.0,645.0,483.0,521.0
642.0,645.0,484.0,522.0
641.0,645.0,484.0,523.0
643.0,646.0,485.0,525.0
644.0,646.0,485.0,525.0
644.0,647.0,486.0,525.0
644.0,647.0,486.0,526.0
644.0,647.0,486.0,525.0
645.0,648.0,487.0,525.0
645.0,647.0,487.0,524.0
645.0,648.0,487.0,524.0
645.0,648.0,487.0,525.0
646.0,649.0,488.0,527.0
645.0,649.0,488.0,526.0
646.0,650.0,489.0,526.0
646.0,651.0,488.0,527.0
647.0,651.0,489.0,527.0
646.0,650.0,490.0,525.0
645.0,650.0,489.0,522.0
643.0,650.0,489.0,519.0
643.0,649.0,487.0,521.0
644.0,650.0,488.0,525.0
645.0,651.0,489.0,527.0
