NO2,C2H5OH,VOC,CO
382.0,493.0,324.0,276.0
380.0,490.0,321.0,286.0
381.0,489.0,320.0,326.0
381.0,490.0,320.0,372.0
385.0,490.0,321.0,385.0
385.0,489.0,319.0,377.0
384.0,487.0,319.0,374.0
386.0,487.0,319.0,381.0
389.0,486.0,319.0,396.0
392.0,487.0,318.0,410.0
393.0,487.0,318.0,412.0
395.0,486.0,318.0,412.0
397.0,487.0,319.0,414.0
400.0,487.0,318.0,418.0
402.0,487.0,318.0,427.0
404.0,487.0,319.0,433.0
406.0,488.0,319.0,436.0
406.0,488.0,320.0,437.0
410.0,488.0,321.0,437.0
412.0,488.0,321.0,438.0
412.0,488.0,321.0,443.0
415.0,489.0,321.0,449.0
416.0,490.0,323.0,452.0
419.0,491.0,323.0,452.0
420.0,491.0,324.0,453.0
422.0,492.0,324.0,455.0
425.0,491.0,326.0,458.0
427.0,493.0,327.0,464.0
431.0,494.0,326.0,465.0
432.0,495.0,328.0,470.0
435.0,496.0,329.0,470.0
435.0,496.0,330.0,470.0
437.0,496.0,330.0,472.0
438.0,498.0,331.0,475.0
442.0,499.0,332.0,477.0
444.0,501.0,333.0,479.0
446.0,501.0,334.0,477.0
447.0,502.0,335.0,479.0
449.0,503.0,336.0,478.0
452.0,504.0,336.0,478.0
455.0,505.0,337.0,482.0
456.0,506.0,338.0,483.0
459.0,506.0,339.0,486.0
461.0,508.0,340.0,487.0
462.0,508.0,341.0,487.0
464.0,509.0,343.0,488.0
466.0,511.0,344.0,491.0
467.0,512.0,346.0,493.0
468.0,513.0,346.0,491.0
470.0,514.0,348.0,493.0
472.0,515.0,347.0,495.0
474.0,516.0,349.0,496.0
475.0,516.0,349.0,496.0
475.0,517.0,352.0,497.0
475.0,518.0,352.0,498.0
477.0,519.0,353.0,499.0
478.0,520.0,354.0,496.0
476.0,520.0,354.0,494.0
477.0,520.0,355.0,492.0
477.0,520.0,354.0,495.0
478.0,522.0,356.0,499.0
481.0,522.0,357.0,501.0
484.0,524.0,357.0,504.0
485.0,526.0,359.0,505.0
486.0,526.0,360.0,504.0
487.0,526.0,361.0,503.0
488.0,528.0,361.0,506.0
490.0,529.0,363.0,507.0
492.0,530.0,365.0,509.0
492.0,531.0,364.0,510.0
492.0,531.0,366.0,508.0
493.0,532.0,366.0,508.0
495.0,533.0,367.0,509.0
497.0,535.0,369.0,509.0
499.0,536.0,370.0,511.0
502.0,537.0,371.0,513.0
503.0,538.0,371.0,513.0
504.0,538.0,373.0,513.0
505.0,541.0,374.0,514.0
507.0,541.0,375.0,514.0
508.0,542.0,376.0,515.0
509.0,543.0,377.0,514.0
510.0,545.0,378.0,515.0
511.0,545.0,379.0,515.0
513.0,547.0,379.0,516.0
514.0,548.0,381.0,516.0
515.0,549.0,382.0,518.0
515.0,550.0,382.0,517.0
517.0,551.0,383.0,517.0
517.0,552.0,384.0,517.0
