NO2,C2H5OH,VOC,CO
583.0,665.0,525.0,566.0
582.0,664.0,525.0,566.0
582.0,665.0,525.0,566.0
582.0,664.0,526.0,565.0
583.0,665.0,525.0,566.0
582.0,665.0,525.0,567.0
582.0,665.0,525.0,566.0
582.0,665.0,526.0,566.0
583.0,665.0,525.0,565.0
583.0,665.0,526.0,564.0
583.0,664.0,526.0,565.0
583.0,665.0,525.0,565.0
583.0,665.0,525.0,566.0
583.0,666.0,526.0,566.0
583.0,666.0,526.0,566.0
584.0,666.0,526.0,566.0
583.0,665.0,525.0,566.0
583.0,665.0,526.0,565.0
584.0,666.0,526.0,565.0
585.0,666.0,526.0,565.0
584.0,665.0,527.0,565.0
583.0,666.0,526.0,566.0
584.0,666.0,527.0,566.0
584.0,666.0,526.0,565.0
583.0,665.0,526.0,565.0
583.0,666.0,526.0,565.0
583.0,665.0,527.0,565.0
584.0,665.0,527.0,565.0
585.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
585.0,666.0,526.0,564.0
584.0,667.0,526.0,565.0
584.0,666.0,526.0,566.0
584.0,666.0,526.0,565.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,566.0
584.0,666.0,526.0,566.0
584.0,666.0,526.0,565.0
585.0,666.0,527.0,566.0
584.0,666.0,526.0,565.0
585.0,666.0,526.0,565.0
585.0,665.0,527.0,565.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,566.0
585.0,666.0,527.0,566.0
585.0,666.0,527.0,565.0
584.0,666.0,526.0,566.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
583.0,666.0,527.0,566.0
583.0,665.0,527.0,565.0
584.0,666.0,526.0,566.0
584.0,666.0,526.0,565.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
584.0,666.0,526.0,565.0
584.0,666.0,527.0,565.0
583.0,666.0,527.0,566.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
584.0,667.0,526.0,566.0
583.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
584.0,666.0,527.0,565.0
585.0,666.0,527.0,566.0
585.0,666.0,527.0,566.0
585.0,666.0,528.0,566.0
585.0,666.0,528.0,566.0
585.0,666.0,527.0,565.0
584.0,666.0,527.0,566.0
585.0,666.0,527.0,566.0
584.0,666.0,528.0,566.0
584.0,667.0,528.0,566.0
585.0,667.0,528.0,567.0
585.0,666.0,528.0,566.0
585.0,666.0,528.0,565.0
585.0,667.0,527.0,565.0
585.0,666.0,528.0,567.0
584.0,666.0,528.0,567.0
585.0,667.0,528.0,567.0
585.0,667.0,527.0,565.0
586.0,667.0,528.0,567.0
585.0,668.0,528.0,566.0
585.0,667.0,528.0,566.0
586.0,667.0,528.0,566.0
585.0,666.0,528.0,567.0
585.0,667.0,528.0,567.0
585.0,666.0,528.0,566.0
585.0,666.0,528.0,566.0
585.0,667.0,529.0,567.0
