NO2,C2H5OH,VOC,CO
368.0,493.0,295.0,410.0
366.0,495.0,297.0,408.0
368.0,495.0,298.0,409.0
371.0,497.0,298.0,410.0
375.0,499.0,300.0,416.0
378.0,502.0,303.0,420.0
379.0,504.0,304.0,423.0
378.0,506.0,305.0,425.0
376.0,507.0,307.0,423.0
375.0,508.0,308.0,422.0
374.0,510.0,309.0,424.0
375.0,512.0,310.0,424.0
375.0,514.0,311.0,426.0
376.0,516.0,313.0,425.0
375.0,517.0,314.0,426.0
376.0,519.0,315.0,425.0
377.0,521.0,315.0,425.0
379.0,522.0,315.0,426.0
381.0,524.0,318.0,427.0
381.0,525.0,318.0,428.0
382.0,527.0,319.0,428.0
383.0,529.0,321.0,428.0
384.0,529.0,321.0,428.0
385.0,532.0,322.0,428.0
387.0,534.0,324.0,428.0
391.0,534.0,325.0,429.0
394.0,538.0,326.0,427.0
396.0,539.0,326.0,428.0
400.0,540.0,328.0,427.0
403.0,542.0,328.0,428.0
