NO2,C2H5OH,VOC,CO
453.0,588.0,359.0,446.0
456.0,590.0,360.0,449.0
459.0,591.0,363.0,452.0
462.0,593.0,363.0,453.0
464.0,595.0,365.0,456.0
466.0,597.0,366.0,458.0
465.0,598.0,367.0,462.0
464.0,600.0,369.0,461.0
463.0,601.0,370.0,462.0
463.0,602.0,370.0,465.0
462.0,603.0,372.0,466.0
460.0,604.0,372.0,465.0
459.0,605.0,373.0,463.0
457.0,606.0,374.0,463.0
455.0,606.0,375.0,464.0
453.0,607.0,374.0,462.0
452.0,608.0,376.0,463.0
450.0,607.0,375.0,462.0
449.0,609.0,376.0,462.0
447.0,609.0,376.0,463.0
445.0,609.0,376.0,464.0
444.0,611.0,377.0,464.0
445.0,611.0,378.0,465.0
446.0,612.0,378.0,465.0
450.0,613.0,379.0,464.0
453.0,614.0,379.0,463.0
457.0,615.0,381.0,463.0
461.0,616.0,382.0,461.0
466.0,617.0,383.0,462.0
468.0,618.0,383.0,461.0
