NO2,C2H5OH,VOC,CO
483.0,647.0,400.0,440.0
483.0,647.0,401.0,441.0
482.0,646.0,400.0,441.0
483.0,647.0,400.0,440.0
483.0,647.0,400.0,440.0
483.0,646.0,399.0,444.0
484.0,646.0,400.0,445.0
485.0,646.0,399.0,444.0
485.0,645.0,399.0,444.0
486.0,646.0,399.0,444.0
486.0,646.0,399.0,444.0
487.0,646.0,399.0,444.0
486.0,645.0,399.0,444.0
487.0,645.0,399.0,443.0
487.0,645.0,398.0,444.0
488.0,646.0,398.0,442.0
489.0,645.0,398.0,441.0
489.0,645.0,398.0,444.0
490.0,645.0,399.0,444.0
490.0,645.0,398.0,443.0
491.0,644.0,398.0,444.0
491.0,644.0,398.0,443.0
490.0,645.0,398.0,443.0
490.0,645.0,398.0,443.0
490.0,644.0,398.0,441.0
490.0,644.0,398.0,442.0
490.0,644.0,398.0,443.0
490.0,644.0,397.0,442.0
488.0,644.0,396.0,440.0
487.0,644.0,396.0,440.0
