NO2,C2H5OH,VOC,CO
485.0,514.0,323.0,267.0
486.0,514.0,323.0,266.0
488.0,515.0,323.0,267.0
489.0,516.0,323.0,269.0
491.0,516.0,324.0,271.0
492.0,516.0,325.0,272.0
494.0,517.0,325.0,272.0
495.0,518.0,326.0,274.0
497.0,519.0,326.0,273.0
497.0,519.0,326.0,274.0
496.0,519.0,327.0,274.0
498.0,520.0,326.0,276.0
498.0,520.0,327.0,273.0
499.0,521.0,328.0,275.0
499.0,521.0,328.0,275.0
498.0,522.0,328.0,274.0
499.0,522.0,328.0,275.0
498.0,523.0,328.0,275.0
498.0,522.0,329.0,275.0
496.0,523.0,329.0,273.0
497.0,522.0,329.0,274.0
496.0,523.0,329.0,274.0
496.0,524.0,330.0,274.0
498.0,523.0,330.0,275.0
498.0,525.0,329.0,277.0
499.0,526.0,331.0,278.0
500.0,526.0,331.0,277.0
499.0,526.0,331.0,279.0
500.0,526.0,332.0,280.0
500.0,528.0,331.0,282.0
499.0,529.0,332.0,282.0
500.0,528.0,333.0,284.0
500.0,529.0,333.0,283.0
499.0,531.0,334.0,284.0
498.0,531.0,333.0,283.0
498.0,530.0,334.0,282.0
495.0,530.0,333.0,282.0
495.0,530.0,333.0,283.0
494.0,532.0,334.0,284.0
494.0,531.0,335.0,287.0
494.0,533.0,335.0,289.0
495.0,534.0,335.0,290.0
496.0,534.0,336.0,290.0
498.0,536.0,337.0,291.0
497.0,538.0,338.0,291.0
499.0,539.0,339.0,291.0
501.0,540.0,339.0,291.0
502.0,540.0,339.0,290.0
502.0,541.0,340.0,290.0
502.0,542.0,340.0,290.0
503.0,543.0,341.0,288.0
504.0,544.0,341.0,287.0
504.0,544.0,341.0,288.0
505.0,544.0,342.0,287.0
505.0,545.0,342.0,286.0
504.0,544.0,342.0,285.0
503.0,545.0,341.0,284.0
503.0,544.0,343.0,283.0
502.0,545.0,343.0,285.0
501.0,545.0,343.0,283.0
