NO2,C2H5OH,VOC,CO
804.0,908.0,758.0,424.0
804.0,908.0,756.0,423.0
803.0,907.0,757.0,420.0
803.0,908.0,756.0,417.0
803.0,906.0,756.0,414.0
802.0,906.0,755.0,411.0
801.0,906.0,754.0,410.0
802.0,904.0,754.0,407.0
800.0,905.0,754.0,409.0
801.0,905.0,754.0,410.0
800.0,904.0,754.0,410.0
801.0,904.0,753.0,413.0
801.0,905.0,753.0,414.0
801.0,905.0,752.0,415.0
800.0,905.0,754.0,415.0
801.0,905.0,753.0,415.0
800.0,906.0,754.0,415.0
801.0,905.0,753.0,419.0
800.0,907.0,753.0,422.0
801.0,906.0,754.0,426.0
802.0,906.0,754.0,428.0
802.0,906.0,754.0,431.0
802.0,908.0,755.0,432.0
802.0,908.0,755.0,431.0
803.0,907.0,755.0,429.0
802.0,908.0,755.0,426.0
802.0,908.0,755.0,428.0
803.0,908.0,755.0,428.0
803.0,908.0,755.0,429.0
804.0,907.0,755.0,431.0
804.0,908.0,756.0,432.0
803.0,908.0,756.0,434.0
802.0,908.0,756.0,437.0
803.0,909.0,756.0,440.0
803.0,909.0,756.0,440.0
803.0,909.0,756.0,441.0
803.0,909.0,757.0,443.0
804.0,910.0,757.0,446.0
804.0,910.0,756.0,446.0
804.0,909.0,758.0,447.0
805.0,910.0,757.0,447.0
805.0,910.0,757.0,447.0
804.0,910.0,758.0,446.0
804.0,911.0,757.0,445.0
804.0,911.0,758.0,449.0
804.0,911.0,759.0,451.0
804.0,911.0,759.0,452.0
804.0,911.0,758.0,451.0
804.0,910.0,759.0,455.0
804.0,911.0,759.0,453.0
805.0,911.0,759.0,454.0
805.0,910.0,759.0,454.0
805.0,911.0,760.0,455.0
805.0,912.0,761.0,455.0
805.0,911.0,759.0,455.0
806.0,912.0,759.0,456.0
805.0,913.0,760.0,456.0
805.0,911.0,760.0,454.0
805.0,911.0,760.0,452.0
805.0,910.0,760.0,449.0
