NO2,C2H5OH,VOC,CO
805.0,910.0,760.0,457.0
805.0,911.0,760.0,461.0
805.0,912.0,761.0,462.0
806.0,912.0,761.0,465.0
806.0,912.0,761.0,468.0
806.0,912.0,762.0,467.0
807.0,913.0,761.0,467.0
806.0,913.0,762.0,468.0
807.0,913.0,761.0,469.0
807.0,912.0,762.0,469.0
807.0,913.0,761.0,470.0
807.0,913.0,762.0,471.0
807.0,913.0,762.0,472.0
808.0,913.0,763.0,474.0
806.0,914.0,762.0,476.0
808.0,914.0,763.0,479.0
808.0,913.0,764.0,481.0
808.0,915.0,764.0,485.0
809.0,915.0,763.0,487.0
808.0,916.0,765.0,489.0
808.0,915.0,764.0,492.0
810.0,916.0,765.0,492.0
809.0,915.0,765.0,494.0
810.0,915.0,766.0,495.0
810.0,917.0,765.0,494.0
810.0,915.0,767.0,493.0
809.0,916.0,766.0,495.0
809.0,916.0,766.0,494.0
810.0,916.0,767.0,492.0
809.0,916.0,766.0,490.0
809.0,915.0,766.0,486.0
808.0,915.0,767.0,481.0
809.0,915.0,765.0,475.0
808.0,914.0,764.0,470.0
806.0,912.0,765.0,466.0
807.0,912.0,763.0,463.0
807.0,912.0,762.0,459.0
805.0,912.0,762.0,455.0
806.0,911.0,762.0,453.0
805.0,911.0,761.0,452.0
805.0,910.0,762.0,450.0
805.0,909.0,761.0,446.0
804.0,909.0,761.0,443.0
804.0,910.0,761.0,443.0
803.0,908.0,761.0,444.0
803.0,908.0,760.0,445.0
804.0,909.0,760.0,446.0
802.0,908.0,759.0,446.0
804.0,909.0,759.0,446.0
802.0,909.0,759.0,446.0
802.0,908.0,759.0,446.0
802.0,908.0,759.0,447.0
802.0,910.0,758.0,445.0
802.0,909.0,759.0,445.0
803.0,909.0,758.0,446.0
802.0,909.0,759.0,447.0
802.0,910.0,757.0,445.0
802.0,910.0,758.0,441.0
802.0,908.0,758.0,440.0
801.0,908.0,756.0,442.0
