NO2,C2H5OH,VOC,CO
741.0,861.0,691.0,279.0
743.0,861.0,691.0,281.0
744.0,862.0,691.0,283.0
744.0,863.0,692.0,286.0
745.0,863.0,694.0,288.0
747.0,864.0,694.0,292.0
747.0,864.0,694.0,298.0
748.0,865.0,696.0,300.0
749.0,865.0,696.0,304.0
750.0,866.0,699.0,309.0
750.0,867.0,699.0,310.0
751.0,869.0,700.0,312.0
753.0,869.0,701.0,316.0
753.0,871.0,701.0,320.0
754.0,871.0,702.0,326.0
755.0,872.0,703.0,326.0
756.0,873.0,705.0,330.0
757.0,874.0,705.0,332.0
759.0,875.0,705.0,337.0
760.0,876.0,707.0,340.0
760.0,876.0,709.0,342.0
760.0,879.0,709.0,347.0
763.0,879.0,710.0,350.0
763.0,879.0,712.0,353.0
763.0,882.0,712.0,356.0
765.0,882.0,713.0,360.0
766.0,883.0,714.0,362.0
768.0,884.0,715.0,368.0
769.0,886.0,716.0,371.0
769.0,885.0,717.0,373.0
769.0,886.0,718.0,377.0
770.0,888.0,719.0,380.0
771.0,888.0,720.0,383.0
771.0,888.0,721.0,386.0
772.0,890.0,722.0,389.0
773.0,891.0,722.0,392.0
775.0,892.0,723.0,398.0
775.0,892.0,725.0,400.0
776.0,893.0,725.0,403.0
778.0,893.0,727.0,405.0
777.0,894.0,727.0,408.0
778.0,894.0,728.0,408.0
779.0,894.0,730.0,412.0
779.0,895.0,731.0,415.0
780.0,897.0,731.0,418.0
781.0,896.0,731.0,420.0
781.0,897.0,732.0,423.0
782.0,898.0,733.0,424.0
782.0,899.0,734.0,425.0
782.0,898.0,734.0,427.0
782.0,899.0,734.0,429.0
783.0,899.0,734.0,430.0
783.0,900.0,736.0,430.0
785.0,900.0,736.0,432.0
784.0,900.0,736.0,433.0
784.0,901.0,737.0,434.0
785.0,901.0,737.0,434.0
785.0,901.0,738.0,435.0
786.0,901.0,737.0,437.0
785.0,902.0,739.0,439.0
