NO2,C2H5OH,VOC,CO
788.0,902.0,741.0,448.0
787.0,903.0,741.0,449.0
789.0,904.0,742.0,451.0
788.0,904.0,743.0,452.0
789.0,904.0,742.0,455.0
789.0,904.0,743.0,456.0
789.0,904.0,743.0,458.0
789.0,905.0,744.0,460.0
789.0,906.0,745.0,462.0
791.0,906.0,745.0,464.0
791.0,906.0,746.0,466.0
791.0,906.0,746.0,465.0
793.0,907.0,747.0,466.0
793.0,906.0,746.0,468.0
793.0,906.0,746.0,467.0
793.0,907.0,746.0,466.0
793.0,907.0,748.0,467.0
793.0,906.0,748.0,467.0
793.0,907.0,748.0,466.0
792.0,906.0,748.0,470.0
793.0,907.0,749.0,467.0
794.0,907.0,748.0,468.0
794.0,907.0,748.0,469.0
793.0,906.0,749.0,468.0
794.0,906.0,749.0,469.0
793.0,907.0,749.0,469.0
793.0,907.0,749.0,469.0
793.0,907.0,749.0,468.0
794.0,907.0,750.0,468.0
794.0,907.0,749.0,469.0
794.0,906.0,750.0,468.0
794.0,908.0,750.0,468.0
793.0,906.0,750.0,467.0
794.0,907.0,750.0,467.0
793.0,907.0,750.0,468.0
793.0,907.0,749.0,467.0
794.0,907.0,749.0,468.0
793.0,907.0,749.0,467.0
792.0,907.0,749.0,468.0
793.0,907.0,749.0,467.0
793.0,907.0,750.0,468.0
792.0,906.0,749.0,468.0
792.0,906.0,749.0,466.0
793.0,907.0,750.0,468.0
793.0,906.0,749.0,465.0
792.0,906.0,750.0,467.0
794.0,906.0,749.0,466.0
792.0,906.0,750.0,466.0
792.0,907.0,750.0,466.0
792.0,907.0,749.0,466.0
792.0,905.0,749.0,464.0
792.0,906.0,750.0,465.0
791.0,906.0,750.0,462.0
792.0,906.0,750.0,461.0
792.0,906.0,749.0,460.0
792.0,907.0,748.0,460.0
791.0,906.0,748.0,459.0
792.0,906.0,748.0,460.0
791.0,905.0,749.0,458.0
791.0,906.0,748.0,458.0
