NO2,C2H5OH,VOC,CO
796.0,910.0,755.0,490.0
797.0,910.0,755.0,494.0
796.0,911.0,755.0,492.0
796.0,910.0,754.0,490.0
797.0,911.0,755.0,489.0
796.0,911.0,755.0,490.0
797.0,910.0,755.0,490.0
796.0,910.0,755.0,489.0
798.0,910.0,755.0,490.0
797.0,911.0,755.0,491.0
797.0,911.0,755.0,490.0
797.0,911.0,755.0,491.0
797.0,910.0,756.0,493.0
797.0,911.0,756.0,494.0
797.0,911.0,755.0,494.0
797.0,911.0,755.0,496.0
798.0,911.0,756.0,496.0
797.0,910.0,756.0,496.0
797.0,912.0,757.0,497.0
798.0,911.0,756.0,498.0
798.0,912.0,756.0,499.0
797.0,912.0,756.0,501.0
797.0,912.0,757.0,501.0
798.0,912.0,756.0,501.0
798.0,912.0,756.0,502.0
798.0,912.0,756.0,500.0
798.0,911.0,758.0,501.0
797.0,912.0,757.0,501.0
798.0,911.0,757.0,502.0
798.0,912.0,757.0,502.0
798.0,912.0,757.0,501.0
798.0,912.0,756.0,500.0
797.0,912.0,758.0,502.0
798.0,911.0,758.0,503.0
797.0,912.0,757.0,502.0
798.0,911.0,757.0,503.0
797.0,912.0,757.0,504.0
797.0,912.0,758.0,504.0
797.0,911.0,757.0,504.0
797.0,911.0,757.0,504.0
798.0,911.0,757.0,504.0
797.0,911.0,757.0,503.0
797.0,911.0,757.0,502.0
797.0,912.0,756.0,503.0
798.0,911.0,757.0,503.0
798.0,910.0,756.0,502.0
798.0,912.0,757.0,503.0
798.0,911.0,757.0,501.0
797.0,911.0,756.0,502.0
797.0,911.0,757.0,501.0
798.0,911.0,758.0,497.0
797.0,910.0,758.0,495.0
797.0,910.0,757.0,494.0
798.0,910.0,757.0,494.0
798.0,910.0,757.0,494.0
796.0,910.0,758.0,493.0
796.0,910.0,756.0,495.0
797.0,910.0,757.0,494.0
797.0,910.0,757.0,495.0
797.0,911.0,756.0,495.0
