NO2,C2H5OH,VOC,CO
789.0,877.0,802.0,359.0
789.0,877.0,802.0,358.0
790.0,876.0,802.0,359.0
790.0,876.0,801.0,359.0
789.0,875.0,802.0,359.0
789.0,874.0,801.0,359.0
789.0,875.0,800.0,359.0
789.0,876.0,799.0,358.0
789.0,876.0,800.0,359.0
790.0,876.0,802.0,358.0
789.0,876.0,801.0,358.0
789.0,876.0,802.0,359.0
789.0,876.0,802.0,359.0
789.0,876.0,802.0,359.0
789.0,875.0,802.0,358.0
789.0,876.0,802.0,358.0
789.0,876.0,802.0,359.0
790.0,876.0,801.0,358.0
789.0,874.0,802.0,358.0
789.0,873.0,798.0,357.0
788.0,873.0,798.0,357.0
788.0,874.0,800.0,356.0
788.0,874.0,800.0,355.0
788.0,875.0,800.0,354.0
788.0,874.0,800.0,354.0
788.0,874.0,799.0,353.0
788.0,873.0,798.0,353.0
788.0,872.0,797.0,352.0
788.0,872.0,798.0,351.0
788.0,873.0,799.0,351.0
788.0,873.0,799.0,350.0
787.0,874.0,799.0,350.0
788.0,874.0,798.0,348.0
788.0,873.0,796.0,348.0
787.0,872.0,796.0,348.0
787.0,871.0,797.0,348.0
788.0,871.0,797.0,347.0
787.0,872.0,798.0,347.0
787.0,873.0,799.0,347.0
787.0,873.0,798.0,347.0
786.0,873.0,797.0,348.0
786.0,873.0,794.0,347.0
786.0,873.0,795.0,347.0
787.0,872.0,797.0,348.0
787.0,870.0,798.0,347.0
786.0,870.0,798.0,347.0
787.0,872.0,798.0,348.0
786.0,872.0,798.0,347.0
787.0,872.0,798.0,347.0
786.0,872.0,796.0,347.0
787.0,873.0,793.0,347.0
786.0,873.0,794.0,348.0
786.0,872.0,795.0,349.0
786.0,871.0,796.0,349.0
786.0,870.0,798.0,348.0
786.0,870.0,797.0,348.0
786.0,871.0,798.0,348.0
786.0,872.0,797.0,348.0
786.0,872.0,795.0,348.0
786.0,873.0,794.0,348.0
786.0,872.0,795.0,348.0
786.0,872.0,797.0,347.0
785.0,869.0,797.0,347.0
786.0,869.0,798.0,346.0
785.0,870.0,796.0,347.0
785.0,871.0,797.0,348.0
786.0,871.0,796.0,347.0
786.0,872.0,793.0,347.0
785.0,872.0,792.0,348.0
785.0,872.0,795.0,348.0
786.0,872.0,796.0,349.0
786.0,872.0,797.0,349.0
785.0,870.0,797.0,347.0
786.0,869.0,796.0,348.0
785.0,869.0,798.0,348.0
786.0,871.0,794.0,347.0
785.0,871.0,793.0,348.0
786.0,872.0,793.0,347.0
785.0,873.0,796.0,348.0
785.0,872.0,796.0,348.0
785.0,872.0,797.0,349.0
784.0,872.0,797.0,349.0
784.0,872.0,797.0,349.0
785.0,872.0,797.0,349.0
786.0,870.0,795.0,350.0
785.0,869.0,794.0,351.0
785.0,870.0,796.0,351.0
785.0,871.0,796.0,350.0
785.0,872.0,797.0,351.0
785.0,873.0,797.0,351.0
