NO2,C2H5OH,VOC,CO
781.0,870.0,794.0,350.0
781.0,869.0,795.0,351.0
781.0,870.0,794.0,351.0
781.0,869.0,794.0,351.0
781.0,869.0,795.0,351.0
781.0,869.0,794.0,351.0
780.0,869.0,793.0,350.0
781.0,867.0,790.0,351.0
781.0,865.0,791.0,350.0
781.0,866.0,792.0,349.0
781.0,866.0,794.0,350.0
781.0,868.0,794.0,350.0
780.0,869.0,794.0,349.0
781.0,869.0,795.0,350.0
780.0,869.0,794.0,351.0
780.0,869.0,794.0,351.0
781.0,869.0,794.0,350.0
781.0,870.0,791.0,350.0
781.0,869.0,789.0,349.0
781.0,869.0,790.0,349.0
781.0,869.0,792.0,349.0
780.0,868.0,793.0,349.0
781.0,865.0,794.0,348.0
781.0,864.0,794.0,348.0
781.0,865.0,794.0,347.0
780.0,867.0,794.0,346.0
780.0,868.0,794.0,348.0
780.0,868.0,792.0,347.0
781.0,869.0,789.0,347.0
781.0,869.0,790.0,346.0
780.0,869.0,791.0,346.0
781.0,869.0,793.0,346.0
781.0,869.0,792.0,346.0
780.0,868.0,792.0,347.0
780.0,867.0,794.0,346.0
781.0,864.0,793.0,346.0
780.0,863.0,793.0,345.0
780.0,865.0,790.0,346.0
780.0,866.0,787.0,346.0
780.0,868.0,789.0,346.0
780.0,868.0,791.0,347.0
780.0,869.0,792.0,347.0
780.0,869.0,792.0,347.0
779.0,869.0,792.0,348.0
779.0,868.0,793.0,347.0
780.0,868.0,793.0,347.0
780.0,865.0,790.0,348.0
780.0,864.0,786.0,347.0
780.0,864.0,788.0,347.0
779.0,866.0,790.0,349.0
780.0,867.0,792.0,349.0
779.0,868.0,793.0,348.0
780.0,868.0,792.0,348.0
780.0,868.0,793.0,349.0
779.0,869.0,792.0,348.0
779.0,868.0,791.0,348.0
780.0,868.0,787.0,349.0
779.0,869.0,786.0,349.0
780.0,867.0,789.0,350.0
779.0,865.0,791.0,349.0
780.0,863.0,792.0,349.0
780.0,864.0,792.0,348.0
779.0,865.0,793.0,348.0
778.0,866.0,792.0,349.0
779.0,868.0,792.0,349.0
779.0,868.0,792.0,348.0
779.0,868.0,788.0,347.0
779.0,868.0,786.0,348.0
779.0,868.0,788.0,347.0
779.0,867.0,790.0,347.0
779.0,867.0,791.0,346.0
778.0,865.0,792.0,346.0
779.0,863.0,792.0,346.0
778.0,864.0,793.0,347.0
778.0,865.0,791.0,346.0
779.0,866.0,787.0,346.0
778.0,867.0,785.0,346.0
779.0,868.0,787.0,346.0
778.0,868.0,789.0,347.0
778.0,867.0,790.0,346.0
779.0,868.0,791.0,346.0
778.0,867.0,792.0,346.0
778.0,866.0,792.0,345.0
779.0,863.0,792.0,345.0
777.0,862.0,792.0,344.0
778.0,864.0,788.0,345.0
778.0,865.0,784.0,345.0
779.0,865.0,786.0,345.0
778.0,867.0,788.0,345.0
778.0,867.0,789.0,345.0
