NO2,C2H5OH,VOC,CO
768.0,859.0,775.0,353.0
768.0,859.0,778.0,352.0
768.0,858.0,780.0,346.0
768.0,855.0,781.0,343.0
768.0,852.0,781.0,345.0
767.0,851.0,783.0,349.0
768.0,851.0,781.0,354.0
768.0,853.0,774.0,355.0
769.0,855.0,770.0,353.0
767.0,857.0,771.0,350.0
768.0,857.0,775.0,343.0
767.0,858.0,778.0,341.0
768.0,859.0,780.0,342.0
767.0,858.0,781.0,345.0
768.0,857.0,780.0,346.0
767.0,855.0,781.0,347.0
768.0,852.0,781.0,348.0
767.0,850.0,778.0,347.0
767.0,851.0,773.0,347.0
767.0,853.0,769.0,350.0
767.0,856.0,772.0,354.0
768.0,857.0,776.0,354.0
768.0,858.0,779.0,355.0
768.0,858.0,780.0,356.0
768.0,860.0,780.0,358.0
767.0,859.0,782.0,359.0
768.0,859.0,783.0,359.0
768.0,860.0,783.0,360.0
767.0,860.0,782.0,362.0
767.0,860.0,780.0,363.0
768.0,860.0,780.0,363.0
767.0,859.0,783.0,365.0
768.0,860.0,784.0,364.0
767.0,859.0,784.0,366.0
767.0,856.0,784.0,365.0
767.0,854.0,784.0,366.0
767.0,853.0,785.0,366.0
768.0,855.0,784.0,366.0
768.0,857.0,783.0,365.0
767.0,860.0,778.0,366.0
767.0,860.0,774.0,366.0
768.0,861.0,775.0,365.0
768.0,861.0,779.0,366.0
768.0,861.0,782.0,366.0
768.0,860.0,784.0,366.0
768.0,861.0,784.0,366.0
768.0,860.0,785.0,367.0
768.0,861.0,785.0,366.0
767.0,860.0,785.0,366.0
767.0,859.0,785.0,367.0
767.0,857.0,786.0,367.0
768.0,853.0,783.0,367.0
768.0,851.0,779.0,366.0
768.0,853.0,775.0,365.0
768.0,855.0,776.0,365.0
768.0,858.0,780.0,365.0
768.0,858.0,782.0,366.0
768.0,859.0,784.0,366.0
768.0,860.0,784.0,364.0
768.0,860.0,785.0,364.0
768.0,860.0,784.0,361.0
768.0,861.0,784.0,354.0
768.0,860.0,784.0,348.0
768.0,860.0,784.0,348.0
768.0,858.0,778.0,349.0
767.0,854.0,773.0,352.0
767.0,851.0,771.0,354.0
768.0,850.0,773.0,351.0
768.0,852.0,776.0,345.0
768.0,854.0,780.0,344.0
767.0,855.0,780.0,343.0
767.0,857.0,781.0,348.0
768.0,857.0,779.0,352.0
768.0,858.0,776.0,354.0
767.0,858.0,771.0,355.0
767.0,858.0,771.0,355.0
767.0,856.0,775.0,356.0
767.0,853.0,778.0,356.0
768.0,851.0,781.0,358.0
766.0,850.0,781.0,358.0
767.0,852.0,782.0,358.0
767.0,854.0,782.0,360.0
767.0,858.0,783.0,362.0
767.0,858.0,784.0,362.0
767.0,858.0,784.0,364.0
767.0,859.0,785.0,364.0
768.0,860.0,785.0,366.0
767.0,861.0,785.0,367.0
768.0,860.0,786.0,367.0
768.0,861.0,786.0,368.0
