NO2,C2H5OH,VOC,CO
759.0,842.0,756.0,335.0
758.0,845.0,758.0,330.0
758.0,846.0,762.0,329.0
758.0,848.0,766.0,330.0
759.0,850.0,767.0,332.0
759.0,849.0,768.0,335.0
759.0,848.0,764.0,336.0
759.0,844.0,759.0,333.0
759.0,840.0,755.0,329.0
759.0,840.0,758.0,329.0
758.0,840.0,761.0,330.0
758.0,842.0,765.0,333.0
758.0,845.0,767.0,336.0
758.0,847.0,767.0,335.0
758.0,848.0,765.0,329.0
759.0,849.0,758.0,327.0
758.0,847.0,755.0,327.0
758.0,843.0,756.0,328.0
758.0,840.0,758.0,329.0
758.0,839.0,764.0,330.0
759.0,839.0,766.0,330.0
758.0,843.0,767.0,330.0
757.0,844.0,765.0,328.0
758.0,846.0,758.0,327.0
759.0,849.0,754.0,328.0
758.0,849.0,755.0,332.0
758.0,849.0,760.0,332.0
759.0,845.0,765.0,330.0
758.0,842.0,766.0,327.0
758.0,839.0,769.0,325.0
758.0,839.0,767.0,326.0
759.0,840.0,762.0,328.0
759.0,843.0,756.0,329.0
759.0,846.0,755.0,331.0
758.0,848.0,758.0,327.0
758.0,850.0,762.0,325.0
759.0,848.0,764.0,325.0
758.0,844.0,767.0,326.0
759.0,840.0,767.0,329.0
759.0,839.0,762.0,330.0
758.0,838.0,755.0,330.0
758.0,840.0,754.0,326.0
757.0,842.0,757.0,324.0
758.0,845.0,761.0,324.0
759.0,847.0,765.0,327.0
758.0,848.0,767.0,328.0
757.0,849.0,767.0,330.0
758.0,846.0,764.0,330.0
757.0,842.0,757.0,325.0
758.0,838.0,753.0,324.0
758.0,838.0,755.0,323.0
757.0,840.0,760.0,326.0
758.0,843.0,764.0,328.0
758.0,845.0,767.0,329.0
758.0,847.0,768.0,329.0
758.0,849.0,767.0,325.0
758.0,849.0,761.0,323.0
758.0,848.0,755.0,324.0
758.0,843.0,754.0,325.0
758.0,840.0,756.0,327.0
