NO2,C2H5OH,VOC,CO
474.0,665.0,478.0,152.0
475.0,665.0,477.0,150.0
476.0,664.0,476.0,150.0
476.0,664.0,477.0,149.0
476.0,663.0,476.0,151.0
475.0,663.0,476.0,151.0
475.0,664.0,477.0,152.0
476.0,664.0,477.0,153.0
476.0,663.0,476.0,154.0
476.0,663.0,476.0,153.0
477.0,663.0,477.0,153.0
477.0,663.0,476.0,155.0
478.0,664.0,476.0,154.0
478.0,665.0,477.0,155.0
479.0,665.0,478.0,155.0
479.0,665.0,478.0,155.0
480.0,664.0,477.0,155.0
480.0,665.0,478.0,155.0
481.0,665.0,478.0,154.0
482.0,665.0,479.0,154.0
483.0,665.0,479.0,155.0
483.0,666.0,479.0,154.0
483.0,665.0,479.0,154.0
483.0,665.0,479.0,153.0
482.0,666.0,479.0,154.0
482.0,666.0,479.0,153.0
481.0,665.0,479.0,152.0
482.0,665.0,479.0,153.0
482.0,666.0,479.0,153.0
481.0,666.0,479.0,153.0
481.0,665.0,479.0,153.0
481.0,665.0,480.0,153.0
481.0,666.0,478.0,152.0
482.0,665.0,479.0,153.0
482.0,665.0,478.0,152.0
483.0,665.0,479.0,152.0
483.0,666.0,479.0,152.0
482.0,665.0,479.0,153.0
482.0,664.0,478.0,152.0
482.0,664.0,477.0,151.0
481.0,664.0,479.0,151.0
481.0,663.0,478.0,152.0
481.0,663.0,477.0,152.0
480.0,663.0,478.0,152.0
481.0,663.0,477.0,152.0
481.0,663.0,477.0,152.0
481.0,662.0,477.0,152.0
480.0,663.0,477.0,153.0
480.0,662.0,477.0,153.0
480.0,663.0,477.0,153.0
480.0,662.0,478.0,153.0
480.0,662.0,478.0,153.0
480.0,662.0,477.0,153.0
479.0,663.0,477.0,153.0
479.0,662.0,478.0,154.0
478.0,662.0,477.0,153.0
479.0,662.0,478.0,153.0
478.0,662.0,478.0,152.0
479.0,663.0,479.0,152.0
478.0,662.0,478.0,152.0
477.0,662.0,478.0,153.0
478.0,663.0,479.0,153.0
479.0,662.0,479.0,153.0
478.0,663.0,479.0,152.0
479.0,663.0,479.0,151.0
479.0,662.0,479.0,151.0
479.0,663.0,479.0,151.0
477.0,663.0,479.0,153.0
479.0,663.0,480.0,154.0
478.0,664.0,480.0,154.0
478.0,664.0,480.0,155.0
480.0,664.0,479.0,155.0
479.0,664.0,480.0,154.0
480.0,664.0,479.0,154.0
481.0,664.0,479.0,154.0
481.0,664.0,480.0,154.0
481.0,664.0,479.0,154.0
480.0,664.0,480.0,154.0
482.0,665.0,481.0,154.0
481.0,664.0,480.0,154.0
481.0,664.0,481.0,153.0
480.0,665.0,480.0,153.0
481.0,664.0,480.0,153.0
480.0,664.0,479.0,153.0
480.0,664.0,479.0,152.0
480.0,664.0,480.0,154.0
481.0,664.0,480.0,155.0
481.0,665.0,480.0,154.0
480.0,664.0,481.0,154.0
481.0,665.0,480.0,154.0
