NO2,C2H5OH,VOC,CO
333.0,504.0,323.0,129.0
339.0,507.0,325.0,128.0
345.0,510.0,328.0,127.0
349.0,515.0,332.0,128.0
358.0,525.0,337.0,133.0
371.0,538.0,347.0,141.0
387.0,550.0,356.0,146.0
400.0,558.0,366.0,149.0
410.0,566.0,372.0,150.0
421.0,573.0,377.0,151.0
428.0,577.0,384.0,150.0
432.0,579.0,386.0,147.0
436.0,582.0,389.0,148.0
440.0,586.0,392.0,147.0
443.0,590.0,397.0,148.0
449.0,595.0,402.0,149.0
455.0,601.0,407.0,153.0
460.0,607.0,413.0,156.0
467.0,613.0,419.0,157.0
475.0,620.0,425.0,160.0
482.0,625.0,430.0,160.0
487.0,629.0,435.0,159.0
492.0,634.0,439.0,158.0
497.0,638.0,444.0,158.0
502.0,644.0,449.0,160.0
508.0,651.0,455.0,164.0
511.0,658.0,462.0,169.0
514.0,662.0,467.0,173.0
515.0,665.0,470.0,173.0
517.0,667.0,474.0,168.0
520.0,671.0,478.0,168.0
522.0,674.0,481.0,170.0
522.0,676.0,483.0,170.0
523.0,679.0,485.0,170.0
528.0,683.0,490.0,170.0
535.0,687.0,495.0,170.0
538.0,689.0,499.0,169.0
538.0,690.0,501.0,167.0
540.0,691.0,504.0,167.0
540.0,693.0,507.0,166.0
544.0,696.0,510.0,168.0
546.0,698.0,513.0,165.0
549.0,701.0,517.0,165.0
549.0,702.0,518.0,163.0
550.0,703.0,520.0,163.0
552.0,704.0,522.0,163.0
553.0,706.0,523.0,162.0
553.0,707.0,525.0,163.0
554.0,708.0,527.0,164.0
553.0,709.0,529.0,164.0
554.0,710.0,530.0,165.0
555.0,711.0,532.0,166.0
556.0,711.0,533.0,168.0
557.0,713.0,536.0,169.0
557.0,715.0,538.0,169.0
560.0,716.0,540.0,169.0
559.0,716.0,540.0,167.0
560.0,717.0,540.0,169.0
561.0,719.0,543.0,169.0
562.0,719.0,544.0,169.0
561.0,720.0,544.0,168.0
562.0,720.0,546.0,169.0
563.0,721.0,547.0,170.0
564.0,722.0,546.0,171.0
565.0,722.0,549.0,171.0
563.0,722.0,549.0,170.0
563.0,723.0,549.0,168.0
562.0,721.0,550.0,167.0
562.0,723.0,549.0,167.0
559.0,723.0,548.0,166.0
559.0,721.0,548.0,164.0
556.0,721.0,547.0,166.0
554.0,720.0,546.0,164.0
554.0,720.0,546.0,165.0
553.0,721.0,547.0,165.0
553.0,720.0,547.0,165.0
553.0,722.0,548.0,164.0
555.0,722.0,547.0,166.0
555.0,723.0,549.0,166.0
557.0,723.0,549.0,167.0
557.0,724.0,550.0,168.0
557.0,724.0,550.0,169.0
559.0,724.0,551.0,169.0
560.0,726.0,551.0,170.0
561.0,726.0,553.0,173.0
563.0,727.0,553.0,172.0
564.0,728.0,553.0,173.0
566.0,730.0,554.0,172.0
567.0,730.0,555.0,172.0
567.0,730.0,555.0,171.0
