NO2,C2H5OH,VOC,CO
534.0,718.0,541.0,157.0
535.0,717.0,541.0,157.0
535.0,717.0,540.0,158.0
535.0,718.0,540.0,158.0
535.0,717.0,539.0,158.0
535.0,717.0,540.0,159.0
535.0,718.0,540.0,161.0
536.0,719.0,542.0,163.0
536.0,718.0,541.0,164.0
537.0,719.0,542.0,164.0
537.0,720.0,542.0,165.0
538.0,720.0,542.0,166.0
538.0,719.0,543.0,165.0
536.0,720.0,543.0,166.0
537.0,719.0,542.0,164.0
538.0,719.0,542.0,165.0
537.0,719.0,543.0,165.0
538.0,718.0,543.0,163.0
537.0,719.0,543.0,163.0
538.0,718.0,541.0,162.0
538.0,718.0,542.0,163.0
536.0,718.0,541.0,164.0
536.0,717.0,542.0,163.0
536.0,716.0,541.0,163.0
537.0,718.0,541.0,162.0
536.0,718.0,541.0,164.0
537.0,717.0,541.0,163.0
537.0,718.0,542.0,164.0
537.0,718.0,542.0,164.0
538.0,718.0,541.0,163.0
538.0,718.0,542.0,163.0
539.0,718.0,542.0,164.0
541.0,719.0,542.0,163.0
540.0,718.0,543.0,164.0
541.0,718.0,543.0,164.0
541.0,719.0,543.0,165.0
542.0,720.0,544.0,166.0
544.0,720.0,545.0,166.0
543.0,719.0,545.0,166.0
542.0,719.0,545.0,166.0
542.0,719.0,544.0,166.0
542.0,720.0,544.0,167.0
542.0,720.0,545.0,166.0
543.0,719.0,545.0,165.0
542.0,720.0,544.0,166.0
542.0,720.0,545.0,166.0
542.0,720.0,546.0,166.0
543.0,721.0,546.0,168.0
544.0,721.0,547.0,169.0
545.0,722.0,547.0,170.0
546.0,723.0,548.0,170.0
546.0,722.0,548.0,168.0
545.0,722.0,548.0,168.0
547.0,724.0,549.0,169.0
548.0,724.0,549.0,171.0
548.0,724.0,550.0,172.0
547.0,724.0,550.0,171.0
547.0,725.0,551.0,172.0
547.0,725.0,551.0,172.0
545.0,724.0,551.0,171.0
544.0,724.0,550.0,170.0
543.0,724.0,550.0,168.0
543.0,725.0,550.0,169.0
544.0,725.0,551.0,169.0
544.0,725.0,550.0,168.0
546.0,725.0,551.0,169.0
545.0,726.0,551.0,168.0
547.0,726.0,552.0,167.0
546.0,726.0,551.0,168.0
546.0,725.0,551.0,165.0
546.0,726.0,551.0,165.0
546.0,726.0,550.0,164.0
546.0,725.0,550.0,164.0
545.0,724.0,550.0,164.0
544.0,724.0,550.0,163.0
542.0,723.0,549.0,161.0
542.0,723.0,549.0,162.0
541.0,724.0,549.0,163.0
541.0,723.0,549.0,164.0
541.0,724.0,549.0,166.0
540.0,723.0,549.0,166.0
541.0,723.0,548.0,166.0
541.0,722.0,548.0,165.0
539.0,721.0,547.0,163.0
537.0,722.0,546.0,162.0
536.0,721.0,545.0,161.0
536.0,720.0,545.0,162.0
536.0,719.0,544.0,162.0
536.0,720.0,543.0,163.0
535.0,719.0,543.0,164.0
