NO2,C2H5OH,VOC,CO
277.0,422.0,284.0,126.0
276.0,423.0,285.0,127.0
277.0,425.0,287.0,130.0
278.0,425.0,289.0,133.0
280.0,425.0,288.0,133.0
280.0,425.0,288.0,132.0
281.0,427.0,288.0,131.0
282.0,427.0,288.0,129.0
284.0,426.0,287.0,129.0
283.0,424.0,289.0,130.0
283.0,425.0,290.0,131.0
283.0,426.0,288.0,133.0
283.0,424.0,285.0,128.0
283.0,427.0,288.0,129.0
285.0,426.0,289.0,130.0
286.0,428.0,290.0,130.0
287.0,429.0,291.0,133.0
289.0,429.0,292.0,134.0
288.0,425.0,287.0,131.0
288.0,421.0,285.0,125.0
286.0,421.0,283.0,125.0
286.0,425.0,285.0,127.0
287.0,429.0,290.0,135.0
288.0,427.0,290.0,137.0
288.0,427.0,290.0,135.0
290.0,429.0,290.0,136.0
290.0,427.0,287.0,131.0
290.0,431.0,287.0,133.0
292.0,428.0,288.0,135.0
291.0,426.0,284.0,130.0
289.0,424.0,283.0,128.0
290.0,423.0,283.0,125.0
289.0,425.0,283.0,125.0
289.0,426.0,282.0,125.0
289.0,425.0,282.0,125.0
289.0,425.0,284.0,129.0
291.0,427.0,285.0,132.0
292.0,431.0,287.0,134.0
294.0,434.0,289.0,137.0
296.0,436.0,289.0,137.0
299.0,436.0,290.0,138.0
300.0,436.0,289.0,135.0
301.0,436.0,287.0,132.0
302.0,437.0,288.0,132.0
303.0,436.0,291.0,134.0
304.0,434.0,290.0,132.0
305.0,436.0,291.0,133.0
305.0,437.0,289.0,131.0
307.0,437.0,289.0,132.0
306.0,437.0,289.0,132.0
307.0,438.0,289.0,133.0
308.0,439.0,287.0,133.0
309.0,438.0,288.0,134.0
309.0,437.0,289.0,133.0
309.0,438.0,290.0,133.0
308.0,439.0,290.0,133.0
310.0,439.0,291.0,132.0
308.0,438.0,290.0,131.0
308.0,439.0,289.0,128.0
307.0,437.0,289.0,125.0
