NO2,C2H5OH,VOC,CO
796.0,864.0,729.0,242.0
794.0,863.0,728.0,242.0
795.0,863.0,728.0,243.0
795.0,863.0,728.0,243.0
796.0,864.0,728.0,242.0
795.0,864.0,728.0,243.0
795.0,865.0,728.0,242.0
795.0,864.0,728.0,240.0
793.0,864.0,728.0,242.0
794.0,865.0,729.0,243.0
795.0,864.0,728.0,243.0
794.0,864.0,728.0,243.0
795.0,864.0,729.0,241.0
796.0,865.0,728.0,243.0
796.0,866.0,729.0,243.0
797.0,865.0,728.0,242.0
795.0,864.0,728.0,244.0
795.0,864.0,729.0,242.0
794.0,865.0,729.0,240.0
792.0,864.0,728.0,242.0
792.0,864.0,727.0,241.0
791.0,864.0,726.0,239.0
791.0,863.0,727.0,241.0
790.0,864.0,726.0,242.0
791.0,863.0,727.0,242.0
791.0,864.0,726.0,240.0
792.0,864.0,726.0,241.0
792.0,864.0,726.0,241.0
791.0,864.0,726.0,242.0
792.0,864.0,726.0,243.0
792.0,864.0,727.0,244.0
793.0,866.0,727.0,245.0
793.0,866.0,727.0,245.0
792.0,866.0,727.0,246.0
794.0,865.0,727.0,246.0
794.0,867.0,728.0,247.0
795.0,867.0,728.0,249.0
796.0,867.0,729.0,250.0
796.0,867.0,729.0,250.0
795.0,868.0,730.0,251.0
796.0,869.0,729.0,250.0
798.0,869.0,731.0,251.0
797.0,869.0,731.0,252.0
797.0,871.0,732.0,252.0
798.0,871.0,733.0,252.0
798.0,871.0,733.0,253.0
798.0,872.0,733.0,253.0
798.0,871.0,733.0,253.0
799.0,872.0,734.0,252.0
798.0,871.0,733.0,251.0
796.0,870.0,733.0,251.0
796.0,871.0,732.0,250.0
796.0,871.0,732.0,249.0
795.0,870.0,732.0,247.0
794.0,870.0,731.0,246.0
794.0,869.0,731.0,247.0
794.0,870.0,731.0,246.0
793.0,869.0,731.0,245.0
793.0,869.0,731.0,246.0
793.0,870.0,730.0,245.0
