NO2,C2H5OH,VOC,CO
653.0,718.0,686.0,184.0
661.0,718.0,699.0,188.0
666.0,718.0,704.0,186.0
674.0,720.0,713.0,191.0
678.0,722.0,720.0,192.0
690.0,727.0,729.0,200.0
695.0,731.0,735.0,203.0
698.0,734.0,739.0,205.0
702.0,737.0,744.0,210.0
697.0,735.0,746.0,211.0
695.0,732.0,744.0,206.0
703.0,738.0,745.0,213.0
705.0,743.0,750.0,217.0
707.0,748.0,752.0,220.0
706.0,752.0,753.0,215.0
699.0,752.0,751.0,210.0
680.0,743.0,742.0,198.0
661.0,732.0,732.0,187.0
659.0,725.0,726.0,182.0
669.0,724.0,728.0,186.0
678.0,726.0,734.0,195.0
683.0,729.0,742.0,206.0
684.0,731.0,746.0,206.0
682.0,728.0,746.0,200.0
671.0,722.0,742.0,192.0
650.0,713.0,732.0,183.0
642.0,706.0,723.0,177.0
650.0,702.0,720.0,177.0
655.0,700.0,720.0,178.0
652.0,696.0,720.0,178.0
650.0,692.0,716.0,175.0
664.0,695.0,720.0,180.0
673.0,699.0,727.0,187.0
671.0,699.0,728.0,186.0
667.0,695.0,727.0,181.0
669.0,693.0,725.0,179.0
674.0,694.0,726.0,181.0
675.0,695.0,726.0,181.0
673.0,694.0,726.0,180.0
670.0,691.0,724.0,178.0
663.0,687.0,720.0,175.0
661.0,685.0,718.0,173.0
674.0,686.0,719.0,177.0
681.0,691.0,722.0,180.0
689.0,698.0,725.0,187.0
703.0,711.0,731.0,195.0
712.0,724.0,736.0,201.0
715.0,734.0,739.0,204.0
716.0,742.0,743.0,207.0
719.0,746.0,747.0,209.0
721.0,752.0,748.0,212.0
722.0,758.0,752.0,221.0
719.0,764.0,755.0,223.0
721.0,770.0,756.0,223.0
729.0,779.0,761.0,228.0
723.0,778.0,760.0,223.0
719.0,777.0,758.0,217.0
716.0,775.0,759.0,218.0
708.0,767.0,755.0,212.0
700.0,759.0,750.0,203.0
693.0,753.0,745.0,198.0
696.0,750.0,744.0,203.0
699.0,752.0,744.0,205.0
709.0,758.0,743.0,204.0
720.0,769.0,745.0,214.0
722.0,778.0,741.0,213.0
700.0,777.0,729.0,203.0
688.0,772.0,719.0,196.0
684.0,763.0,714.0,190.0
680.0,755.0,710.0,185.0
673.0,747.0,708.0,184.0
666.0,740.0,707.0,182.0
666.0,731.0,708.0,183.0
686.0,736.0,714.0,190.0
697.0,747.0,715.0,191.0
686.0,744.0,706.0,183.0
671.0,735.0,698.0,176.0
667.0,726.0,693.0,171.0
671.0,717.0,691.0,168.0
677.0,713.0,692.0,168.0
678.0,707.0,693.0,168.0
671.0,701.0,693.0,167.0
659.0,694.0,690.0,165.0
650.0,686.0,685.0,163.0
647.0,682.0,682.0,162.0
652.0,682.0,686.0,166.0
661.0,685.0,693.0,172.0
663.0,685.0,699.0,180.0
662.0,684.0,702.0,181.0
669.0,687.0,702.0,179.0
