NO2,C2H5OH,VOC,CO
531.0,706.0,528.0,165.0
515.0,697.0,520.0,159.0
501.0,687.0,514.0,154.0
493.0,677.0,507.0,152.0
488.0,671.0,503.0,150.0
486.0,665.0,498.0,148.0
485.0,659.0,495.0,148.0
484.0,654.0,492.0,146.0
479.0,649.0,488.0,145.0
474.0,644.0,485.0,142.0
470.0,639.0,481.0,143.0
473.0,638.0,479.0,142.0
477.0,636.0,478.0,144.0
483.0,636.0,478.0,145.0
486.0,635.0,478.0,145.0
489.0,633.0,477.0,145.0
489.0,633.0,475.0,145.0
491.0,633.0,476.0,143.0
497.0,634.0,477.0,144.0
499.0,634.0,475.0,143.0
499.0,632.0,474.0,143.0
497.0,631.0,473.0,143.0
497.0,630.0,472.0,144.0
499.0,630.0,472.0,144.0
502.0,631.0,473.0,145.0
505.0,632.0,472.0,145.0
510.0,634.0,474.0,146.0
516.0,638.0,476.0,147.0
518.0,639.0,477.0,149.0
512.0,639.0,477.0,148.0
507.0,635.0,477.0,149.0
501.0,632.0,475.0,148.0
500.0,631.0,474.0,148.0
505.0,633.0,475.0,150.0
510.0,636.0,477.0,151.0
508.0,636.0,478.0,151.0
503.0,635.0,478.0,150.0
502.0,634.0,477.0,150.0
500.0,634.0,477.0,150.0
495.0,632.0,476.0,148.0
494.0,630.0,475.0,149.0
495.0,630.0,476.0,150.0
501.0,633.0,477.0,151.0
509.0,635.0,478.0,152.0
513.0,640.0,481.0,154.0
517.0,642.0,483.0,155.0
522.0,645.0,484.0,155.0
527.0,647.0,487.0,156.0
533.0,649.0,488.0,156.0
535.0,651.0,490.0,155.0
538.0,652.0,490.0,155.0
541.0,654.0,491.0,155.0
540.0,654.0,493.0,156.0
541.0,655.0,493.0,156.0
541.0,656.0,494.0,156.0
543.0,657.0,495.0,156.0
545.0,658.0,496.0,157.0
548.0,660.0,498.0,157.0
552.0,662.0,499.0,158.0
553.0,664.0,501.0,158.0
555.0,665.0,502.0,158.0
558.0,667.0,503.0,159.0
560.0,668.0,505.0,159.0
559.0,669.0,507.0,159.0
560.0,671.0,509.0,160.0
556.0,672.0,510.0,160.0
549.0,671.0,512.0,157.0
537.0,666.0,510.0,157.0
525.0,661.0,506.0,155.0
517.0,657.0,504.0,154.0
512.0,653.0,502.0,154.0
510.0,652.0,499.0,154.0
514.0,651.0,498.0,155.0
519.0,652.0,499.0,157.0
522.0,653.0,499.0,156.0
525.0,653.0,498.0,158.0
530.0,654.0,498.0,156.0
533.0,653.0,497.0,155.0
533.0,652.0,494.0,153.0
534.0,651.0,492.0,152.0
534.0,648.0,489.0,149.0
529.0,643.0,485.0,147.0
520.0,640.0,481.0,146.0
511.0,636.0,479.0,147.0
508.0,633.0,478.0,147.0
509.0,633.0,476.0,148.0
510.0,633.0,476.0,148.0
509.0,630.0,473.0,146.0
502.0,627.0,470.0,147.0
496.0,625.0,471.0,150.0
