NO2,C2H5OH,VOC,CO
558.0,677.0,516.0,169.0
561.0,680.0,519.0,169.0
563.0,682.0,520.0,168.0
563.0,684.0,521.0,167.0
569.0,689.0,524.0,169.0
574.0,693.0,528.0,171.0
576.0,696.0,530.0,172.0
575.0,696.0,531.0,171.0
569.0,695.0,532.0,170.0
560.0,692.0,530.0,169.0
550.0,689.0,528.0,169.0
551.0,689.0,529.0,171.0
561.0,692.0,531.0,172.0
561.0,691.0,530.0,168.0
553.0,688.0,528.0,168.0
554.0,687.0,528.0,168.0
554.0,685.0,527.0,167.0
554.0,685.0,527.0,168.0
563.0,690.0,530.0,171.0
574.0,696.0,535.0,174.0
579.0,699.0,538.0,173.0
573.0,695.0,536.0,170.0
566.0,694.0,535.0,172.0
568.0,697.0,537.0,173.0
574.0,700.0,540.0,173.0
577.0,703.0,541.0,173.0
580.0,704.0,542.0,174.0
582.0,706.0,542.0,174.0
585.0,708.0,544.0,174.0
587.0,710.0,544.0,174.0
590.0,711.0,547.0,175.0
595.0,714.0,548.0,176.0
600.0,716.0,550.0,177.0
605.0,719.0,553.0,176.0
608.0,720.0,553.0,176.0
610.0,722.0,555.0,175.0
611.0,721.0,553.0,174.0
609.0,722.0,554.0,174.0
610.0,722.0,554.0,173.0
609.0,722.0,554.0,172.0
610.0,723.0,554.0,173.0
610.0,722.0,553.0,172.0
610.0,722.0,553.0,173.0
611.0,723.0,553.0,171.0
613.0,723.0,553.0,172.0
616.0,724.0,554.0,171.0
619.0,727.0,556.0,173.0
623.0,733.0,559.0,174.0
630.0,739.0,566.0,175.0
636.0,744.0,571.0,176.0
640.0,747.0,573.0,176.0
638.0,747.0,574.0,176.0
633.0,745.0,574.0,174.0
623.0,742.0,572.0,172.0
612.0,737.0,568.0,168.0
606.0,734.0,565.0,168.0
607.0,731.0,562.0,167.0
605.0,729.0,559.0,168.0
599.0,725.0,555.0,165.0
591.0,721.0,551.0,165.0
585.0,718.0,549.0,164.0
583.0,714.0,545.0,163.0
578.0,711.0,541.0,163.0
573.0,707.0,539.0,164.0
568.0,704.0,537.0,163.0
562.0,701.0,534.0,160.0
559.0,697.0,531.0,159.0
557.0,695.0,527.0,158.0
559.0,693.0,526.0,161.0
559.0,694.0,526.0,163.0
555.0,691.0,526.0,163.0
547.0,687.0,523.0,161.0
536.0,682.0,518.0,158.0
536.0,680.0,515.0,158.0
544.0,683.0,517.0,161.0
555.0,687.0,521.0,164.0
558.0,690.0,526.0,167.0
555.0,691.0,528.0,167.0
560.0,693.0,530.0,167.0
569.0,696.0,533.0,170.0
572.0,699.0,536.0,171.0
567.0,697.0,534.0,168.0
555.0,692.0,530.0,163.0
546.0,688.0,527.0,163.0
552.0,688.0,526.0,164.0
548.0,685.0,525.0,162.0
537.0,680.0,520.0,159.0
527.0,676.0,517.0,160.0
524.0,674.0,516.0,162.0
522.0,672.0,516.0,162.0
