NO2,C2H5OH,VOC,CO
589.0,712.0,552.0,177.0
593.0,715.0,553.0,178.0
595.0,717.0,556.0,179.0
596.0,717.0,557.0,178.0
591.0,716.0,556.0,177.0
584.0,713.0,554.0,176.0
581.0,713.0,554.0,176.0
579.0,709.0,552.0,172.0
571.0,705.0,548.0,170.0
564.0,702.0,545.0,168.0
561.0,698.0,541.0,166.0
559.0,694.0,536.0,163.0
555.0,690.0,530.0,160.0
548.0,687.0,525.0,161.0
549.0,687.0,526.0,164.0
554.0,690.0,528.0,167.0
559.0,691.0,531.0,169.0
563.0,694.0,533.0,171.0
567.0,696.0,534.0,170.0
567.0,695.0,535.0,170.0
563.0,692.0,532.0,166.0
557.0,688.0,530.0,163.0
551.0,685.0,525.0,163.0
549.0,683.0,524.0,164.0
552.0,684.0,524.0,166.0
560.0,688.0,528.0,169.0
567.0,691.0,531.0,170.0
571.0,695.0,534.0,172.0
572.0,696.0,535.0,172.0
573.0,697.0,537.0,173.0
574.0,701.0,539.0,175.0
579.0,704.0,543.0,177.0
582.0,707.0,547.0,179.0
585.0,710.0,550.0,180.0
586.0,710.0,552.0,179.0
586.0,710.0,551.0,176.0
583.0,708.0,549.0,174.0
582.0,706.0,545.0,169.0
581.0,702.0,541.0,165.0
577.0,700.0,537.0,164.0
576.0,699.0,535.0,165.0
577.0,699.0,535.0,167.0
580.0,701.0,537.0,168.0
580.0,701.0,536.0,167.0
579.0,699.0,533.0,165.0
578.0,697.0,532.0,164.0
574.0,695.0,529.0,163.0
569.0,693.0,529.0,163.0
565.0,692.0,528.0,163.0
562.0,690.0,527.0,164.0
565.0,692.0,528.0,166.0
572.0,696.0,532.0,170.0
576.0,698.0,534.0,169.0
575.0,696.0,533.0,166.0
571.0,694.0,531.0,164.0
571.0,694.0,530.0,166.0
572.0,695.0,532.0,167.0
564.0,693.0,531.0,168.0
563.0,693.0,533.0,171.0
569.0,698.0,535.0,172.0
576.0,703.0,539.0,175.0
582.0,705.0,543.0,176.0
585.0,708.0,546.0,177.0
588.0,710.0,547.0,177.0
587.0,710.0,548.0,175.0
586.0,711.0,548.0,177.0
587.0,714.0,552.0,178.0
589.0,714.0,553.0,177.0
587.0,713.0,552.0,174.0
583.0,712.0,551.0,174.0
582.0,712.0,551.0,175.0
578.0,709.0,550.0,174.0
571.0,705.0,546.0,170.0
565.0,702.0,540.0,165.0
562.0,697.0,534.0,162.0
559.0,693.0,529.0,159.0
549.0,687.0,523.0,158.0
543.0,684.0,520.0,161.0
547.0,685.0,521.0,163.0
551.0,685.0,523.0,163.0
551.0,683.0,521.0,163.0
550.0,682.0,520.0,163.0
551.0,682.0,521.0,166.0
558.0,685.0,524.0,167.0
562.0,687.0,525.0,165.0
561.0,686.0,524.0,166.0
564.0,689.0,527.0,169.0
572.0,694.0,532.0,173.0
578.0,699.0,536.0,175.0
582.0,703.0,540.0,177.0
