NO2,C2H5OH,VOC,CO
545.0,686.0,530.0,167.0
539.0,683.0,528.0,167.0
534.0,680.0,525.0,166.0
534.0,679.0,523.0,165.0
538.0,679.0,522.0,166.0
548.0,683.0,525.0,168.0
554.0,686.0,528.0,170.0
554.0,688.0,529.0,170.0
548.0,685.0,527.0,167.0
546.0,685.0,527.0,169.0
554.0,689.0,529.0,171.0
563.0,695.0,533.0,174.0
570.0,700.0,538.0,175.0
571.0,701.0,541.0,175.0
569.0,702.0,542.0,175.0
569.0,703.0,543.0,176.0
572.0,706.0,545.0,178.0
574.0,709.0,549.0,180.0
578.0,712.0,552.0,180.0
582.0,713.0,555.0,180.0
577.0,711.0,553.0,176.0
569.0,708.0,550.0,176.0
568.0,710.0,551.0,177.0
578.0,713.0,553.0,178.0
585.0,716.0,554.0,178.0
591.0,719.0,558.0,179.0
599.0,723.0,561.0,182.0
605.0,727.0,565.0,181.0
611.0,729.0,567.0,181.0
614.0,730.0,568.0,179.0
613.0,731.0,566.0,178.0
614.0,731.0,565.0,177.0
616.0,731.0,566.0,177.0
618.0,733.0,566.0,179.0
623.0,736.0,567.0,179.0
627.0,738.0,569.0,179.0
630.0,741.0,570.0,179.0
633.0,742.0,572.0,179.0
635.0,744.0,573.0,180.0
639.0,746.0,575.0,180.0
640.0,749.0,577.0,181.0
642.0,749.0,578.0,182.0
644.0,751.0,581.0,182.0
644.0,752.0,581.0,182.0
645.0,753.0,583.0,182.0
645.0,754.0,584.0,183.0
647.0,756.0,586.0,183.0
645.0,756.0,586.0,182.0
643.0,756.0,588.0,183.0
641.0,756.0,587.0,184.0
638.0,754.0,588.0,184.0
637.0,755.0,588.0,185.0
638.0,755.0,590.0,185.0
639.0,756.0,590.0,185.0
641.0,757.0,591.0,185.0
641.0,759.0,592.0,186.0
641.0,760.0,595.0,185.0
640.0,760.0,595.0,184.0
635.0,758.0,593.0,184.0
627.0,755.0,592.0,182.0
621.0,752.0,590.0,181.0
616.0,750.0,587.0,181.0
611.0,747.0,585.0,180.0
607.0,745.0,583.0,180.0
605.0,742.0,581.0,180.0
601.0,739.0,580.0,179.0
597.0,736.0,577.0,176.0
590.0,732.0,571.0,172.0
582.0,726.0,566.0,171.0
581.0,724.0,563.0,172.0
583.0,725.0,564.0,175.0
584.0,725.0,564.0,175.0
582.0,722.0,562.0,174.0
578.0,719.0,560.0,173.0
578.0,719.0,561.0,175.0
581.0,721.0,562.0,176.0
582.0,721.0,563.0,176.0
580.0,720.0,562.0,176.0
578.0,719.0,562.0,176.0
578.0,718.0,561.0,175.0
580.0,718.0,560.0,175.0
583.0,719.0,562.0,176.0
586.0,721.0,563.0,178.0
589.0,723.0,566.0,179.0
589.0,723.0,567.0,180.0
589.0,723.0,566.0,178.0
588.0,722.0,566.0,178.0
589.0,722.0,565.0,178.0
590.0,723.0,567.0,180.0
593.0,725.0,569.0,182.0
