NO2,C2H5OH,VOC,CO
577.0,702.0,527.0,162.0
573.0,701.0,525.0,161.0
555.0,696.0,521.0,157.0
536.0,688.0,514.0,154.0
523.0,682.0,508.0,154.0
513.0,676.0,503.0,154.0
508.0,670.0,499.0,153.0
505.0,667.0,495.0,152.0
502.0,665.0,494.0,153.0
505.0,666.0,492.0,154.0
511.0,666.0,492.0,156.0
515.0,668.0,492.0,156.0
516.0,669.0,494.0,158.0
519.0,670.0,495.0,158.0
523.0,671.0,496.0,160.0
528.0,673.0,498.0,161.0
531.0,676.0,500.0,163.0
533.0,678.0,502.0,163.0
535.0,678.0,504.0,164.0
538.0,680.0,505.0,164.0
540.0,681.0,507.0,166.0
543.0,683.0,510.0,167.0
545.0,685.0,512.0,164.0
548.0,686.0,514.0,166.0
549.0,686.0,517.0,166.0
550.0,688.0,518.0,167.0
552.0,689.0,520.0,167.0
554.0,690.0,523.0,169.0
557.0,692.0,525.0,170.0
560.0,693.0,527.0,170.0
