NO2,C2H5OH,VOC,CO
648.0,802.0,598.0,222.0
647.0,802.0,597.0,223.0
647.0,801.0,598.0,223.0
647.0,801.0,597.0,223.0
647.0,800.0,597.0,222.0
646.0,801.0,596.0,222.0
646.0,800.0,596.0,222.0
646.0,800.0,597.0,221.0
646.0,800.0,596.0,220.0
646.0,800.0,596.0,220.0
646.0,800.0,597.0,221.0
646.0,800.0,596.0,221.0
646.0,800.0,595.0,221.0
646.0,799.0,595.0,221.0
645.0,799.0,596.0,222.0
646.0,799.0,595.0,221.0
645.0,800.0,596.0,222.0
646.0,799.0,595.0,221.0
645.0,799.0,595.0,221.0
644.0,799.0,594.0,222.0
646.0,799.0,595.0,221.0
645.0,799.0,595.0,221.0
644.0,798.0,594.0,219.0
644.0,799.0,595.0,219.0
645.0,799.0,594.0,220.0
644.0,799.0,595.0,218.0
644.0,799.0,595.0,220.0
643.0,798.0,593.0,218.0
644.0,798.0,593.0,219.0
643.0,798.0,594.0,217.0
644.0,798.0,593.0,217.0
643.0,797.0,594.0,217.0
643.0,797.0,593.0,217.0
642.0,797.0,594.0,216.0
642.0,797.0,593.0,215.0
641.0,795.0,592.0,216.0
642.0,796.0,592.0,215.0
641.0,796.0,592.0,215.0
641.0,796.0,591.0,215.0
641.0,796.0,592.0,215.0
640.0,795.0,591.0,214.0
640.0,795.0,591.0,214.0
641.0,795.0,591.0,214.0
641.0,794.0,591.0,213.0
640.0,794.0,591.0,214.0
640.0,794.0,591.0,214.0
640.0,793.0,591.0,215.0
640.0,794.0,590.0,214.0
640.0,794.0,590.0,215.0
640.0,795.0,590.0,214.0
640.0,795.0,590.0,215.0
640.0,795.0,590.0,215.0
639.0,795.0,590.0,214.0
640.0,794.0,589.0,213.0
640.0,794.0,589.0,212.0
639.0,795.0,589.0,213.0
640.0,794.0,589.0,214.0
640.0,793.0,589.0,214.0
639.0,793.0,588.0,213.0
639.0,794.0,588.0,214.0
