NO2,C2H5OH,VOC,CO
640.0,795.0,589.0,217.0
640.0,795.0,588.0,216.0
640.0,795.0,589.0,217.0
641.0,794.0,589.0,217.0
641.0,795.0,589.0,217.0
641.0,796.0,589.0,217.0
640.0,796.0,590.0,217.0
641.0,796.0,589.0,218.0
641.0,796.0,589.0,216.0
641.0,796.0,590.0,218.0
641.0,794.0,589.0,217.0
640.0,796.0,589.0,217.0
642.0,796.0,590.0,217.0
641.0,795.0,589.0,217.0
641.0,795.0,589.0,218.0
641.0,795.0,589.0,217.0
641.0,796.0,588.0,217.0
641.0,796.0,589.0,217.0
642.0,795.0,590.0,217.0
641.0,795.0,588.0,217.0
641.0,795.0,589.0,217.0
642.0,796.0,588.0,217.0
641.0,796.0,588.0,217.0
641.0,795.0,589.0,217.0
641.0,795.0,590.0,217.0
641.0,796.0,588.0,216.0
641.0,795.0,588.0,216.0
641.0,795.0,589.0,216.0
640.0,795.0,589.0,215.0
640.0,795.0,588.0,216.0
641.0,795.0,588.0,216.0
642.0,795.0,589.0,215.0
641.0,794.0,588.0,215.0
641.0,794.0,588.0,215.0
641.0,794.0,588.0,214.0
640.0,795.0,587.0,214.0
640.0,794.0,588.0,214.0
640.0,794.0,588.0,213.0
640.0,794.0,588.0,213.0
640.0,794.0,587.0,213.0
640.0,795.0,587.0,214.0
641.0,793.0,587.0,212.0
641.0,794.0,587.0,212.0
641.0,793.0,587.0,212.0
640.0,794.0,587.0,213.0
640.0,794.0,586.0,212.0
639.0,792.0,586.0,211.0
639.0,792.0,586.0,212.0
639.0,794.0,586.0,211.0
640.0,793.0,585.0,211.0
639.0,792.0,586.0,211.0
639.0,792.0,585.0,211.0
639.0,792.0,586.0,210.0
639.0,792.0,586.0,210.0
639.0,791.0,585.0,210.0
639.0,792.0,585.0,208.0
638.0,791.0,584.0,208.0
638.0,791.0,584.0,207.0
637.0,791.0,584.0,208.0
638.0,790.0,583.0,207.0
