NO2,C2H5OH,VOC,CO
439.0,680.0,515.0,341.0
440.0,681.0,514.0,342.0
440.0,681.0,516.0,342.0
441.0,682.0,516.0,343.0
441.0,682.0,518.0,341.0
441.0,682.0,518.0,341.0
441.0,682.0,518.0,342.0
441.0,683.0,519.0,341.0
442.0,682.0,520.0,342.0
442.0,683.0,519.0,341.0
442.0,683.0,520.0,341.0
441.0,683.0,521.0,341.0
442.0,683.0,520.0,341.0
441.0,683.0,520.0,342.0
441.0,684.0,521.0,341.0
441.0,683.0,520.0,342.0
441.0,684.0,522.0,342.0
440.0,683.0,522.0,342.0
441.0,683.0,523.0,342.0
441.0,684.0,522.0,342.0
441.0,684.0,522.0,343.0
441.0,683.0,523.0,344.0
441.0,684.0,523.0,344.0
442.0,684.0,524.0,344.0
443.0,684.0,524.0,344.0
443.0,684.0,525.0,344.0
444.0,685.0,525.0,344.0
444.0,686.0,527.0,346.0
444.0,686.0,527.0,345.0
445.0,686.0,527.0,343.0
446.0,687.0,527.0,344.0
444.0,687.0,528.0,344.0
445.0,687.0,529.0,343.0
445.0,687.0,529.0,343.0
445.0,688.0,530.0,343.0
445.0,687.0,530.0,341.0
444.0,688.0,529.0,343.0
443.0,688.0,529.0,342.0
444.0,688.0,530.0,341.0
444.0,687.0,529.0,341.0
443.0,688.0,529.0,342.0
444.0,687.0,529.0,342.0
444.0,687.0,529.0,343.0
444.0,688.0,530.0,343.0
444.0,688.0,529.0,343.0
444.0,688.0,530.0,343.0
445.0,687.0,530.0,344.0
444.0,688.0,530.0,343.0
445.0,687.0,530.0,342.0
444.0,688.0,530.0,343.0
445.0,688.0,531.0,342.0
444.0,688.0,531.0,343.0
445.0,688.0,531.0,343.0
445.0,688.0,531.0,343.0
446.0,688.0,532.0,343.0
446.0,689.0,533.0,345.0
447.0,688.0,533.0,345.0
446.0,689.0,533.0,347.0
447.0,690.0,533.0,346.0
447.0,689.0,534.0,347.0
447.0,690.0,534.0,347.0
447.0,690.0,534.0,347.0
447.0,691.0,534.0,347.0
446.0,690.0,534.0,347.0
447.0,691.0,535.0,348.0
447.0,690.0,535.0,348.0
448.0,690.0,536.0,348.0
448.0,691.0,536.0,347.0
448.0,691.0,536.0,347.0
449.0,691.0,536.0,346.0
449.0,691.0,536.0,345.0
448.0,691.0,536.0,344.0
449.0,692.0,537.0,343.0
447.0,692.0,536.0,343.0
447.0,692.0,536.0,343.0
448.0,691.0,536.0,342.0
448.0,692.0,536.0,343.0
448.0,692.0,537.0,343.0
448.0,692.0,536.0,344.0
448.0,693.0,537.0,344.0
448.0,692.0,536.0,344.0
449.0,692.0,536.0,346.0
448.0,693.0,536.0,345.0
448.0,693.0,538.0,347.0
449.0,693.0,538.0,346.0
448.0,693.0,538.0,346.0
448.0,693.0,538.0,347.0
449.0,694.0,538.0,346.0
448.0,693.0,539.0,347.0
449.0,694.0,538.0,346.0
