NO2,C2H5OH,VOC,CO
318.0,566.0,404.0,136.0
316.0,562.0,400.0,136.0
315.0,559.0,397.0,136.0
313.0,557.0,394.0,136.0
311.0,553.0,390.0,136.0
309.0,549.0,388.0,136.0
306.0,547.0,384.0,137.0
305.0,544.0,382.0,138.0
304.0,541.0,379.0,139.0
302.0,539.0,376.0,138.0
302.0,536.0,374.0,138.0
301.0,534.0,372.0,139.0
300.0,531.0,369.0,139.0
300.0,530.0,368.0,140.0
300.0,528.0,367.0,140.0
300.0,526.0,365.0,141.0
300.0,524.0,364.0,141.0
299.0,523.0,362.0,142.0
300.0,521.0,361.0,143.0
300.0,520.0,360.0,143.0
301.0,519.0,358.0,144.0
300.0,518.0,357.0,145.0
302.0,515.0,356.0,146.0
302.0,515.0,356.0,147.0
302.0,514.0,355.0,146.0
303.0,513.0,354.0,147.0
302.0,512.0,354.0,148.0
303.0,511.0,352.0,149.0
304.0,510.0,351.0,150.0
305.0,509.0,350.0,150.0
305.0,510.0,350.0,151.0
306.0,508.0,350.0,152.0
307.0,508.0,350.0,153.0
308.0,507.0,350.0,153.0
309.0,508.0,349.0,154.0
309.0,508.0,350.0,155.0
311.0,507.0,350.0,156.0
312.0,507.0,349.0,157.0
313.0,508.0,350.0,158.0
315.0,507.0,350.0,159.0
315.0,508.0,350.0,159.0
316.0,508.0,351.0,160.0
319.0,508.0,351.0,161.0
320.0,508.0,351.0,161.0
320.0,508.0,352.0,162.0
322.0,509.0,353.0,163.0
324.0,509.0,353.0,164.0
324.0,510.0,354.0,164.0
326.0,510.0,354.0,165.0
328.0,510.0,355.0,165.0
329.0,511.0,355.0,165.0
329.0,512.0,357.0,166.0
331.0,513.0,358.0,167.0
332.0,513.0,357.0,167.0
335.0,514.0,359.0,168.0
335.0,514.0,360.0,169.0
336.0,515.0,361.0,170.0
338.0,516.0,361.0,170.0
339.0,517.0,362.0,171.0
340.0,518.0,363.0,170.0
342.0,518.0,363.0,172.0
342.0,520.0,364.0,173.0
343.0,520.0,365.0,174.0
346.0,521.0,366.0,174.0
347.0,523.0,367.0,173.0
346.0,523.0,368.0,175.0
347.0,523.0,367.0,176.0
349.0,525.0,369.0,177.0
349.0,525.0,370.0,177.0
350.0,527.0,371.0,177.0
351.0,527.0,372.0,177.0
353.0,528.0,372.0,178.0
354.0,529.0,373.0,178.0
355.0,530.0,373.0,179.0
355.0,530.0,375.0,179.0
356.0,531.0,375.0,180.0
357.0,533.0,377.0,181.0
358.0,533.0,377.0,181.0
358.0,535.0,377.0,181.0
360.0,535.0,379.0,182.0
360.0,536.0,380.0,183.0
361.0,536.0,381.0,183.0
362.0,538.0,381.0,184.0
363.0,538.0,382.0,184.0
364.0,539.0,382.0,184.0
365.0,541.0,383.0,185.0
365.0,540.0,385.0,186.0
365.0,541.0,385.0,185.0
366.0,543.0,385.0,186.0
367.0,543.0,387.0,187.0
