NO2,C2H5OH,VOC,CO
416.0,639.0,472.0,245.0
416.0,640.0,472.0,244.0
417.0,639.0,472.0,244.0
416.0,638.0,472.0,244.0
416.0,640.0,472.0,244.0
417.0,639.0,473.0,245.0
417.0,639.0,472.0,244.0
418.0,640.0,472.0,244.0
420.0,640.0,472.0,244.0
417.0,640.0,472.0,244.0
418.0,639.0,472.0,245.0
417.0,639.0,472.0,246.0
418.0,640.0,473.0,246.0
420.0,639.0,472.0,247.0
423.0,641.0,473.0,247.0
424.0,640.0,473.0,247.0
426.0,641.0,474.0,248.0
426.0,642.0,474.0,249.0
426.0,642.0,473.0,250.0
427.0,643.0,475.0,250.0
428.0,643.0,475.0,250.0
429.0,644.0,475.0,250.0
429.0,645.0,476.0,250.0
429.0,645.0,477.0,251.0
430.0,646.0,478.0,252.0
430.0,647.0,477.0,252.0
431.0,646.0,477.0,252.0
431.0,648.0,478.0,253.0
433.0,648.0,478.0,252.0
433.0,649.0,479.0,254.0
