NO2,C2H5OH,VOC,CO
481.0,751.0,508.0,617.0
481.0,752.0,508.0,622.0
481.0,752.0,507.0,625.0
480.0,752.0,508.0,623.0
480.0,753.0,507.0,621.0
479.0,752.0,507.0,618.0
478.0,753.0,507.0,615.0
478.0,752.0,507.0,613.0
477.0,753.0,506.0,614.0
476.0,753.0,507.0,615.0
477.0,752.0,507.0,616.0
477.0,753.0,506.0,616.0
477.0,753.0,506.0,616.0
476.0,753.0,507.0,616.0
476.0,753.0,507.0,615.0
476.0,753.0,508.0,618.0
476.0,752.0,508.0,617.0
477.0,753.0,508.0,618.0
477.0,753.0,508.0,618.0
477.0,753.0,508.0,618.0
477.0,753.0,509.0,620.0
477.0,754.0,509.0,620.0
477.0,753.0,509.0,622.0
478.0,754.0,510.0,621.0
478.0,754.0,510.0,622.0
479.0,754.0,511.0,624.0
480.0,756.0,512.0,626.0
480.0,756.0,512.0,625.0
481.0,755.0,513.0,625.0
482.0,756.0,512.0,627.0
482.0,757.0,513.0,628.0
482.0,758.0,515.0,627.0
483.0,757.0,515.0,628.0
483.0,757.0,516.0,626.0
484.0,759.0,516.0,629.0
484.0,758.0,516.0,630.0
485.0,759.0,518.0,628.0
486.0,759.0,517.0,629.0
486.0,759.0,517.0,631.0
487.0,760.0,519.0,629.0
488.0,760.0,520.0,631.0
488.0,761.0,521.0,630.0
488.0,761.0,521.0,630.0
488.0,762.0,521.0,632.0
490.0,761.0,522.0,632.0
490.0,762.0,522.0,632.0
491.0,763.0,523.0,632.0
491.0,763.0,524.0,632.0
492.0,764.0,523.0,633.0
492.0,764.0,525.0,635.0
493.0,764.0,525.0,634.0
493.0,765.0,526.0,635.0
494.0,765.0,526.0,634.0
494.0,766.0,526.0,633.0
495.0,766.0,527.0,633.0
495.0,766.0,526.0,634.0
495.0,767.0,528.0,636.0
496.0,767.0,528.0,636.0
496.0,767.0,530.0,637.0
497.0,767.0,529.0,635.0
498.0,769.0,530.0,635.0
498.0,769.0,530.0,636.0
498.0,769.0,531.0,636.0
499.0,770.0,531.0,636.0
499.0,770.0,532.0,636.0
499.0,770.0,533.0,636.0
500.0,769.0,533.0,638.0
500.0,771.0,533.0,637.0
500.0,771.0,534.0,639.0
501.0,772.0,535.0,638.0
502.0,772.0,534.0,638.0
501.0,772.0,535.0,639.0
502.0,772.0,536.0,639.0
502.0,772.0,536.0,637.0
503.0,773.0,537.0,639.0
502.0,773.0,537.0,638.0
503.0,774.0,537.0,637.0
503.0,773.0,538.0,637.0
503.0,773.0,537.0,637.0
503.0,774.0,537.0,639.0
504.0,774.0,538.0,637.0
504.0,773.0,539.0,636.0
504.0,774.0,538.0,638.0
504.0,774.0,539.0,635.0
504.0,775.0,539.0,636.0
504.0,775.0,539.0,637.0
504.0,774.0,539.0,637.0
504.0,775.0,539.0,638.0
504.0,775.0,540.0,637.0
506.0,775.0,540.0,635.0
