NO2,C2H5OH,VOC,CO
279.0,395.0,245.0,166.0
282.0,398.0,247.0,174.0
283.0,400.0,248.0,177.0
284.0,402.0,249.0,178.0
285.0,404.0,251.0,179.0
287.0,405.0,252.0,182.0
289.0,407.0,254.0,184.0
289.0,409.0,256.0,189.0
290.0,410.0,257.0,193.0
292.0,412.0,258.0,197.0
292.0,414.0,259.0,200.0
293.0,415.0,261.0,203.0
294.0,417.0,262.0,203.0
295.0,418.0,263.0,202.0
296.0,419.0,264.0,201.0
297.0,419.0,265.0,200.0
298.0,420.0,265.0,201.0
299.0,420.0,267.0,201.0
298.0,420.0,267.0,202.0
299.0,422.0,268.0,204.0
300.0,423.0,270.0,206.0
301.0,424.0,270.0,207.0
303.0,424.0,271.0,209.0
306.0,426.0,272.0,211.0
306.0,426.0,273.0,212.0
306.0,427.0,273.0,212.0
303.0,427.0,274.0,215.0
303.0,428.0,275.0,215.0
304.0,429.0,275.0,217.0
305.0,430.0,276.0,218.0
305.0,431.0,278.0,220.0
306.0,431.0,278.0,222.0
306.0,433.0,279.0,224.0
306.0,432.0,280.0,225.0
306.0,433.0,280.0,227.0
306.0,434.0,281.0,228.0
307.0,434.0,282.0,228.0
307.0,434.0,282.0,227.0
307.0,435.0,282.0,227.0
308.0,435.0,283.0,228.0
309.0,436.0,284.0,228.0
308.0,436.0,283.0,230.0
310.0,438.0,285.0,232.0
309.0,438.0,285.0,234.0
310.0,439.0,285.0,236.0
312.0,439.0,286.0,237.0
313.0,440.0,286.0,239.0
310.0,441.0,288.0,241.0
311.0,442.0,288.0,242.0
312.0,442.0,289.0,244.0
312.0,443.0,289.0,247.0
312.0,443.0,290.0,249.0
312.0,445.0,291.0,250.0
313.0,446.0,291.0,250.0
314.0,445.0,292.0,251.0
314.0,446.0,292.0,252.0
314.0,447.0,292.0,251.0
314.0,447.0,293.0,252.0
317.0,448.0,293.0,253.0
318.0,449.0,294.0,254.0
318.0,450.0,295.0,255.0
318.0,450.0,296.0,256.0
320.0,450.0,296.0,258.0
321.0,452.0,298.0,259.0
320.0,451.0,298.0,261.0
319.0,453.0,297.0,262.0
317.0,454.0,298.0,262.0
317.0,454.0,298.0,264.0
318.0,455.0,300.0,265.0
317.0,456.0,301.0,266.0
319.0,456.0,302.0,268.0
320.0,457.0,301.0,269.0
321.0,457.0,302.0,270.0
318.0,457.0,302.0,270.0
318.0,458.0,303.0,270.0
319.0,458.0,303.0,271.0
318.0,458.0,302.0,271.0
318.0,459.0,303.0,271.0
321.0,459.0,303.0,272.0
320.0,459.0,302.0,271.0
319.0,458.0,302.0,272.0
320.0,459.0,303.0,272.0
317.0,459.0,303.0,273.0
316.0,459.0,304.0,274.0
317.0,460.0,304.0,276.0
318.0,460.0,305.0,278.0
319.0,462.0,305.0,280.0
321.0,462.0,306.0,281.0
322.0,462.0,305.0,282.0
318.0,463.0,306.0,283.0
