NO2,C2H5OH,VOC,CO
325.0,482.0,317.0,262.0
326.0,482.0,316.0,263.0
327.0,482.0,316.0,262.0
326.0,481.0,317.0,262.0
327.0,482.0,317.0,262.0
327.0,482.0,317.0,262.0
327.0,482.0,317.0,263.0
327.0,483.0,316.0,262.0
327.0,482.0,316.0,262.0
327.0,483.0,316.0,261.0
326.0,481.0,316.0,260.0
325.0,480.0,314.0,259.0
324.0,479.0,314.0,257.0
323.0,479.0,314.0,258.0
323.0,479.0,315.0,256.0
324.0,480.0,314.0,258.0
324.0,479.0,314.0,258.0
324.0,479.0,314.0,258.0
319.0,479.0,314.0,258.0
318.0,479.0,314.0,257.0
319.0,479.0,314.0,257.0
319.0,480.0,314.0,258.0
319.0,479.0,315.0,258.0
320.0,479.0,314.0,259.0
320.0,480.0,314.0,258.0
322.0,480.0,315.0,258.0
321.0,480.0,314.0,258.0
319.0,480.0,314.0,258.0
319.0,479.0,314.0,257.0
317.0,479.0,314.0,258.0
317.0,478.0,314.0,256.0
318.0,478.0,314.0,256.0
320.0,478.0,313.0,256.0
322.0,478.0,314.0,256.0
323.0,479.0,314.0,257.0
323.0,479.0,314.0,256.0
323.0,478.0,314.0,255.0
323.0,479.0,313.0,255.0
323.0,478.0,314.0,256.0
323.0,479.0,313.0,256.0
319.0,479.0,314.0,256.0
318.0,478.0,314.0,255.0
320.0,478.0,314.0,256.0
319.0,479.0,314.0,257.0
319.0,479.0,314.0,257.0
320.0,479.0,314.0,256.0
319.0,479.0,314.0,257.0
323.0,479.0,314.0,256.0
323.0,479.0,313.0,257.0
319.0,479.0,314.0,256.0
320.0,479.0,314.0,257.0
320.0,478.0,314.0,256.0
320.0,478.0,314.0,256.0
320.0,478.0,313.0,256.0
320.0,478.0,313.0,256.0
320.0,478.0,313.0,256.0
321.0,478.0,314.0,257.0
321.0,478.0,313.0,257.0
321.0,478.0,313.0,257.0
323.0,477.0,313.0,256.0
323.0,478.0,313.0,256.0
322.0,478.0,313.0,257.0
322.0,478.0,313.0,257.0
323.0,478.0,312.0,256.0
324.0,477.0,312.0,257.0
324.0,478.0,313.0,257.0
324.0,477.0,313.0,256.0
323.0,477.0,313.0,256.0
324.0,477.0,313.0,257.0
323.0,477.0,312.0,256.0
324.0,477.0,313.0,256.0
323.0,478.0,313.0,256.0
324.0,477.0,313.0,257.0
324.0,478.0,312.0,256.0
323.0,477.0,312.0,255.0
322.0,477.0,312.0,256.0
323.0,477.0,312.0,256.0
323.0,477.0,312.0,255.0
322.0,477.0,312.0,256.0
322.0,476.0,312.0,256.0
319.0,476.0,312.0,255.0
321.0,477.0,312.0,255.0
323.0,476.0,312.0,255.0
323.0,477.0,312.0,256.0
324.0,476.0,312.0,255.0
323.0,477.0,312.0,255.0
322.0,476.0,312.0,256.0
320.0,476.0,311.0,256.0
318.0,475.0,311.0,255.0
321.0,476.0,311.0,255.0
