NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
41,62,90,728,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,62,89,728,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,62,89,728,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,89,728,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,63,89,729,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,89,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,88,729,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,729,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,89,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,62,88,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,730,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,730,2,9,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,88,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,88,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,87,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,62,87,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,87,732,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,87,732,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,87,731,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,62,87,732,2,11,0,33.59,688.6,100.0,0.0,3170.54
39,62,87,732,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,62,87,733,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,62,87,734,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,62,87,734,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,63,87,734,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,63,87,735,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,63,87,735,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,63,87,736,2,10,0,33.59,688.6,100.0,0.0,3170.54
39,63,87,737,2,9,0,33.59,688.6,100.0,0.0,3170.54
