NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
53,87,157,766,3,34,4294967295,25.63,1022.6,28.29,439.68,-46.27
53,87,157,766,3,35,4294967295,25.63,1022.59,28.3,443.74,-46.27
52,87,156,766,3,34,4294967295,25.63,1022.59,28.33,444.92,-46.27
53,87,156,766,3,34,4294967295,25.63,1022.59,28.33,444.33,-46.27
52,86,156,765,3,34,4294967295,25.63,1022.59,28.33,445.51,-46.27
52,86,155,765,3,34,4294967295,25.63,1022.59,28.32,443.45,-46.35
52,86,154,765,3,34,4294967295,25.63,1022.6,28.33,446.99,-46.35
51,86,154,765,3,35,4294967295,25.63,1022.6,28.33,449.68,-46.35
52,86,153,765,2,34,4294967295,25.63,1022.6,28.33,448.78,-46.35
51,86,153,765,3,34,4294967295,25.63,1022.6,28.34,448.18,-46.27
51,86,153,765,3,34,4294967295,25.63,1022.59,28.33,449.08,-46.27
51,86,153,766,3,35,4294967295,25.63,1022.59,28.34,451.19,-46.27
51,86,153,766,3,34,4294967295,25.63,1022.59,28.32,450.59,-46.27
51,87,153,767,3,35,4294967295,25.63,1022.59,28.33,451.5,-46.35
50,86,153,768,3,34,4294967295,25.63,1022.6,28.34,448.78,-46.35
50,86,152,768,3,34,4294967295,25.63,1022.6,28.33,451.8,-46.35
51,86,152,770,3,34,4294967295,25.63,1022.6,28.32,454.86,-46.35
51,86,151,769,3,34,4294967295,25.63,1022.6,28.32,451.19,-46.27
50,86,152,769,3,38,4294967295,25.63,1022.59,28.31,455.79,-46.35
50,86,151,771,3,34,4294967295,25.63,1022.6,28.29,454.24,-46.35
50,87,151,771,3,34,4294967295,25.63,1022.6,28.3,457.34,-46.35
50,86,151,771,3,33,4294967295,25.63,1022.6,28.29,456.71,-46.35
50,86,151,771,3,33,4294967295,25.63,1022.6,28.28,458.27,-46.35
50,87,150,773,3,34,4294967295,25.63,1022.6,28.29,453.32,-46.35
50,87,150,774,3,34,4294967295,25.63,1022.6,28.33,456.1,-46.43
50,87,150,774,3,33,4294967295,25.63,1022.61,28.35,455.79,-46.43
50,87,150,774,3,33,4294967295,25.63,1022.61,28.35,460.16,-46.35
50,87,150,774,3,33,4294967295,25.63,1022.6,28.36,459.21,-46.35
49,87,149,775,3,34,4294967295,25.63,1022.6,28.37,459.21,-46.35
49,87,150,776,3,34,4294967295,25.63,1022.6,28.39,459.21,-46.35
49,87,149,776,3,32,4294967295,25.63,1022.6,28.38,460.16,-46.43
49,88,149,776,3,33,4294967295,25.62,1022.61,28.36,458.58,-46.35
49,87,149,776,2,34,4294967295,25.62,1022.6,28.37,459.21,-46.35
49,87,149,776,3,33,4294967295,25.63,1022.6,28.36,461.1,-46.35
48,88,149,777,3,33,4294967295,25.63,1022.6,28.37,459.21,-46.35
49,88,149,778,3,33,4294967295,25.62,1022.6,28.35,461.42,-46.35
49,88,149,779,3,33,4294967295,25.62,1022.6,28.36,463.33,-46.35
49,88,148,779,3,35,4294967295,25.62,1022.6,28.37,462.06,-46.35
49,87,149,779,3,32,4294967295,25.62,1022.6,28.4,466.87,-46.35
49,87,148,779,3,33,4294967295,25.62,1022.6,28.43,463.33,-46.35
49,87,148,780,3,33,4294967295,25.62,1022.6,28.45,464.61,-46.43
49,88,148,781,3,33,4294967295,25.62,1022.61,28.46,465.25,-46.35
49,88,148,782,3,34,4294967295,25.62,1022.6,28.47,462.69,-46.35
48,88,148,782,3,37,4294967295,25.62,1022.6,28.49,463.01,-46.43
49,88,148,782,3,33,4294967295,25.62,1022.61,28.51,462.37,-46.43
49,88,148,783,3,33,4294967295,25.63,1022.61,28.52,462.69,-46.35
49,88,148,784,3,33,4294967295,25.62,1022.6,28.52,464.61,-46.35
49,89,148,784,3,33,4294967295,25.62,1022.6,28.52,460.47,-46.27
49,88,148,785,3,33,4294967295,25.62,1022.59,28.49,464.93,-46.27
49,88,148,786,3,34,4294967295,25.62,1022.59,28.47,461.74,-46.35
49,88,147,786,3,33,4294967295,25.62,1022.6,28.46,462.37,-46.27
49,88,148,787,3,33,4294967295,25.62,1022.59,28.47,463.33,-46.35
49,88,148,787,3,33,4294967295,25.62,1022.6,28.48,460.79,-46.35
48,89,148,787,3,33,4294967295,25.62,1022.6,28.47,465.9,-46.27
49,88,147,787,3,33,4294967295,25.62,1022.59,28.46,463.65,-46.27
49,89,147,788,3,33,4294967295,25.62,1022.59,28.45,466.55,-46.27
49,89,147,789,3,33,4294967295,25.62,1022.59,28.44,465.25,-46.27
49,89,147,789,3,33,4294967295,25.62,1022.59,28.42,462.69,-46.27
49,89,148,790,3,33,4294967295,25.62,1022.59,28.43,466.87,-46.35
49,89,148,791,3,33,4294967295,25.62,1022.6,28.45,466.22,-46.35
49,89,147,791,3,37,4294967295,25.62,1022.6,28.45,463.65,-46.35
50,89,147,791,3,31,4294967295,25.62,1022.6,28.46,468.5,-46.43
48,89,148,792,3,33,4294967295,25.62,1022.61,28.45,466.87,-46.43
50,89,147,792,3,33,4294967295,25.62,1022.61,28.45,468.17,-46.43
49,89,148,792,3,32,4294967295,25.62,1022.61,28.45,468.83,-46.35
49,89,148,793,3,33,4294967295,25.62,1022.6,28.46,463.65,-46.35
50,88,148,793,3,33,4294967295,25.62,1022.6,28.48,466.22,-46.35
50,89,148,793,3,32,4294967295,25.62,1022.6,28.48,467.2,-46.35
50,89,148,794,3,33,4294967295,25.62,1022.6,28.48,467.2,-46.27
49,89,147,794,3,32,4294967295,25.62,1022.59,28.47,466.87,-46.27
49,89,148,794,3,33,4294967295,25.62,1022.59,28.48,466.22,-46.35
49,89,148,794,3,33,4294967295,25.62,1022.6,28.48,469.15,-46.35
49,90,148,795,3,34,4294967295,25.62,1022.6,28.47,467.2,-46.35
49,89,148,795,3,33,4294967295,25.62,1022.6,28.48,467.2,-46.35
50,90,147,794,3,33,4294967295,25.62,1022.6,28.48,464.61,-46.35
49,89,147,795,3,34,4294967295,25.62,1022.6,28.47,470.14,-46.27
