NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,63,60,801,1,31,4294967295,25.33,1011.98,39.67,177.35,41.72
32,62,60,800,1,31,4294967295,25.33,1011.98,39.7,179.62,41.64
32,63,60,800,1,31,4294967295,25.33,1011.99,39.73,180.59,41.64
32,63,61,800,1,30,4294967295,25.32,1011.99,39.75,181.56,41.64
32,62,60,800,1,30,4294967295,25.32,1011.99,39.76,182.55,41.64
32,63,60,802,1,30,4294967295,25.32,1011.99,39.78,182.74,41.64
32,63,60,803,1,31,4294967295,25.32,1011.99,39.81,183.14,41.72
32,63,61,805,1,29,4294967295,25.32,1011.98,39.82,183.74,41.72
32,62,60,806,1,30,4294967295,25.32,1011.98,39.83,184.96,41.81
32,63,60,808,1,30,4294967295,25.32,1011.97,39.85,184.55,41.81
32,63,60,809,2,29,4294967295,25.32,1011.97,39.86,185.57,41.81
31,63,61,808,1,29,4294967295,25.32,1011.97,39.86,184.75,41.81
32,63,61,808,1,29,4294967295,25.32,1011.97,39.88,185.98,41.81
32,63,61,808,1,29,4294967295,25.32,1011.97,39.89,186.6,41.81
32,62,60,807,1,29,4294967295,25.32,1011.97,39.9,186.08,41.81
32,63,61,807,1,33,4294967295,25.32,1011.97,39.89,185.76,41.89
32,63,60,806,1,27,4294967295,25.33,1011.96,39.9,185.87,41.97
32,63,61,806,1,29,4294967295,25.33,1011.95,39.91,186.5,41.97
32,63,60,806,1,27,4294967295,25.33,1011.95,39.9,187.45,41.97
32,63,60,806,1,27,4294967295,25.33,1011.95,39.91,188.09,41.89
32,62,61,806,1,28,4294967295,25.33,1011.96,39.91,188.19,41.89
31,62,61,806,1,29,4294967295,25.33,1011.96,39.92,188.19,41.97
32,63,60,806,1,28,4294967295,25.34,1011.95,39.92,188.95,41.97
32,63,60,807,1,28,4294967295,25.34,1011.95,39.92,190.03,41.97
32,63,61,808,2,27,4294967295,25.34,1011.95,39.92,189.49,42.06
32,63,60,808,1,28,4294967295,25.34,1011.94,39.95,189.92,42.06
31,63,60,810,1,28,4294967295,25.34,1011.94,39.92,189.92,42.06
31,62,60,810,1,28,4294967295,25.35,1011.94,39.93,189.49,42.14
31,62,60,811,1,28,4294967295,25.35,1011.93,39.92,191.57,42.14
32,63,60,812,1,28,4294967295,25.35,1011.93,39.93,191.13,42.14
32,63,61,814,2,28,4294967295,25.35,1011.93,39.92,191.8,42.06
31,62,60,815,1,29,4294967295,25.35,1011.94,39.93,191.69,42.14
