NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
38,70,83,776,1,25,0,25.94,1011.5,38.16,230.6,45.72
38,69,83,776,1,25,0,25.94,1011.5,38.21,228.84,45.72
37,69,82,777,1,25,0,25.94,1011.5,38.25,229.96,45.72
37,70,83,776,2,25,0,25.94,1011.5,38.28,231.24,45.72
37,70,83,777,1,25,0,25.94,1011.5,38.31,230.44,45.64
37,70,83,777,1,25,0,25.94,1011.51,38.33,229.96,45.64
38,70,83,778,2,24,0,25.94,1011.51,38.34,230.44,45.64
37,70,83,778,1,25,0,25.94,1011.51,38.35,230.92,45.64
37,70,83,778,1,25,0,25.94,1011.51,38.35,229.64,45.64
38,70,83,778,2,25,0,25.94,1011.51,38.36,228.68,45.64
37,70,83,779,1,26,0,25.95,1011.51,38.35,230.44,45.64
37,70,83,779,2,26,0,25.95,1011.51,38.37,231.24,45.64
38,70,83,779,2,25,0,25.95,1011.51,38.36,230.92,45.64
37,70,82,779,2,25,0,25.95,1011.51,38.35,230.92,45.64
37,70,83,779,1,26,0,25.95,1011.51,38.34,229.0,45.56
37,70,83,779,2,26,0,25.95,1011.52,38.34,229.8,45.56
37,70,83,780,2,25,0,25.95,1011.52,38.34,229.16,45.56
37,70,83,780,1,25,0,25.95,1011.52,38.32,229.32,45.72
37,70,83,780,2,25,0,25.95,1011.5,38.34,230.28,45.64
37,69,83,780,1,26,0,25.95,1011.51,38.34,229.0,45.64
37,70,82,780,1,25,0,25.95,1011.51,38.33,229.48,45.72
37,70,83,779,1,25,0,25.95,1011.5,38.32,228.53,45.64
37,69,82,781,1,26,0,25.95,1011.51,38.31,230.6,45.64
37,70,83,781,2,25,0,25.95,1011.51,38.31,229.48,45.56
37,70,83,781,2,25,0,25.95,1011.52,38.31,229.64,45.64
37,70,83,781,1,24,0,25.95,1011.51,38.32,231.57,45.64
37,70,82,782,2,26,0,25.95,1011.51,38.35,231.24,45.64
37,69,82,781,1,26,0,25.95,1011.51,38.35,229.8,45.64
37,70,83,781,1,26,0,25.96,1011.51,38.36,229.64,45.56
37,70,83,782,2,26,0,25.96,1011.52,38.38,229.96,45.64
37,69,83,782,2,24,0,25.96,1011.51,38.39,229.32,45.64
37,70,83,783,1,25,0,25.96,1011.51,38.4,230.28,45.64
36,70,83,782,1,26,0,25.96,1011.51,38.41,231.24,45.64
37,70,82,782,1,26,0,25.96,1011.51,38.38,231.08,45.56
37,70,82,782,2,26,0,25.96,1011.52,38.39,229.96,45.47
37,70,82,783,2,28,0,25.96,1011.53,38.38,229.48,45.56
37,70,82,783,1,26,0,25.96,1011.52,38.37,229.16,45.56
37,70,82,782,2,26,0,25.96,1011.52,38.38,229.96,45.56
37,70,82,783,1,25,0,25.96,1011.52,38.39,230.28,45.64
36,70,83,783,2,25,0,25.96,1011.51,38.42,230.28,45.64
37,70,82,783,1,26,0,25.96,1011.51,38.42,230.12,45.56
37,70,82,783,1,26,0,25.96,1011.52,38.43,228.37,45.56
37,70,82,783,1,26,0,25.96,1011.52,38.43,228.68,45.47
37,70,82,783,1,26,0,25.97,1011.53,38.44,228.68,45.47
37,70,82,783,1,25,0,25.97,1011.53,38.43,231.4,45.56
37,70,82,784,1,25,0,25.97,1011.52,38.42,230.12,45.47
37,70,82,784,1,26,0,25.97,1011.53,38.41,229.48,45.56
37,70,82,784,1,26,0,25.97,1011.52,38.39,229.96,45.56
38,70,82,783,1,26,0,25.97,1011.52,38.4,229.0,45.56
37,70,82,783,2,25,0,25.97,1011.52,38.41,229.32,45.47
37,70,82,784,1,26,0,25.97,1011.53,38.43,230.6,45.47
37,71,83,784,1,26,0,25.97,1011.53,38.47,229.48,45.56
37,70,82,784,2,26,0,25.97,1011.52,38.48,229.48,45.56
36,70,82,784,1,27,0,25.97,1011.52,38.47,229.32,45.56
37,70,83,783,2,26,0,25.97,1011.52,38.47,229.64,45.56
37,70,82,784,1,26,0,25.97,1011.52,38.46,228.68,45.56
