NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,71,80,805,2,34,4294967295,25.67,1011.43,38.93,208.23,46.22
36,71,80,805,2,34,4294967295,25.67,1011.44,38.96,207.97,46.22
36,71,79,805,1,37,4294967295,25.67,1011.44,38.99,207.84,46.22
35,71,80,805,1,35,4294967295,25.67,1011.44,38.99,209.02,46.22
35,71,80,805,2,34,4294967295,25.67,1011.44,39.0,209.02,46.22
35,71,80,805,1,35,4294967295,25.67,1011.44,39.0,210.35,46.22
35,71,80,805,2,34,4294967295,25.67,1011.44,39.0,210.35,46.14
36,71,80,804,1,35,4294967295,25.67,1011.45,38.99,209.15,46.14
36,71,80,805,2,35,4294967295,25.67,1011.45,39.0,210.48,46.14
35,71,80,804,1,34,4294967295,25.67,1011.45,38.99,210.62,46.14
35,71,80,804,2,33,4294967295,25.67,1011.45,38.98,210.75,46.22
35,71,80,803,2,35,4294967295,25.67,1011.44,38.98,209.95,46.22
35,71,79,804,2,34,4294967295,25.67,1011.44,39.0,211.29,46.22
36,71,79,804,2,35,4294967295,25.67,1011.44,39.01,211.42,46.22
36,71,79,803,1,35,4294967295,25.67,1011.44,39.03,211.15,46.31
35,72,80,804,2,34,4294967295,25.68,1011.43,39.03,210.88,46.39
36,72,80,804,2,34,4294967295,25.68,1011.42,39.04,211.29,46.39
35,72,80,805,2,34,4294967295,25.68,1011.42,39.06,211.56,46.47
35,71,79,804,2,34,4294967295,25.68,1011.41,39.08,211.97,46.47
35,71,79,804,2,33,4294967295,25.68,1011.41,39.1,211.97,46.47
36,71,80,804,1,33,4294967295,25.68,1011.41,39.1,211.69,46.47
35,71,79,804,2,33,4294967295,25.68,1011.41,39.09,212.24,46.47
36,71,79,803,2,34,4294967295,25.68,1011.41,39.1,212.65,46.47
35,71,79,802,2,34,4294967295,25.68,1011.41,39.09,214.16,46.47
35,71,79,803,1,34,4294967295,25.68,1011.41,39.08,212.51,46.47
35,71,80,803,2,34,4294967295,25.68,1011.41,39.07,213.89,46.47
35,71,79,802,1,34,4294967295,25.68,1011.41,39.07,213.61,46.47
35,71,79,801,1,34,4294967295,25.68,1011.41,39.06,214.16,46.56
35,71,80,802,1,34,4294967295,25.68,1011.4,39.04,213.47,46.47
35,71,79,801,2,34,4294967295,25.68,1011.41,39.02,215.42,46.56
35,71,79,801,1,33,4294967295,25.68,1011.4,39.03,214.72,46.56
35,71,79,801,1,33,4294967295,25.68,1011.4,39.01,213.61,46.47
35,71,79,800,2,34,4294967295,25.69,1011.41,39.02,215.28,46.47
35,71,79,800,2,33,4294967295,25.69,1011.41,39.02,214.44,46.47
35,71,79,800,1,38,4294967295,25.69,1011.41,39.02,214.72,46.47
35,71,80,800,2,33,4294967295,25.69,1011.41,39.04,214.44,46.56
35,71,79,800,2,32,4294967295,25.69,1011.4,39.05,215.0,46.47
35,71,80,801,2,33,4294967295,25.69,1011.41,39.06,215.7,46.47
35,71,79,801,2,33,744,25.69,1011.41,39.07,215.14,46.47
35,72,80,801,2,34,211,25.69,1011.41,39.07,215.98,46.47
35,71,80,802,2,34,4294967295,25.69,1011.41,39.09,215.7,46.56
35,72,80,802,2,37,4294967295,25.69,1011.4,39.09,215.56,46.56
35,71,80,802,2,33,4294967295,25.69,1011.4,39.1,215.84,46.56
35,71,80,802,2,33,47,25.69,1011.4,39.1,216.12,46.56
35,71,79,801,2,37,4294967295,25.69,1011.4,39.12,216.27,46.47
36,71,79,801,1,33,4294967295,25.69,1011.41,39.12,216.41,46.47
36,71,80,801,1,33,1354,25.69,1011.41,39.11,216.12,46.39
35,71,80,801,1,33,39,25.69,1011.42,39.13,217.4,46.39
35,71,80,800,2,33,4294967295,25.69,1011.42,39.15,216.55,46.39
35,71,80,801,1,32,4294967295,25.7,1011.42,39.15,217.26,46.47
36,71,79,799,1,32,39,25.7,1011.41,39.15,217.83,46.47
36,71,79,800,1,32,8678,25.7,1011.41,39.15,217.4,46.56
35,71,80,800,2,32,4294967295,25.7,1011.4,39.15,217.98,46.47
35,71,79,800,1,33,39,25.7,1011.41,39.17,217.55,46.56
35,71,79,799,1,32,4294967295,25.7,1011.4,39.16,218.41,46.56
35,71,80,800,1,33,71,25.7,1011.4,39.14,218.41,46.47
36,71,80,800,1,32,0,25.7,1011.41,39.14,217.83,46.56
35,71,79,799,1,33,0,25.7,1011.4,39.12,217.83,46.56
35,70,79,798,2,33,4294967295,25.7,1011.4,39.1,217.83,46.56
35,71,80,798,2,30,744,25.7,1011.4,39.1,217.83,46.64
36,71,80,798,2,37,55735,25.7,1011.39,39.09,218.99,46.64
36,71,79,798,1,33,4294967295,25.7,1011.39,39.09,218.41,46.64
35,71,79,798,1,33,4294967295,25.7,1011.39,39.09,217.98,46.64
35,71,79,797,2,33,115,25.7,1011.39,39.08,219.86,46.56
35,71,80,798,1,32,3,25.7,1011.4,39.08,218.99,46.56
36,70,79,797,1,32,4294967295,25.7,1011.4,39.07,219.57,46.56
