NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
32,66,63,768,1,11,0,25.2,1010.39,39.69,283.13,54.89
33,66,64,768,1,13,0,25.2,1010.4,39.71,283.62,54.89
33,66,64,769,1,11,0,25.19,1010.4,39.72,284.6,54.89
32,66,64,769,1,11,0,25.19,1010.4,39.73,282.17,54.89
32,66,64,768,1,11,0,25.19,1010.4,39.75,283.38,54.89
33,66,64,768,0,11,0,25.19,1010.4,39.74,281.93,54.97
33,66,64,769,1,11,0,25.19,1010.39,39.77,283.38,54.97
33,66,64,768,1,11,0,25.19,1010.39,39.77,283.62,54.89
32,66,64,769,1,11,0,25.19,1010.4,39.77,281.69,54.81
33,66,64,769,1,11,0,25.19,1010.41,39.78,282.89,54.72
33,66,64,769,1,11,0,25.19,1010.42,39.8,282.41,54.81
33,66,63,768,1,11,0,25.19,1010.41,39.78,283.13,54.72
33,67,64,768,1,10,0,25.19,1010.42,39.8,282.41,54.72
32,66,63,768,1,11,0,25.2,1010.42,39.77,281.69,54.72
33,66,64,770,1,11,0,25.2,1010.42,39.77,281.45,54.72
32,66,64,770,1,11,0,25.2,1010.42,39.78,282.17,54.72
32,66,64,769,1,11,0,25.2,1010.42,39.77,282.41,54.72
32,66,64,769,4,17,0,25.2,1010.42,39.78,282.41,54.72
32,66,63,769,1,10,0,25.2,1010.42,39.77,281.45,54.81
33,67,64,770,1,10,0,25.2,1010.41,39.78,282.41,54.81
33,67,64,769,0,10,0,25.2,1010.41,39.77,281.69,54.81
32,66,63,769,0,10,0,25.21,1010.41,39.79,282.41,54.81
32,66,64,769,1,10,0,25.21,1010.41,39.77,281.69,54.72
33,66,64,770,1,10,0,25.21,1010.42,39.76,281.21,54.72
33,67,64,770,0,10,0,25.22,1010.42,39.76,280.73,54.64
32,66,64,771,1,10,0,25.22,1010.43,39.76,281.93,54.56
33,67,63,770,1,10,0,25.22,1010.44,39.76,281.21,54.56
33,66,63,771,0,10,0,25.22,1010.44,39.75,280.02,54.56
33,66,63,771,1,10,0,25.23,1010.44,39.75,280.73,54.56
33,66,64,771,0,9,0,25.23,1010.44,39.74,280.25,54.56
33,66,64,770,0,11,0,25.23,1010.44,39.74,280.49,54.56
33,66,64,771,0,10,0,25.23,1010.44,39.74,279.78,54.47
33,66,64,771,0,10,0,25.23,1010.45,39.74,281.21,54.47
33,66,63,771,0,11,0,25.24,1010.45,39.74,279.78,54.47
33,66,64,771,1,10,0,25.24,1010.45,39.73,279.07,54.39
32,66,64,771,1,10,0,25.24,1010.46,39.73,278.83,54.47
32,66,64,771,0,10,0,25.24,1010.45,39.71,279.07,54.47
33,66,64,772,0,10,0,25.25,1010.45,39.73,279.78,54.47
33,67,64,772,0,10,0,25.25,1010.45,39.72,278.83,54.47
33,66,64,772,0,10,0,25.25,1010.45,39.71,280.02,54.56
33,66,64,772,0,10,0,25.25,1010.44,39.71,279.54,54.47
33,66,64,773,0,10,0,25.25,1010.45,39.71,280.25,54.39
33,66,65,773,0,10,0,25.26,1010.46,39.72,278.37,54.39
33,66,64,772,1,10,0,25.26,1010.46,39.7,279.54,54.39
33,66,64,773,0,10,0,25.26,1010.46,39.71,279.31,54.39
33,66,65,773,0,10,0,25.26,1010.46,39.7,280.25,54.39
33,66,65,773,0,10,0,25.26,1010.46,39.69,277.66,54.31
33,67,64,773,0,10,0,25.27,1010.47,39.7,276.97,54.39
33,67,65,773,1,10,0,25.27,1010.46,39.7,277.66,54.22
33,67,65,773,1,10,0,25.27,1010.48,39.7,278.6,54.22
34,66,65,774,0,10,0,25.27,1010.48,39.69,277.9,54.22
33,67,65,774,0,10,0,25.27,1010.48,39.69,278.37,54.14
34,66,65,775,1,10,0,25.28,1010.49,39.69,278.13,54.06
33,67,65,774,0,11,0,25.28,1010.5,39.68,277.66,53.97
34,67,66,775,1,10,0,25.28,1010.51,39.68,280.02,53.97
34,67,65,775,0,10,0,25.28,1010.51,39.67,277.9,53.97
33,67,66,775,1,10,0,25.28,1010.51,39.67,277.2,53.97
34,67,65,775,1,10,0,25.28,1010.51,39.66,276.5,53.97
34,67,65,775,1,10,0,25.29,1010.51,39.66,276.27,53.89
34,67,66,774,0,10,0,25.29,1010.52,39.65,277.66,53.89
34,67,65,775,0,10,0,25.29,1010.52,39.65,277.9,53.89
34,67,66,775,0,10,0,25.29,1010.52,39.64,277.2,53.81
34,67,65,775,0,10,0,25.29,1010.53,39.64,279.31,53.72
34,67,66,775,0,10,0,25.29,1010.54,39.63,277.66,53.72
35,66,66,776,1,10,0,25.3,1010.54,39.63,276.73,53.72
34,67,66,775,0,10,0,25.3,1010.54,39.63,277.2,53.72
34,67,66,776,1,10,0,25.3,1010.54,39.62,278.83,53.81
35,67,66,775,0,9,0,25.3,1010.53,39.61,276.04,53.72
35,67,67,776,0,10,0,25.3,1010.54,39.62,276.97,53.81
35,66,67,775,0,10,0,25.31,1010.53,39.63,276.5,53.72
35,67,67,776,0,10,0,25.31,1010.54,39.61,277.43,53.72
34,67,67,776,0,10,0,25.31,1010.54,39.62,277.9,53.72
35,66,67,776,0,10,0,25.31,1010.54,39.61,278.13,53.64
35,67,67,776,0,10,0,25.31,1010.55,39.61,275.35,53.64
35,67,67,776,1,10,0,25.31,1010.55,39.61,277.9,53.64
35,67,67,776,0,10,0,25.32,1010.55,39.61,277.2,53.64
35,67,67,777,0,10,0,25.32,1010.55,39.6,277.66,53.64
35,68,68,776,1,10,0,25.32,1010.55,39.61,276.5,53.56
36,67,67,777,0,10,0,25.32,1010.56,39.59,276.97,53.56
36,67,67,777,1,11,0,25.32,1010.56,39.6,277.43,53.56
36,68,68,777,0,10,0,25.32,1010.56,39.6,276.73,53.47
36,68,69,778,0,10,0,25.32,1010.57,39.6,277.43,53.47
36,68,68,778,0,10,0,25.32,1010.57,39.58,276.5,53.39
36,68,69,777,1,10,0,25.32,1010.58,39.59,277.2,53.31
36,67,68,777,0,10,0,25.33,1010.59,39.58,277.43,53.22
36,67,68,778,0,11,0,25.33,1010.6,39.6,276.73,53.22
36,67,69,778,0,10,0,25.33,1010.6,39.6,278.37,53.22
36,67,68,777,1,10,0,25.33,1010.6,39.58,276.73,53.31
