NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
196,385,538,886,4,29,0,25.56,1018.49,25.43,124.81,-12.35
194,384,535,885,4,30,0,25.56,1018.49,25.44,125.84,-12.35
192,383,532,884,4,29,0,25.56,1018.49,25.45,126.89,-12.35
190,381,529,884,4,29,0,25.56,1018.49,25.47,128.05,-12.27
188,380,527,883,4,32,0,25.55,1018.48,25.5,129.33,-12.35
186,379,524,883,4,29,0,25.55,1018.49,25.52,130.33,-12.35
185,378,522,882,4,29,0,25.55,1018.49,25.53,131.04,-12.44
183,376,519,881,4,29,0,25.55,1018.5,25.55,131.86,-12.44
181,376,516,881,4,27,0,25.55,1018.5,25.56,133.12,-12.35
180,374,514,880,4,29,0,25.55,1018.49,25.56,133.43,-12.44
178,374,511,879,4,28,0,25.55,1018.5,25.56,134.71,-12.44
177,373,509,878,3,29,0,25.55,1018.5,25.56,135.37,-12.35
175,371,506,878,4,29,0,25.55,1018.49,25.55,136.02,-12.44
174,371,504,877,4,28,0,25.55,1018.5,25.55,137.02,-12.44
173,370,502,877,4,29,0,25.55,1018.5,25.55,137.69,-12.44
171,368,501,877,4,29,0,25.55,1018.5,25.55,138.15,-12.52
170,368,499,876,4,29,0,25.56,1018.51,25.56,138.37,-12.52
168,367,497,876,4,29,0,25.56,1018.51,25.57,138.72,-12.52
168,366,494,876,4,29,0,25.56,1018.51,25.6,138.83,-12.52
166,365,493,875,4,29,0,25.56,1018.51,25.62,138.95,-12.52
164,363,490,875,4,30,0,25.56,1018.51,25.65,138.95,-12.44
164,363,488,874,4,29,0,25.56,1018.5,25.66,139.06,-12.44
162,362,487,873,4,29,0,25.56,1018.5,25.66,139.64,-12.44
161,361,485,874,4,29,0,25.56,1018.5,25.67,140.1,-12.44
161,360,484,873,4,28,0,25.56,1018.5,25.69,140.57,-12.44
160,360,482,873,4,28,0,25.56,1018.5,25.67,141.28,-12.52
158,359,481,873,4,29,0,25.57,1018.51,25.69,141.76,-12.44
158,358,481,874,3,29,0,25.57,1018.5,25.69,142.24,-12.44
157,358,483,875,4,29,0,25.57,1018.5,25.67,142.96,-12.52
158,358,486,875,4,29,0,25.57,1018.51,25.67,142.96,-12.44
159,358,489,876,4,29,0,25.57,1018.5,25.67,143.7,-12.44
160,358,492,876,4,29,0,25.57,1018.5,25.66,144.44,-12.35
162,358,494,876,4,29,0,25.57,1018.49,25.68,144.56,-12.35
163,358,496,877,4,28,0,25.57,1018.49,25.68,144.56,-12.35
164,358,498,876,4,28,0,25.58,1018.49,25.68,144.31,-12.35
164,357,498,877,4,28,0,25.58,1018.49,25.71,144.19,-12.35
164,357,497,877,4,28,0,25.58,1018.49,25.75,144.19,-12.44
163,356,496,875,4,28,0,25.58,1018.5,25.78,143.82,-12.35
163,356,494,875,4,29,0,25.58,1018.49,25.79,143.94,-12.35
162,356,493,876,4,29,0,25.58,1018.49,25.8,144.31,-12.44
162,356,495,876,4,29,0,25.58,1018.5,25.8,144.19,-12.44
164,356,500,877,4,29,0,25.58,1018.5,25.8,144.56,-12.52
166,357,504,878,10,41,0,25.58,1018.51,25.79,145.31,-12.52
172,358,516,880,7,35,0,25.58,1018.51,25.8,145.44,-12.52
175,358,521,881,4,28,0,25.52,1018.51,25.85,140.34,-12.52
177,358,524,881,4,28,0,25.51,1018.51,25.93,138.83,-12.52
178,359,527,882,4,28,0,25.52,1018.51,25.99,137.24,-12.52
179,359,529,882,4,28,0,25.53,1018.51,26.03,136.24,-12.52
180,358,531,882,4,27,0,25.54,1018.51,26.07,135.37,-12.52
182,359,533,882,4,28,0,25.55,1018.51,26.1,134.93,-12.52
183,358,536,882,4,28,0,25.55,1018.51,26.12,134.61,-12.52
185,358,538,882,4,28,0,25.56,1018.51,26.11,134.93,-12.52
186,358,540,883,4,28,0,25.56,1018.51,26.13,134.39,-12.44
187,359,543,884,4,28,0,25.57,1018.5,26.13,134.71,-12.35
190,360,547,885,4,28,0,25.57,1018.49,26.14,134.93,-12.44
192,360,550,885,4,28,0,25.58,1018.5,26.13,135.37,-12.52
195,361,551,885,4,28,0,25.58,1018.51,26.11,135.8,-12.52
199,362,553,886,3,28,0,25.58,1018.51,26.09,136.35,-12.52
202,363,553,886,4,28,0,25.58,1018.51,26.05,137.13,-12.6
204,363,555,887,4,28,0,25.59,1018.52,26.02,137.36,-12.52
206,364,556,888,4,28,0,25.59,1018.51,26.01,137.69,-12.6
209,365,557,887,4,28,0,25.59,1018.52,26.01,137.69,-12.6
210,365,558,888,4,28,0,25.59,1018.52,26.02,137.92,-12.6
212,366,559,888,4,28,0,25.59,1018.52,26.01,138.15,-12.6
213,367,561,889,4,28,0,25.59,1018.52,26.01,138.72,-12.6
216,367,564,889,4,28,0,25.6,1018.52,26.0,138.95,-12.68
219,369,567,889,4,28,0,25.6,1018.53,26.0,139.06,-12.77
221,369,570,889,4,30,0,25.6,1018.54,25.99,139.41,-12.77
223,368,572,890,4,27,0,25.6,1018.54,25.98,139.18,-12.68
224,369,575,891,4,28,0,25.6,1018.53,25.99,139.18,-12.68
226,370,577,891,4,28,0,25.6,1018.53,25.98,139.06,-12.68
227,370,580,892,4,29,0,25.6,1018.53,25.98,139.29,-12.77
230,371,582,892,4,29,0,25.6,1018.54,25.96,139.99,-12.68
232,372,584,892,4,29,0,25.6,1018.53,25.94,140.46,-12.68
235,372,586,893,4,30,0,25.6,1018.53,25.92,140.81,-12.77
237,373,588,894,5,33,0,25.6,1018.54,25.92,141.28,-12.77
240,374,591,894,4,29,0,25.6,1018.54,25.91,140.81,-12.68
242,374,592,895,4,32,0,25.6,1018.53,25.92,141.28,-12.68
244,374,593,895,4,29,0,25.6,1018.53,25.9,141.76,-12.6
247,375,594,896,4,29,0,25.6,1018.52,25.91,142.0,-12.68
250,377,594,896,4,29,0,25.6,1018.53,25.9,142.12,-12.68
251,377,595,896,4,28,0,25.6,1018.53,25.9,142.6,-12.77
254,378,596,897,4,30,0,25.6,1018.54,25.88,142.72,-12.77
255,378,598,897,4,29,0,25.6,1018.54,25.86,143.45,-12.77
257,380,599,898,4,29,0,25.6,1018.54,25.85,143.94,-12.77
259,380,601,898,4,29,0,25.6,1018.54,25.84,144.56,-12.77
261,381,602,898,4,30,0,25.61,1018.54,25.82,144.81,-12.77
264,382,601,898,4,29,0,25.61,1018.54,25.82,145.06,-12.85
265,383,601,899,4,29,0,25.61,1018.55,25.81,145.69,-12.85
265,383,601,899,4,31,0,25.61,1018.55,25.81,145.81,-12.85
267,384,602,899,4,30,0,25.61,1018.55,25.79,146.45,-12.85
267,385,603,899,4,29,0,25.61,1018.55,25.79,146.71,-12.85
269,386,605,900,4,29,0,25.61,1018.55,25.78,147.22,-12.85
272,387,606,900,5,29,0,25.61,1018.55,25.76,147.61,-12.85
273,388,607,901,4,30,0,25.61,1018.55,25.75,148.13,-12.77
274,388,608,901,4,29,0,25.61,1018.54,25.75,148.26,-12.85
275,389,610,901,4,33,0,25.61,1018.55,25.75,148.26,-12.77
275,389,611,901,4,29,0,25.61,1018.54,25.76,148.65,-12.85
276,390,612,901,4,30,0,25.61,1018.55,25.76,149.05,-12.85
276,390,613,901,4,29,0,25.61,1018.55,25.76,149.05,-12.93
276,390,614,901,4,29,0,25.62,1018.56,25.76,149.05,-12.93
277,391,617,902,4,29,0,25.62,1018.56,25.77,148.65,-12.93
278,391,619,902,4,29,0,25.62,1018.56,25.8,148.0,-12.85
