NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
79,115,160,817,1,15,4294967295,25.25,1018.62,20.86,139.75,-13.43
79,115,160,818,1,15,4294967295,25.25,1018.62,20.84,140.93,-13.43
78,115,159,818,1,15,4294967295,25.25,1018.62,20.81,141.4,-13.43
78,115,158,818,1,15,4294967295,25.24,1018.62,20.8,142.12,-13.35
78,115,158,816,1,15,4294967295,25.24,1018.61,20.78,142.48,-13.35
77,114,158,816,1,15,4294967295,25.24,1018.61,20.77,143.57,-13.26
78,114,158,816,1,15,4294967295,25.24,1018.6,20.78,143.94,-13.35
77,113,157,816,1,15,4294967295,25.24,1018.61,20.77,145.18,-13.26
77,114,157,815,1,15,4294967295,25.24,1018.6,20.77,145.56,-13.26
77,114,157,815,1,14,4294967295,25.24,1018.6,20.78,145.81,-13.18
76,113,158,815,1,15,4294967295,25.23,1018.59,20.79,147.22,-13.26
76,113,157,815,1,15,4294967295,25.23,1018.6,20.8,147.74,-13.26
76,113,157,815,1,14,4294967295,25.23,1018.6,20.81,148.52,-13.18
76,113,158,816,1,15,4294967295,25.23,1018.59,20.82,148.0,-13.18
76,113,158,817,1,15,4294967295,25.23,1018.59,20.82,149.05,-13.1
75,113,157,816,1,15,4294967295,25.23,1018.58,20.83,149.98,-13.02
75,113,157,816,1,14,4294967295,25.23,1018.57,20.85,150.38,-12.93
76,112,157,817,1,15,4294967295,25.23,1018.56,20.87,151.33,-13.02
75,113,158,818,1,15,4294967295,25.24,1018.57,20.86,151.33,-12.93
75,113,157,819,1,15,4294967295,25.24,1018.56,20.87,152.01,-12.93
75,113,157,818,1,15,4294967295,25.24,1018.56,20.87,153.68,-12.85
75,113,157,818,1,15,4294967295,25.24,1018.55,20.88,152.98,-12.93
75,112,157,819,1,15,4294967295,25.24,1018.56,20.87,153.82,-12.93
75,113,157,819,1,15,4294967295,25.24,1018.56,20.86,154.24,-12.93
76,113,157,821,1,15,4294967295,25.24,1018.56,20.86,155.1,-12.85
75,113,157,821,1,14,4294967295,25.25,1018.55,20.85,155.24,-12.93
75,113,158,822,1,15,4294967295,25.25,1018.56,20.84,155.81,-12.93
75,113,158,822,1,15,4294967295,25.25,1018.56,20.83,156.98,-12.85
76,113,158,823,1,15,4294967295,25.25,1018.55,20.83,156.69,-12.93
75,113,158,823,1,15,4294967295,25.25,1018.56,20.82,157.42,-12.85
75,114,158,824,1,14,4294967295,25.25,1018.55,20.82,157.57,-12.85
76,114,159,825,1,15,4294967295,25.26,1018.55,20.81,159.81,-12.85
76,114,159,825,1,15,4294967295,25.26,1018.55,20.81,158.76,-12.85
76,113,160,827,1,15,4294967295,25.26,1018.55,20.8,159.51,-12.93
76,114,160,829,1,14,4294967295,25.26,1018.56,20.8,159.21,-12.85
77,114,160,829,1,15,4294967295,25.26,1018.55,20.8,160.12,-12.85
77,114,160,830,1,15,4294967295,25.26,1018.55,20.8,160.27,-12.77
77,114,160,830,1,14,4294967295,25.26,1018.54,20.8,160.88,-12.85
