NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
27,57,67,730,2,14,0,33.59,688.6,100.0,0.0,3170.54
27,58,67,729,2,14,0,33.59,688.6,100.0,0.0,3170.54
27,58,67,729,2,14,0,33.59,688.6,100.0,0.0,3170.54
27,58,67,730,2,13,0,33.59,688.6,100.0,0.0,3170.54
27,58,67,731,2,14,0,33.59,688.6,100.0,0.0,3170.54
27,58,67,731,2,13,0,33.59,688.6,100.0,0.0,3170.54
27,58,68,732,2,14,0,33.59,688.6,100.0,0.0,3170.54
28,58,67,732,2,15,0,33.59,688.6,100.0,0.0,3170.54
28,58,68,732,2,14,0,33.59,688.6,100.0,0.0,3170.54
28,58,68,733,2,14,0,33.59,688.6,100.0,0.0,3170.54
29,58,69,734,3,14,0,33.59,688.6,100.0,0.0,3170.54
29,59,69,734,2,14,0,33.59,688.6,100.0,0.0,3170.54
29,59,69,734,2,14,0,33.59,688.6,100.0,0.0,3170.54
29,59,70,735,2,14,0,33.59,688.6,100.0,0.0,3170.54
29,60,70,736,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,60,69,736,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,60,70,736,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,60,70,737,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,60,70,738,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,60,71,737,3,13,0,33.59,688.6,100.0,0.0,3170.54
31,61,71,739,2,13,0,33.59,688.6,100.0,0.0,3170.54
31,61,72,740,2,14,0,33.59,688.6,100.0,0.0,3170.54
30,61,71,740,2,14,0,33.59,688.6,100.0,0.0,3170.54
31,61,72,741,2,13,0,33.59,688.6,100.0,0.0,3170.54
31,62,72,742,2,14,0,33.59,688.6,100.0,0.0,3170.54
31,62,72,743,2,14,0,33.59,688.6,100.0,0.0,3170.54
32,62,72,745,2,14,0,33.59,688.6,100.0,0.0,3170.54
31,64,73,746,2,13,0,33.59,688.6,100.0,0.0,3170.54
32,65,73,748,2,14,0,33.59,688.6,100.0,0.0,3170.54
32,66,74,750,2,14,0,33.59,688.6,100.0,0.0,3170.54
32,69,75,752,2,14,0,33.59,688.6,100.0,0.0,3170.54
33,73,76,755,2,14,0,33.59,688.6,100.0,0.0,3170.54
35,79,78,757,2,14,0,33.59,688.6,100.0,0.0,3170.54
36,88,80,759,2,14,0,33.59,688.6,100.0,0.0,3170.54
39,98,84,762,2,14,0,33.59,688.6,100.0,0.0,3170.54
44,109,90,765,2,13,0,33.59,688.6,100.0,0.0,3170.54
48,122,96,769,2,14,0,33.59,688.6,100.0,0.0,3170.54
52,134,104,772,3,14,0,33.59,688.6,100.0,0.0,3170.54
57,147,111,776,2,14,0,33.59,688.6,100.0,0.0,3170.54
62,161,120,779,3,14,0,33.59,688.6,100.0,0.0,3170.54
70,174,130,784,2,13,0,33.59,688.6,100.0,0.0,3170.54
76,187,140,788,2,14,0,33.59,688.6,100.0,0.0,3170.54
81,199,149,792,2,13,0,33.59,688.6,100.0,0.0,3170.54
86,211,157,796,2,13,0,33.59,688.6,100.0,0.0,3170.54
92,223,166,800,2,14,0,33.59,688.6,100.0,0.0,3170.54
100,237,175,803,2,14,0,33.59,688.6,100.0,0.0,3170.54
109,252,186,808,3,13,0,33.59,688.6,100.0,0.0,3170.54
123,269,201,811,2,14,0,33.59,688.6,100.0,0.0,3170.54
143,288,221,817,2,14,0,33.59,688.6,100.0,0.0,3170.54
173,308,249,820,2,14,0,33.59,688.6,100.0,0.0,3170.54
217,330,287,826,2,14,0,33.59,688.6,100.0,0.0,3170.54
258,350,332,831,2,14,0,33.59,688.6,100.0,0.0,3170.54
283,367,373,836,2,14,0,33.59,688.6,100.0,0.0,3170.54
301,383,403,840,2,14,0,33.59,688.6,100.0,0.0,3170.54
326,398,428,844,2,15,0,33.59,688.6,100.0,0.0,3170.54
359,415,462,850,3,15,0,33.59,688.6,100.0,0.0,3170.54
395,432,503,854,3,15,0,33.59,688.6,100.0,0.0,3170.54
425,448,547,860,2,14,0,33.59,688.6,100.0,0.0,3170.54
441,462,580,863,2,15,0,33.59,688.6,100.0,0.0,3170.54
446,473,597,868,2,14,0,33.59,688.6,100.0,0.0,3170.54
446,481,604,872,2,15,0,33.59,688.6,100.0,0.0,3170.54
443,487,608,875,2,15,0,33.59,688.6,100.0,0.0,3170.54
438,492,610,878,2,16,0,33.59,688.6,100.0,0.0,3170.54
432,496,609,880,2,15,0,33.59,688.6,100.0,0.0,3170.54
426,499,608,883,2,15,0,33.59,688.6,100.0,0.0,3170.54
417,502,605,885,2,15,0,33.59,688.6,100.0,0.0,3170.54
410,503,602,887,2,15,0,33.59,688.6,100.0,0.0,3170.54
402,505,597,888,2,15,0,33.59,688.6,100.0,0.0,3170.54
397,507,594,891,2,15,0,33.59,688.6,100.0,0.0,3170.54
400,511,593,892,2,15,0,33.59,688.6,100.0,0.0,3170.54
413,517,598,894,3,15,0,33.59,688.6,100.0,0.0,3170.54
432,524,612,896,3,15,0,33.59,688.6,100.0,0.0,3170.54
450,531,629,899,2,17,0,33.59,688.6,100.0,0.0,3170.54
461,538,644,900,2,14,0,33.59,688.6,100.0,0.0,3170.54
473,546,655,903,2,15,0,33.59,688.6,100.0,0.0,3170.54
475,551,664,904,2,15,0,33.59,688.6,100.0,0.0,3170.54
473,555,666,905,2,15,0,33.59,688.6,100.0,0.0,3170.54
470,558,665,907,3,15,0,33.59,688.6,100.0,0.0,3170.54
465,560,664,908,2,14,0,33.59,688.6,100.0,0.0,3170.54
461,561,663,909,2,14,0,33.59,688.6,100.0,0.0,3170.54
455,562,661,910,2,15,0,33.59,688.6,100.0,0.0,3170.54
449,562,658,912,2,15,0,33.59,688.6,100.0,0.0,3170.54
445,563,656,913,2,15,0,33.59,688.6,100.0,0.0,3170.54
450,565,656,913,2,15,0,33.59,688.6,100.0,0.0,3170.54
456,568,659,915,2,14,0,33.59,688.6,100.0,0.0,3170.54
457,571,662,915,2,15,0,33.59,688.6,100.0,0.0,3170.54
456,573,663,917,2,14,0,33.59,688.6,100.0,0.0,3170.54
455,576,663,917,2,15,0,33.59,688.6,100.0,0.0,3170.54
462,580,664,919,3,15,0,33.59,688.6,100.0,0.0,3170.54
476,585,671,919,2,14,0,33.59,688.6,100.0,0.0,3170.54
486,590,681,921,2,14,0,33.59,688.6,100.0,0.0,3170.54
490,594,689,922,3,15,0,33.59,688.6,100.0,0.0,3170.54
493,598,693,923,3,15,0,33.59,688.6,100.0,0.0,3170.54
495,600,697,924,3,14,0,33.59,688.6,100.0,0.0,3170.54
494,602,697,924,2,14,0,33.59,688.6,100.0,0.0,3170.54
490,604,697,926,2,14,0,33.59,688.6,100.0,0.0,3170.54
488,605,697,926,2,14,0,33.59,688.6,100.0,0.0,3170.54
490,607,696,927,2,15,0,33.59,688.6,100.0,0.0,3170.54
490,608,697,929,2,15,0,33.59,688.6,100.0,0.0,3170.54
