NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
42,91,116,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,92,116,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,92,116,745,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,91,116,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,116,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,116,745,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,745,2,9,0,33.59,688.6,100.0,0.0,3170.54
41,92,116,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,116,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,746,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
40,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,11,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,9,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,747,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,748,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,114,749,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,114,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,115,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
41,91,114,750,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,114,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,751,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,11,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,752,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,752,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,91,115,751,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,115,752,3,11,0,33.59,688.6,100.0,0.0,3170.54
42,91,116,752,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,91,115,752,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,752,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,115,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,115,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,116,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
42,92,115,754,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,92,116,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,116,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,116,754,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,91,116,754,2,11,0,33.59,688.6,100.0,0.0,3170.54
43,92,116,753,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,92,116,754,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,92,116,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,92,116,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
43,92,116,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,116,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,93,118,755,2,10,0,33.59,688.6,100.0,0.0,3170.54
44,92,117,755,2,11,0,33.59,688.6,100.0,0.0,3170.54
45,92,117,755,2,11,0,33.59,688.6,100.0,0.0,3170.54
44,93,117,755,2,11,0,33.59,688.6,100.0,0.0,3170.54
45,92,118,756,2,10,0,33.59,688.6,100.0,0.0,3170.54
45,92,118,756,2,11,0,33.59,688.6,100.0,0.0,3170.54
45,93,118,755,2,11,0,33.59,688.6,100.0,0.0,3170.54
45,92,118,756,2,11,0,33.59,688.6,100.0,0.0,3170.54
46,92,117,756,2,10,0,33.59,688.6,100.0,0.0,3170.54
45,93,118,757,1,10,0,33.59,688.6,100.0,0.0,3170.54
45,93,118,757,2,10,0,33.59,688.6,100.0,0.0,3170.54
45,93,118,758,2,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,119,757,2,10,0,33.59,688.6,100.0,0.0,3170.54
45,93,119,757,2,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,119,757,2,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,118,757,1,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,118,757,2,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,119,757,1,10,0,33.59,688.6,100.0,0.0,3170.54
46,93,119,758,1,10,0,33.59,688.6,100.0,0.0,3170.54
47,93,120,758,2,10,0,33.59,688.6,100.0,0.0,3170.54
47,93,120,758,1,11,0,33.59,688.6,100.0,0.0,3170.54
46,93,120,758,2,11,0,33.59,688.6,100.0,0.0,3170.54
47,93,120,758,1,10,0,33.59,688.6,100.0,0.0,3170.54
