NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
36,66,68,751,0,6,0,25.62,1010.33,36.09,315.27,55.47
36,66,67,751,0,5,0,25.62,1010.33,36.08,315.87,55.39
36,66,67,751,0,5,0,25.62,1010.34,36.09,315.27,55.47
36,66,67,751,0,5,0,25.62,1010.33,36.09,314.37,55.47
36,66,67,751,0,5,0,25.63,1010.33,36.08,314.37,55.47
36,66,67,751,0,6,0,25.63,1010.33,36.1,315.27,55.39
36,66,68,752,0,5,0,25.63,1010.34,36.09,315.27,55.31
36,66,67,752,0,5,0,25.63,1010.35,36.09,314.97,55.31
36,66,67,751,1,6,0,25.63,1010.35,36.09,314.67,55.23
36,66,68,752,0,5,0,25.63,1010.36,36.07,316.78,55.14
36,66,67,751,0,5,0,25.63,1010.37,36.08,314.67,55.23
36,66,68,751,0,5,0,25.63,1010.36,36.07,315.27,55.14
36,66,67,751,0,5,0,25.63,1010.37,36.08,313.77,55.14
36,65,67,752,0,5,0,25.64,1010.37,36.07,314.97,55.14
35,65,66,751,0,5,0,25.64,1010.37,36.07,315.87,55.14
36,66,66,751,0,5,0,25.64,1010.37,36.06,316.17,55.23
36,66,67,751,0,5,0,25.64,1010.36,36.07,315.27,55.23
35,66,67,751,0,5,0,25.64,1010.36,36.07,316.78,55.14
36,65,67,752,0,6,0,25.64,1010.37,36.06,316.17,55.23
36,65,67,751,0,5,0,25.64,1010.36,36.06,314.37,55.14
36,65,67,752,0,6,0,25.64,1010.37,36.06,314.67,55.23
35,66,67,752,0,5,0,25.64,1010.36,36.06,315.57,55.23
36,65,67,751,0,5,0,25.64,1010.36,36.05,314.67,55.31
36,66,67,751,0,6,0,25.64,1010.35,36.03,315.57,55.31
36,66,67,752,0,6,0,25.64,1010.35,36.05,315.87,55.31
36,66,66,751,0,6,0,25.64,1010.35,36.03,315.27,55.39
36,65,67,751,0,6,0,25.64,1010.34,36.03,317.39,55.47
36,66,67,751,0,6,0,25.64,1010.33,36.04,314.37,55.47
