NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
33,57,68,722,13,43,0,25.42,1021.97,25.21,527.75,-41.14
33,57,67,722,11,39,0,25.42,1021.97,25.23,527.75,-41.06
32,58,68,722,11,40,0,25.42,1021.96,25.25,532.77,-41.14
33,58,67,723,10,39,0,25.42,1021.97,25.27,530.25,-41.14
33,58,68,722,11,40,0,25.42,1021.97,25.31,528.58,-41.14
33,58,68,723,10,38,0,25.42,1021.97,25.31,531.09,-41.14
32,58,68,722,10,36,0,25.42,1021.97,25.34,533.62,-41.14
32,57,68,723,10,38,0,25.43,1021.97,25.35,531.09,-41.14
33,57,67,723,10,39,0,25.43,1021.97,25.37,529.83,-41.23
32,57,68,723,10,40,0,25.43,1021.98,25.39,529.41,-41.23
33,57,68,723,10,41,0,25.43,1021.98,25.4,530.25,-41.14
32,58,67,723,10,40,0,25.43,1021.97,25.41,531.93,-41.14
33,58,68,723,10,39,0,25.43,1021.97,25.41,531.51,-41.14
32,57,68,723,10,40,0,25.43,1021.97,25.42,529.83,-41.14
33,57,67,724,9,40,0,25.43,1021.97,25.44,531.93,-41.06
32,58,67,723,9,39,0,25.43,1021.96,25.43,532.77,-41.14
32,58,67,724,9,40,0,25.43,1021.97,25.44,531.09,-41.14
31,57,67,723,9,40,0,25.43,1021.97,25.45,534.04,-41.06
32,57,67,724,10,40,0,25.43,1021.96,25.44,531.09,-41.06
32,57,67,724,9,40,0,25.43,1021.96,25.45,531.09,-41.06
32,57,67,724,9,40,0,25.43,1021.96,25.44,530.67,-41.14
32,58,67,723,9,41,0,25.43,1021.97,25.44,527.75,-41.14
32,57,67,724,9,38,0,25.44,1021.97,25.45,531.93,-41.06
32,57,66,724,9,40,0,25.44,1021.96,25.43,531.93,-41.14
32,57,67,724,10,40,0,25.44,1021.97,25.43,529.83,-41.14
32,57,67,724,9,39,0,25.44,1021.97,25.44,529.83,-41.14
32,57,67,723,9,40,0,25.44,1021.97,25.43,532.35,-41.14
32,57,67,724,9,40,0,25.44,1021.97,25.45,530.25,-41.14
32,57,67,724,9,40,0,25.44,1021.97,25.43,531.09,-41.23
32,57,67,724,9,40,0,25.44,1021.98,25.44,534.47,-41.23
32,58,67,724,9,40,0,25.44,1021.98,25.44,531.09,-41.23
32,57,66,724,12,40,0,25.44,1021.98,25.43,529.41,-41.14
32,58,67,724,9,40,0,25.44,1021.97,25.44,530.25,-41.23
32,57,67,724,9,40,0,25.44,1021.98,25.42,530.67,-41.23
32,57,66,724,9,40,0,25.44,1021.98,25.42,531.93,-41.23
32,58,67,724,9,40,0,25.44,1021.98,25.41,526.92,-41.14
31,57,66,724,9,40,0,25.44,1021.97,25.42,526.92,-41.14
32,57,67,724,9,39,0,25.44,1021.97,25.41,526.92,-41.14
32,58,67,724,9,40,0,25.44,1021.97,25.4,531.51,-41.14
32,57,67,724,9,39,0,25.44,1021.97,25.41,529.83,-41.23
32,57,66,724,8,39,0,25.44,1021.98,25.4,528.17,-41.14
32,57,67,724,9,40,0,25.44,1021.97,25.39,530.25,-41.14
32,58,67,724,9,40,0,25.44,1021.97,25.4,523.23,-41.14
31,57,66,724,9,40,0,25.44,1021.97,25.39,530.25,-41.06
32,57,67,724,9,40,0,25.44,1021.96,25.38,526.92,-41.14
32,57,67,724,8,40,0,25.44,1021.97,25.37,527.75,-41.14
32,57,67,725,9,40,0,25.44,1021.97,25.37,528.58,-41.06
32,58,67,724,9,40,0,25.44,1021.96,25.39,531.09,-41.06
32,57,66,725,9,40,0,25.44,1021.96,25.38,524.05,-41.14
32,57,66,724,9,40,0,25.44,1021.97,25.38,526.92,-41.14
32,57,67,725,9,41,0,25.44,1021.97,25.39,526.51,-41.06
32,57,67,725,9,40,0,25.44,1021.96,25.39,526.92,-41.06
