NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
44,60,74,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
44,61,73,725,0,5,0,33.59,688.6,100.0,0.0,3170.54
44,60,73,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,74,726,0,4,0,33.59,688.6,100.0,0.0,3170.54
44,60,73,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,74,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,74,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,59,73,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,72,724,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,724,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,725,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,724,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,60,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,73,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,73,724,0,4,0,33.59,688.6,100.0,0.0,3170.54
43,60,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,60,73,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,60,73,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,60,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,60,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,72,723,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,60,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,71,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
42,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,722,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,72,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,5,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,70,721,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
41,59,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,5,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,59,71,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,5,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,71,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,69,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,5,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
39,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,720,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
39,58,70,718,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,69,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
40,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
39,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
39,58,70,719,0,4,0,33.59,688.6,100.0,0.0,3170.54
